panel,dial,channel,level,cheat,flip,pick,ctl_pick,d_OOS_Sharpe
U56,BAND,ROUND,3,False,False,0.08,0.08,0.0
U56,BAND,ROUND,2,False,False,0.08,0.08,0.0
U56,BAND,ROUND,1,False,True,0.0,0.08,0.09091395749575204
U56,BAND,ROUND,0,False,True,0.0,0.08,0.09091395749575204
U56,BAND,WINDOW,IS_H2,False,True,0.2,0.08,-0.04134914344877383
U56,BAND,WINDOW,TRAIL5Y,False,True,0.2,0.08,-0.04134914344877383
U56,BAND,WINDOW,TRAIL3Y,False,True,0.2,0.08,-0.04134914344877383
U56,BAND,WINDOW,FULL,True,True,0.03,0.08,0.112572713389955
U56,BAND,BOOK,1,False,True,0.05,0.08,0.043940343119341474
U56,BAND,BOOK,2,False,True,0.03,0.08,0.112572713389955
U56,BAND,BOOK,3,False,True,0.02,0.08,0.11494630236712844
U56,BAND,BOOK,-1,False,True,0.12,0.08,0.003614340342103173
U56,N,ROUND,3,False,False,50,50,0.0
U56,N,ROUND,2,False,False,50,50,0.0
U56,N,ROUND,1,False,False,50,50,0.0
U56,N,ROUND,0,False,True,3,50,-0.4650936920315213
U56,N,WINDOW,IS_H2,False,False,50,50,0.0
U56,N,WINDOW,TRAIL5Y,False,True,30,50,0.005558430006552539
U56,N,WINDOW,TRAIL3Y,False,True,30,50,0.005558430006552539
U56,N,WINDOW,FULL,True,False,50,50,0.0
U56,N,BOOK,1,False,True,40,50,-0.006079177871745278
U56,N,BOOK,2,False,True,30,50,0.005558430006552539
U56,N,BOOK,3,False,True,20,50,-0.08422816537075994
U56,N,BOOK,-1,False,False,50,50,0.0
U56,GROSS,ROUND,3,False,True,0.95,1.0,0.00015351344189595828
U56,GROSS,ROUND,2,False,True,0.2,1.0,0.00173458618022293
U56,GROSS,ROUND,1,False,True,0.2,1.0,0.00173458618022293
U56,GROSS,ROUND,0,False,True,0.2,1.0,0.00173458618022293
U56,GROSS,WINDOW,IS_H2,False,False,1.0,1.0,0.0
U56,GROSS,WINDOW,TRAIL5Y,False,False,1.0,1.0,0.0
U56,GROSS,WINDOW,TRAIL3Y,False,False,1.0,1.0,0.0
U56,GROSS,WINDOW,FULL,True,True,0.6,1.0,0.0010499286049860945
U56,GROSS,BOOK,1,False,True,0.95,1.0,0.00015351344189595828
U56,GROSS,BOOK,2,False,True,0.85,1.0,0.0004403819786924501
U56,GROSS,BOOK,3,False,True,0.75,1.0,0.0007016892218325577
U56,GROSS,BOOK,-1,False,False,1.0,1.0,0.0
U56,VOLCAP,ROUND,3,False,False,0.8,0.8,0.0
U56,VOLCAP,ROUND,2,False,False,0.8,0.8,0.0
U56,VOLCAP,ROUND,1,False,False,0.8,0.8,0.0
U56,VOLCAP,ROUND,0,False,True,0.2,0.8,-0.313399720942772
U56,VOLCAP,WINDOW,IS_H2,False,True,0.6,0.8,0.005228980836758157
U56,VOLCAP,WINDOW,TRAIL5Y,False,True,0.6,0.8,0.005228980836758157
U56,VOLCAP,WINDOW,TRAIL3Y,False,True,0.6,0.8,0.005228980836758157
U56,VOLCAP,WINDOW,FULL,True,True,9.99,0.8,0.04653165789711988
U56,VOLCAP,BOOK,1,False,True,0.6,0.8,0.005228980836758157
U56,VOLCAP,BOOK,2,False,True,0.5,0.8,0.018629927922235612
U56,VOLCAP,BOOK,3,False,True,0.4,0.8,-0.08869563005370129
U56,VOLCAP,BOOK,-1,False,True,9.99,0.8,0.04653165789711988
U56,CADENCE,ROUND,3,False,False,M,M,0.0
U56,CADENCE,ROUND,2,False,False,M,M,0.0
U56,CADENCE,ROUND,1,False,True,D,M,0.06333975328154495
U56,CADENCE,ROUND,0,False,True,D,M,0.06333975328154495
U56,CADENCE,WINDOW,IS_H2,False,True,Q,M,-0.24994809736663504
U56,CADENCE,WINDOW,TRAIL5Y,False,True,Q,M,-0.24994809736663504
U56,CADENCE,WINDOW,TRAIL3Y,False,True,Q,M,-0.24994809736663504
U56,CADENCE,WINDOW,FULL,True,True,W,M,0.053054209206083724
U56,CADENCE,BOOK,1,False,True,W,M,0.053054209206083724
U56,CADENCE,BOOK,2,False,True,D,M,0.06333975328154495
U56,CADENCE,BOOK,3,False,True,D,M,0.06333975328154495
U56,CADENCE,BOOK,-1,False,True,Q,M,-0.24994809736663504
U56,MAWIN,ROUND,3,False,False,150,150,0.0
U56,MAWIN,ROUND,2,False,False,150,150,0.0
U56,MAWIN,ROUND,1,False,False,150,150,0.0
U56,MAWIN,ROUND,0,False,True,50,150,-0.070978290977469
U56,MAWIN,WINDOW,IS_H2,False,True,250,150,0.08114195843086236
U56,MAWIN,WINDOW,TRAIL5Y,False,True,250,150,0.08114195843086236
U56,MAWIN,WINDOW,TRAIL3Y,False,True,250,150,0.08114195843086236
U56,MAWIN,WINDOW,FULL,True,True,200,150,0.10914763756730128
U56,MAWIN,BOOK,1,False,True,100,150,-0.12182729631420752
U56,MAWIN,BOOK,2,False,True,50,150,-0.070978290977469
U56,MAWIN,BOOK,3,False,True,100,150,-0.12182729631420752
U56,MAWIN,BOOK,-1,False,True,200,150,0.10914763756730128
U56,QUANT,ROUND,3,False,False,0.6,0.6,0.0
U56,QUANT,ROUND,2,False,False,0.6,0.6,0.0
U56,QUANT,ROUND,1,False,False,0.6,0.6,0.0
U56,QUANT,ROUND,0,False,True,0.1,0.6,-0.43963416711667025
U56,QUANT,WINDOW,IS_H2,False,False,0.6,0.6,0.0
U56,QUANT,WINDOW,TRAIL5Y,False,False,0.6,0.6,0.0
U56,QUANT,WINDOW,TRAIL3Y,False,False,0.6,0.6,0.0
U56,QUANT,WINDOW,FULL,True,False,0.6,0.6,0.0
U56,QUANT,BOOK,1,False,True,0.4,0.6,-0.09382435529393596
U56,QUANT,BOOK,2,False,True,0.25,0.6,-0.2455796645956222
U56,QUANT,BOOK,3,False,True,0.15,0.6,-0.46500930892945336
U56,QUANT,BOOK,-1,False,True,0.4,0.6,-0.09382435529393596
U56,VOLEXP,ROUND,3,False,False,0.0,0.0,0.0
U56,VOLEXP,ROUND,2,False,False,0.0,0.0,0.0
U56,VOLEXP,ROUND,1,False,False,0.0,0.0,0.0
U56,VOLEXP,ROUND,0,False,False,0.0,0.0,0.0
U56,VOLEXP,WINDOW,IS_H2,False,False,0.0,0.0,0.0
U56,VOLEXP,WINDOW,TRAIL5Y,False,False,0.0,0.0,0.0
U56,VOLEXP,WINDOW,TRAIL3Y,False,False,0.0,0.0,0.0
U56,VOLEXP,WINDOW,FULL,True,False,0.0,0.0,0.0
U56,VOLEXP,BOOK,1,False,False,0.0,0.0,0.0
U56,VOLEXP,BOOK,2,False,False,0.0,0.0,0.0
U56,VOLEXP,BOOK,3,False,False,0.0,0.0,0.0
U56,VOLEXP,BOOK,-1,False,False,0.0,0.0,0.0
U56,LAG,ROUND,3,False,False,3,3,0.0
U56,LAG,ROUND,2,False,True,1,3,0.05366195906480664
U56,LAG,ROUND,1,False,True,1,3,0.05366195906480664
U56,LAG,ROUND,0,False,True,1,3,0.05366195906480664
U56,LAG,WINDOW,IS_H2,False,True,1,3,0.05366195906480664
U56,LAG,WINDOW,TRAIL5Y,False,True,1,3,0.05366195906480664
