file,ladder_col,points,groups,sharpe_range_max,sharpe_range_med,n_exactly_flat,cagr_nonmonotone,cagr_nonmono_frac,A2
2026-09-05_price-the-broad-POS-near-miss_cloud.transfer.csv,m,4,9,0.0012877455034819851,0.0005026276991206835,0,0,0.0,GENUINE
2026-09-05_delete-the-scaler-on-small_cloud.norankcontrol.csv,g,4,4,0.004106634521655106,0.0019911320400065463,0,1,0.25,GENUINE
2026-09-05_band-width-at-g085_cloud.grid.csv,g,5,40,0.004847057243511421,0.0011926794578817623,0,0,0.0,GENUINE
2026-09-05_is-075-the-argmax-on-every-corpus_cloud.ladder.csv,g,10,83,0.005421939201003201,0.0005043385870320272,0,1,0.012048192771084338,GENUINE
2026-09-04_which-4b-bar-binds_B.gladder.csv,g,13,40,0.00610188695254632,0.0004529830189579087,0,0,0.0,GENUINE
2026-09-04_drawdown-control_C.ladder.csv,m,19,7,0.006247843457032776,0.0007989130927503751,0,0,0.0,GENUINE
2026-09-05_the-gross-ladder-is-not-a-rescaling_C.points.csv,gross,10,53,0.0071850365982419895,0.001420163094085325,0,0,0.0,GENUINE
2026-09-05_the-gross-ladder-is-not-a-rescaling_C.keep.csv,gross,10,53,0.0071850365982419895,0.001420163094085325,0,0,0.0,GENUINE
2026-09-05_absorbing-state-audit_B.ladder.csv,m,19,12,0.008596501184446992,0.0019760702686188736,0,0,0.0,GENUINE
2026-09-05_price-the-broad-POS-near-miss_cloud.grid.csv,m,25,38,0.00893644491809431,0.0016793052940438091,0,2,0.05263157894736842,GENUINE
2026-09-05_gross-dispersion-not-gross-level_cloud.ladder.csv,m,19,25,0.010238898455682377,0.0015998071036538164,0,0,0.0,GENUINE
2026-09-05_gross-as-the-missing-third-bar_B.ladder.csv,m,19,25,0.010238898455682377,0.0015998071036538164,0,0,0.0,GENUINE
2026-09-05_cagr-floor-calibration_B.ladder.csv,m,19,25,0.010238898455682377,0.0015998071036538164,0,0,0.0,GENUINE
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.ladder.csv,m,19,18,0.010238898455682377,0.0022238530924749422,0,0,0.0,GENUINE
2026-09-05_sleeve-f-that-clears-the-floor_cloud.ladder.csv,m,5,52,0.011880342454438697,0.001868834786028395,0,0,0.0,GENUINE
2026-09-05_is-the-defensive-class-one-book_cloud.ladder.csv,m,5,48,0.012508992962612542,0.0017479135243280708,0,0,0.0,GENUINE
2026-09-05_liquidity-screened-small-panel_cloud.grid.csv,g,3,64,0.013349142287171767,0.003247093168760852,0,2,0.03125,GENUINE
2026-09-05_is-4b-internally-consistent-at-any-vol_cloud.ladder.csv,g,20,70,0.014083500507006463,0.0013706617142876243,0,2,0.02857142857142857,GENUINE
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.ladder.csv,g,10,300,0.016755020908299056,0.003217938283626043,0,0,0.0,GENUINE
2026-09-05_delete-the-scaler-on-small_cloud.grid.csv,g,4,80,0.0942232125991932,0.0097735664596163,0,50,0.625,GENUINE
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.keep.csv,gross,10,159,0.22352296717998632,0.10806532681935499,0,0,0.0,GENUINE
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.points.csv,gross,10,165,0.22352296717998632,0.09882294205758702,0,0,0.0,GENUINE
