panel,K_in,K_out,buffer,cost,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,v2_CAGR,v2_Sharpe,v2_MaxDD,v2_H1,v2_H2,v2_OOS_Sharpe,v2_OOS_MaxDD,v2_OOS_CAGR,pass4a_v2,beats_v2_oos,pass4b,fail4b
u56,10,10,0,5.0,0.13128607085361987,1.2231138743105714,-0.12376063352611721,1.2839755061049345,1.1719126220351346,1.2772664194522323,0.13151875821822534,0.13109479021384995,1.1834873763779576,-0.1237606335261171,10.718272175679852,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,False,False,True,-
u56,10,10,0,10.0,0.1252438444573709,1.1724289603377087,-0.1241696905593569,1.2286387649560542,1.1252444626209663,1.2226026837267003,0.12529905265377939,0.12519845408565988,1.1357534886967766,-0.12416969055935712,10.718272175679852,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,False,False,True,-
u56,10,10,0,25.0,0.10730518140842982,1.0199519317573724,-0.12539609572293975,1.0621540875566347,0.9848612839929968,1.0581452578039434,0.10683905444586772,0.1076885799166376,0.9921615673728074,-0.12539609572293942,10.718272175679852,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,10,10,0,50.0,0.07802466271011022,0.7649340646260648,-0.12743755255903622,0.7837754307400144,0.7500284563799677,0.7831517963549862,0.0767258068212262,0.07909376086968978,0.7519690622226531,-0.1274375525590361,10.718272175679852,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,"H1,H2,OOS,CAGR"
u56,10,15,5,5.0,0.130196334445013,1.2697264168605522,-0.1134339205567001,1.2969306616512852,1.2485027993698132,1.277083097525352,0.12565374257930984,0.13394500092147976,1.2653207900280836,-0.11343392055670021,8.64772655518031,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,False,True,-
u56,10,15,5,10.0,0.12532359501320323,1.2268001987801822,-0.11382078367722004,1.2494241880677237,1.2095804810788424,1.2302655143486971,0.12057753386043024,0.1292408799127025,1.2253277314652593,-0.1138207836772197,8.64772655518031,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,False,True,-
u56,10,15,5,25.0,0.11082764115377985,1.0976730098635983,-0.11498071643130092,1.1064919866522778,1.0925170760970369,1.089415552649284,0.1054821203532843,0.11524210737723095,1.1050357533761344,-0.11498071643130092,8.64772655518031,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,10,15,5,50.0,0.08707030718462239,0.8816381497985788,-0.11691174998195253,0.8673528919291946,0.896676108646367,0.8537809793885499,0.08076148962700369,0.09228502030185326,0.9037796795141426,-0.11691174998195253,8.64772655518031,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,"H1,CAGR"
u56,10,20,10,5.0,0.13066667952401478,1.3049547810513837,-0.1177642053523672,1.349094856194931,1.268289009126805,1.3178984914755973,0.12693380770768314,0.13374512253191284,1.2961322985298607,-0.11776420535236709,7.049735230710485,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,10,20,10,10.0,0.12669003940298196,1.2689144204605676,-0.11810834748508448,1.3089867437822174,1.2358208736559224,1.2776841346497922,0.12268602545895413,0.12999285091387858,1.2632614112981995,-0.11810834748508448,7.049735230710485,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,False,True,-
