panel,family,n,pick_dial,anchor_dial,best_dial,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,anchor_OOS_Sharpe,anchor_OOS_CAGR,anchor_OOS_MaxDD,best_OOS_Sharpe,regret,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,chooser_beats_anchor
U56,MAB-EWALL,ALL,0.12,0.0,0.12,1.1762438003749653,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.1117793930546764,0.124295319280882,-0.18647417592895044,1.2662268036768585,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
U56,MAB-TOPN,10,0.12,0.0,0.12,0.9564025161849355,1.048010945102891,0.15889749650263263,-0.17538190355779537,0.9889777884605897,0.14862652556496214,-0.17538190355779526,1.048010945102891,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
U56,MAB-TOPN,20,0.08,0.0,0.12,1.0170455345379064,1.170838937186168,0.1522560221662863,-0.18586431837245676,1.1306969416161394,0.14453585654383216,-0.1830834869787813,1.238442160847435,0.06760322366126692,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
U56,RANKX,10,80.0,0.0,20.0,0.9992095591301313,1.193868905644696,0.17159562887711766,-0.18658090863048182,0.9889777884605897,0.14862652556496214,-0.17538190355779526,1.1973614487334645,0.0034925430887684517,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
U56,RANKX,20,40.0,0.0,40.0,1.0464303068697058,1.189189679341302,0.14338786227144307,-0.15272163305308772,1.1306969416161394,0.14453585654383216,-0.1830834869787813,1.189189679341302,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
U56,RANKE,10,8.0,0.0,6.0,0.9998504153596571,0.9081140726219704,0.18914950083586102,-0.25161919652570564,0.9889777884605897,0.14862652556496214,-0.17538190355779526,0.9946877672177622,0.08657369459579178,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,False
U56,RANKE,20,2.0,0.0,2.0,1.0054090656419998,1.1329570134652507,0.14751540536458907,-0.18407395139380855,1.1306969416161394,0.14453585654383216,-0.1830834869787813,1.1329570134652507,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,True
B136,MAB-EWALL,ALL,0.12,0.0,0.12,1.1951225003287052,1.1620514328168383,0.13745091594646608,-0.21738477524607436,1.064516105449877,0.11955179067759203,-0.2012239672094971,1.1620514328168383,0.0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,True
B136,MAB-TOPN,10,0.12,0.0,0.03,1.0682676152668114,0.801372753113222,0.13208968223720596,-0.21444792932259615,0.780593339534181,0.12766905137397422,-0.21444792932259604,0.8055966064418125,0.004223853328590543,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,True
B136,MAB-TOPN,20,0.12,0.0,0.03,1.0696650405539883,0.8986661866438682,0.1277831135880565,-0.20052048331108308,0.8836022780725372,0.12454335283909401,-0.20052048331108296,0.9087446412032487,0.0100784545593805,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,True
