panel,ladder,variant,observed,null_median,log_gap,delta_vs_record
U56,N,K0_RECORD,19.127561830465034,19.93265855871566,-0.04122919748446798,0.0
U56,N,K1_NOWRAP,19.127561830465034,20.3112722096457,-0.06004569053790093,-0.01881649305343295
U56,N,K2_CENTER,19.127561830465034,19.89739354826785,-0.03945842301658839,0.001770774467879592
U56,N,K3_PERM,19.127561830465034,20.337506450740122,-0.06133646706804069,-0.020107269583572708
U56,N,K4_IID,19.127561830465034,22.363586979678043,-0.15630373224419303,-0.11507453475972504
U56,N,K5_IIDPERM,19.127561830465034,22.476146915628647,-0.1613242871228277,-0.12009508963835971
U56,H,K0_RECORD,19.127561830465034,20.2414538699022,-0.05660235069482952,0.0
U56,H,K1_NOWRAP,19.127561830465034,20.262902923016895,-0.05766144936064888,-0.0010590986658193594
U56,H,K2_CENTER,19.127561830465034,20.18334334047524,-0.053727354481436757,0.0028749962133927665
U56,H,K3_PERM,19.127561830465034,20.247649610313605,-0.05690839552799268,-0.0003060448331631549
U56,H,K4_IID,19.127561830465034,22.605068935684486,-0.16704384765717675,-0.11044149696234723
U56,H,K5_IIDPERM,19.127561830465034,22.498628989198146,-0.1623240508788359,-0.10572170018400637
U56,GROSS,K0_RECORD,19.127561830465034,20.3005052189392,-0.059515450708940015,0.0
U56,GROSS,K1_NOWRAP,19.127561830465034,20.211755391334457,-0.05513406254436593,0.0043813881645740835
U56,GROSS,K2_CENTER,19.127561830465034,20.304946261395784,-0.05973419190315841,-0.00021874119421839283
U56,GROSS,K3_PERM,19.127561830465034,20.302995628055577,-0.059638120383601,-0.00012266967466098566
U56,GROSS,K4_IID,19.127561830465034,22.118710214735685,-0.14529354373628864,-0.08577809302734862
U56,GROSS,K5_IIDPERM,19.127561830465034,22.329352964830647,-0.1547717667218859,-0.09525631601294587
U56,CADENCE,K0_RECORD,19.127561830465034,20.196259467910213,-0.05436708974266605,0.0
U56,CADENCE,K1_NOWRAP,19.127561830465034,20.595029099021396,-0.07391941814225846,-0.01955232839959241
U56,CADENCE,K2_CENTER,19.127561830465034,20.162603245244533,-0.05269924143352356,0.001667848309142489
U56,CADENCE,K3_PERM,19.127561830465034,20.38115130691074,-0.06348019553496637,-0.009113105792300319
U56,CADENCE,K4_IID,19.127561830465034,22.695159784978777,-0.17102135375869007,-0.11665426401602402
U56,CADENCE,K5_IIDPERM,19.127561830465034,22.36854865733952,-0.1565255717611831,-0.10215848201851704
B136,N,K0_RECORD,20.740302267849476,22.47799113573337,-0.08045788189886054,0.0
B136,N,K1_NOWRAP,20.740302267849476,22.458342373605813,-0.0795833662521527,0.0008745156467078324
B136,N,K2_CENTER,20.740302267849476,22.359717422182598,-0.07518223371453787,0.005275648184322662
B136,N,K3_PERM,20.740302267849476,22.231972514676613,-0.06945267929971445,0.011005202599146086
B136,N,K4_IID,20.740302267849476,25.693357144135042,-0.21415370476422085,-0.1336958228653603
