,H2_contrib,share_of_gross
SMH,0.45749196193872765,0.3632929872674353
XLK,0.287163049616094,0.22803531167139893
XLF,0.10272093154037572,0.08157038194956269
XLY,0.10018364513931882,0.07955553047045308
XLC,0.08222537144405628,0.06529491948775802
XLI,0.0719818090537342,0.057160537486224905
GDX,0.05808255506892759,0.04612318181437709
XLV,0.05282748372766134,0.04195014551056594
XLB,0.026149127496621592,0.020764943284308474
XLE,0.02477049734454572,0.019670177238229437
XBI,0.015878663427078873,0.012609198740436561
XLRE,0.014088263069117335,0.011187447215683767
XLP,0.003385057911760043,0.0026880642790425165
ITB,0.0008431146631610954,0.0006695148113439304
KRE,-0.016210763463229777,-0.01287291837759391
XLU,-0.02228874205742678,-0.01769942284922676
