panel,book,cadence,cost,arm,g_lo,g_hi,dSharpe,dCAGR,dMaxDD
broad,EWall_b3dg,M,0.0,FIN,0.25,0.5,0.0015476732510129043,0.02822884560545824,-0.052191297675750814
broad,EWall_b3dg,M,0.0,FIN,0.25,0.75,0.003073296775250256,0.0567107631309951,-0.10228694465483867
broad,EWall_b3dg,M,0.0,FIN,0.25,1.0,0.004578720283795024,0.08542868481618715,-0.15036568706671272
broad,EWall_b3dg,M,0.0,FIN,0.25,1.25,0.0006175534118462167,0.11356903344464708,-0.19655637257522407
broad,EWall_b3dg,M,0.0,FIN,0.25,1.5,-0.012422554525202134,0.13990804746370977,-0.24090839665140784
broad,EWall_b3dg,M,0.0,FIN,0.5,0.75,0.0015256235242373517,0.02848191752553686,-0.05009564697908786
broad,EWall_b3dg,M,0.0,FIN,0.5,1.0,0.0030310470327821193,0.05719983921072891,-0.0981743893909619
broad,EWall_b3dg,M,0.0,FIN,0.5,1.25,-0.0009301198391666876,0.08534018783918884,-0.14436507489947326
broad,EWall_b3dg,M,0.0,FIN,0.5,1.5,-0.013970227776215038,0.11167920185825153,-0.18871709897565703
broad,EWall_b3dg,M,0.0,FIN,0.75,1.0,0.0015054235085447676,0.02871792168519205,-0.04807874241187404
broad,EWall_b3dg,M,0.0,FIN,0.75,1.25,-0.0024557433634040393,0.05685827031365198,-0.0942694279203854
broad,EWall_b3dg,M,0.0,FIN,0.75,1.5,-0.01549585130045239,0.08319728433271467,-0.13862145199656917
broad,EWall_b3dg,M,0.0,FIN,1.0,1.25,-0.003961166871948807,0.028140348628459932,-0.04619068550851135
broad,EWall_b3dg,M,0.0,FIN,1.0,1.5,-0.017001274808997158,0.05447936264752262,-0.09054270958469512
broad,EWall_b3dg,M,0.0,FIN,1.25,1.5,-0.01304010793704835,0.02633901401906269,-0.04435202407618377
broad,EWall_b3dg,M,0.0,RAW,0.25,0.5,0.0015476732510129043,0.02822884560545824,-0.052191297675750814
broad,EWall_b3dg,M,0.0,RAW,0.25,0.75,0.003073296775250256,0.0567107631309951,-0.10228694465483867
broad,EWall_b3dg,M,0.0,RAW,0.25,1.0,0.004578720283795024,0.08542868481618715,-0.15036568706671272
broad,EWall_b3dg,M,0.0,RAW,0.25,1.25,0.006065573214635078,0.1143646944042449,-0.1965023745614799
broad,EWall_b3dg,M,0.0,RAW,0.25,1.5,0.007535234390267931,0.14350001296157067,-0.24076819836973584
broad,EWall_b3dg,M,0.0,RAW,0.5,0.75,0.0015256235242373517,0.02848191752553686,-0.05009564697908786
broad,EWall_b3dg,M,0.0,RAW,0.5,1.0,0.0030310470327821193,0.05719983921072891,-0.0981743893909619
broad,EWall_b3dg,M,0.0,RAW,0.5,1.25,0.004517899963622174,0.08613584879878666,-0.14431107688572908
broad,EWall_b3dg,M,0.0,RAW,0.5,1.5,0.0059875611392550265,0.11527116735611243,-0.18857690069398503
broad,EWall_b3dg,M,0.0,RAW,0.75,1.0,0.0015054235085447676,0.02871792168519205,-0.04807874241187404
broad,EWall_b3dg,M,0.0,RAW,0.75,1.25,0.0029922764393848222,0.0576539312732498,-0.09421542990664122
broad,EWall_b3dg,M,0.0,RAW,0.75,1.5,0.004461937615017675,0.08678924983057557,-0.13848125371489717
broad,EWall_b3dg,M,0.0,RAW,1.0,1.25,0.0014868529308400547,0.028936009588057754,-0.04613668749476718
broad,EWall_b3dg,M,0.0,RAW,1.0,1.5,0.0029565141064729072,0.058071328145383516,-0.09040251130302313
broad,EWall_b3dg,M,0.0,RAW,1.25,1.5,0.0014696611756328526,0.029135318557325762,-0.044265823808255944
broad,EWall_b3dg,M,10.0,FIN,0.25,0.5,0.001736725475662837,0.027728825320582073,-0.05226367597141257
broad,EWall_b3dg,M,10.0,FIN,0.25,0.75,0.003402748653229537,0.055689543953419074,-0.10242352623559725
broad,EWall_b3dg,M,10.0,FIN,0.25,1.0,0.004997486895949033,0.08386046007936532,-0.1505601000302832
broad,EWall_b3dg,M,10.0,FIN,0.25,1.25,0.0010710775554971796,0.11142431578287404,-0.19680363653282862
broad,EWall_b3dg,M,10.0,FIN,0.25,1.5,-0.01198865427710416,0.13715604062928444,-0.24120543786123105
broad,EWall_b3dg,M,10.0,FIN,0.5,0.75,0.0016660231775667,0.027960718632837,-0.05015985026418468
broad,EWall_b3dg,M,10.0,FIN,0.5,1.0,0.0032607614202861956,0.056131634758783244,-0.09829642405887062
broad,EWall_b3dg,M,10.0,FIN,0.5,1.25,-0.0006656479201656573,0.08369549046229197,-0.14453996056141605
broad,EWall_b3dg,M,10.0,FIN,0.5,1.5,-0.013725379752766997,0.10942721530870236,-0.18894176188981848
broad,EWall_b3dg,M,10.0,FIN,0.75,1.0,0.0015947382427194956,0.028170916125946244,-0.048136573794685944
broad,EWall_b3dg,M,10.0,FIN,0.75,1.25,-0.0023316710977323574,0.055734771829454965,-0.09438011029723137
broad,EWall_b3dg,M,10.0,FIN,0.75,1.5,-0.015391402930333697,0.08146649667586536,-0.1387819116256338
broad,EWall_b3dg,M,10.0,FIN,1.0,1.25,-0.003926409340451853,0.02756385570350872,-0.046243536502545424
broad,EWall_b3dg,M,10.0,FIN,1.0,1.5,-0.016986141173053193,0.05329558054991912,-0.09064533783094786
broad,EWall_b3dg,M,10.0,FIN,1.25,1.5,-0.01305973183260134,0.025731724846410398,-0.044401801328402435
broad,EWall_b3dg,M,10.0,RAW,0.25,0.5,0.001736725475662837,0.027728825320582073,-0.05226367597141257
broad,EWall_b3dg,M,10.0,RAW,0.25,0.75,0.003402748653229537,0.055689543953419074,-0.10242352623559725
broad,EWall_b3dg,M,10.0,RAW,0.25,1.0,0.004997486895949033,0.08386046007936532,-0.1505601000302832
broad,EWall_b3dg,M,10.0,RAW,0.25,1.25,0.006519448161728336,0.11221815040279903,-0.19674966221657042
broad,EWall_b3dg,M,10.0,RAW,0.25,1.5,0.007970682569792942,0.1407380877729716,-0.24106531488176264
broad,EWall_b3dg,M,10.0,RAW,0.5,0.75,0.0016660231775667,0.027960718632837,-0.05015985026418468
broad,EWall_b3dg,M,10.0,RAW,0.5,1.0,0.0032607614202861956,0.056131634758783244,-0.09829642405887062
broad,EWall_b3dg,M,10.0,RAW,0.5,1.25,0.004782722686065499,0.08448932508221696,-0.14448598624515785
broad,EWall_b3dg,M,10.0,RAW,0.5,1.5,0.006233957094130105,0.11300926245238951,-0.18880163891035007
broad,EWall_b3dg,M,10.0,RAW,0.75,1.0,0.0015947382427194956,0.028170916125946244,-0.048136573794685944
broad,EWall_b3dg,M,10.0,RAW,0.75,1.25,0.003116699508498799,0.05652860644937996,-0.09432613598097317
broad,EWall_b3dg,M,10.0,RAW,0.75,1.5,0.004567933916563405,0.08504854381955251,-0.1386417886461654
broad,EWall_b3dg,M,10.0,RAW,1.0,1.25,0.0015219612657793036,0.028357690323433715,-0.046189562186287225
broad,EWall_b3dg,M,10.0,RAW,1.0,1.5,0.002973195673843909,0.05687762769360627,-0.09050521485147944
broad,EWall_b3dg,M,10.0,RAW,1.25,1.5,0.0014512344080646056,0.028519937370172554,-0.04431565266519222
broad,EWall_b3dg,M,25.0,FIN,0.25,0.5,0.0020214788061827527,0.026979951871213048,-0.05237224341490543
broad,EWall_b3dg,M,25.0,FIN,0.25,0.75,0.0038989591644056354,0.054160840362119655,-0.102628398606733
broad,EWall_b3dg,M,25.0,FIN,0.25,1.0,0.00562818485503791,0.0815140919387558,-0.15085171947563936
broad,EWall_b3dg,M,25.0,FIN,0.25,1.25,0.0017543848514915972,0.10821702004973854,-0.19717453246923544
broad,EWall_b3dg,M,25.0,FIN,0.25,1.5,-0.01133414081788886,0.1330427015038982,-0.24165099967596526
broad,EWall_b3dg,M,25.0,FIN,0.5,0.75,0.0018774803582228827,0.027180888490906607,-0.05025615519182758
broad,EWall_b3dg,M,25.0,FIN,0.5,1.0,0.0036067060488551572,0.05453414006754276,-0.09847947606073393
broad,EWall_b3dg,M,25.0,FIN,0.5,1.25,-0.0002670939546911555,0.0812370681785255,-0.14480228905433
broad,EWall_b3dg,M,25.0,FIN,0.5,1.5,-0.013355619624071613,0.10606274963268514,-0.18927875626105983
broad,EWall_b3dg,M,25.0,FIN,0.75,1.0,0.0017292256906322745,0.02735325157663615,-0.04822332086890635
broad,EWall_b3dg,M,25.0,FIN,0.75,1.25,-0.002144574312914038,0.05405617968761889,-0.09454613386250244
broad,EWall_b3dg,M,25.0,FIN,0.75,1.5,-0.015233099982294496,0.07888186114177853,-0.13902260106923225
broad,EWall_b3dg,M,25.0,FIN,1.0,1.25,-0.0038738000035463127,0.026702928110982738,-0.046322812993596085
broad,EWall_b3dg,M,25.0,FIN,1.0,1.5,-0.01696232567292677,0.05152860956514238,-0.0907992802003259
broad,EWall_b3dg,M,25.0,FIN,1.25,1.5,-0.013088525669380457,0.024825681454159643,-0.04447646720672982
broad,EWall_b3dg,M,25.0,RAW,0.25,0.5,0.0020214788061827527,0.026979951871213048,-0.05237224341490543
