arm,d,k,draw,n,is_pick,anchor,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b,first_fail,v2_Sharpe,v2_OOS_Sharpe,m_H1,m_H2,m_OOS,m_DD,m_CAGR
U56-drop,5,50,0,10,False,False,0.12611,0.934593,-0.175397,0.875534,0.990539,0.834874,0.146048,1.009838,-0.175397,False,False,H1,1.2096,1.2994,-0.081086,0.156523,0.127827,0.026907,0.019513
U56-drop,5,50,0,20,True,True,0.121554,1.085529,-0.183923,1.070831,1.10474,0.993413,0.137531,1.156061,-0.183923,False,True,-,1.2096,1.2994,0.114211,0.270725,0.27405,0.01838,0.014958
U56-drop,5,50,0,30,False,False,0.107006,1.125727,-0.157453,1.075198,1.173982,0.958928,0.124143,1.255738,-0.157453,False,True,-,1.2096,1.2994,0.118578,0.339966,0.373727,0.044851,0.00041
U56-drop,5,50,1,10,False,False,0.129547,0.964508,-0.175088,0.928808,1.001801,0.877667,0.149285,1.030572,-0.175088,False,False,H1,1.2102,1.3186,-0.027812,0.167785,0.148561,0.027215,0.022951
U56-drop,5,50,1,20,True,True,0.119478,1.080506,-0.174803,1.087114,1.081836,0.995914,0.134772,1.14551,-0.174803,False,True,-,1.2102,1.3186,0.130494,0.24782,0.263499,0.0275,0.012882
U56-drop,5,50,1,30,False,False,0.105258,1.119692,-0.150496,1.058154,1.17788,0.948897,0.123148,1.251312,-0.150496,False,False,CAGR,1.2102,1.3186,0.101534,0.343864,0.369301,0.051807,-0.001338
U56-drop,5,50,2,10,False,False,0.128671,0.92015,-0.189356,0.945555,0.903331,0.906691,0.137493,0.932755,-0.189356,False,False,H1,1.1909,1.2787,-0.011065,0.069315,0.050744,0.012948,0.022074
U56-drop,5,50,2,20,True,True,0.12452,1.065693,-0.191535,1.029385,1.102001,0.934241,0.143904,1.165936,-0.191535,False,True,-,1.1909,1.2787,0.072765,0.267985,0.283925,0.010769,0.017924
U56-drop,5,50,2,30,False,False,0.111302,1.111469,-0.160532,1.047337,1.171923,0.932271,0.13017,1.251906,-0.160532,False,True,-,1.1909,1.2787,0.090717,0.337907,0.369896,0.041771,0.004706
U56-drop,5,50,3,10,False,False,0.127245,0.940779,-0.183105,1.002963,0.892166,0.950188,0.132965,0.936529,-0.183105,False,True,-,1.2145,1.2654,0.046343,0.05815,0.054518,0.019199,0.020649
U56-drop,5,50,3,20,True,True,0.122741,1.093962,-0.190511,1.083241,1.108591,0.994411,0.138492,1.170355,-0.190511,False,True,-,1.2145,1.2654,0.126621,0.274575,0.288344,0.011793,0.016145
U56-drop,5,50,3,30,False,False,0.107731,1.133269,-0.151944,1.091558,1.173452,0.988067,0.122552,1.247543,-0.151944,False,True,-,1.2145,1.2654,0.134938,0.339436,0.365533,0.05036,0.001135
U56-drop,5,50,4,10,False,False,0.133847,0.97475,-0.17625,0.960319,0.993663,0.917345,0.149784,1.019901,-0.17625,False,True,-,1.221,1.3075,0.003699,0.159647,0.13789,0.026053,0.02725
U56-drop,5,50,4,20,True,True,0.125636,1.117393,-0.180184,1.086621,1.150026,0.993646,0.144824,1.211213,-0.180184,False,True,-,1.221,1.3075,0.130001,0.31601,0.329203,0.02212,0.01904
U56-drop,5,50,4,30,False,False,0.107374,1.137412,-0.15318,1.061279,1.208619,0.950663,0.12647,1.281909,-0.15318,False,True,-,1.221,1.3075,0.104659,0.374603,0.399898,0.049123,0.000777
U56-drop,5,50,5,10,False,False,0.132486,0.975825,-0.159571,0.989019,0.969185,0.903602,0.147918,1.031581,-0.159571,False,True,-,1.217,1.3087,0.032399,0.135169,0.14957,0.042733,0.02589
U56-drop,5,50,5,20,True,True,0.119237,1.073953,-0.178474,1.134312,1.026163,1.026656,0.129139,1.111361,-0.178474,False,True,-,1.217,1.3087,0.177692,0.192147,0.22935,0.02383,0.012641
U56-drop,5,50,5,30,False,False,0.105636,1.115786,-0.153649,1.142901,1.09362,1.003367,0.117619,1.204295,-0.153649,False,False,CAGR,1.217,1.3087,0.186281,0.259604,0.322285,0.048654,-0.00096
U56-drop,5,50,6,10,False,False,0.126318,0.933168,-0.182718,0.953804,0.920676,0.87005,0.140763,0.982067,-0.182718,False,False,H1,1.1855,1.2597,-0.002816,0.08666,0.100057,0.019586,0.019722
U56-drop,5,50,6,20,False,True,0.120266,1.075275,-0.17995,1.106251,1.054717,0.976216,0.136285,1.151036,-0.17995,False,True,-,1.1855,1.2597,0.149631,0.220701,0.269025,0.022353,0.01367
U56-drop,5,50,6,30,True,False,0.104774,1.104538,-0.153924,1.134444,1.080848,0.988159,0.1177,1.195282,-0.153924,False,False,CAGR,1.1855,1.2597,0.177824,0.246832,0.313271,0.048379,-0.001822
U56-drop,5,50,7,10,False,False,0.120824,0.913479,-0.178806,0.902289,0.927472,0.861911,0.132955,0.95381,-0.178806,False,False,H1,1.1831,1.2482,-0.054331,0.093456,0.071799,0.023497,0.014228
U56-drop,5,50,7,20,True,True,0.117515,1.059823,-0.18107,1.025502,1.094796,0.935727,0.135462,1.154205,-0.18107,False,True,-,1.1831,1.2482,0.068882,0.26078,0.272194,0.021233,0.010919
U56-drop,5,50,7,30,False,False,0.102291,1.084686,-0.157391,1.033211,1.1337,0.911526,0.119705,1.219548,-0.157391,False,False,CAGR,1.1831,1.2482,0.076591,0.299684,0.337537,0.044912,-0.004306
U56-drop,5,50,8,10,False,False,0.132029,0.95845,-0.161152,0.953429,0.969033,0.902101,0.147419,1.002694,-0.161152,False,False,H1,1.223,1.293,-0.003191,0.135017,0.120684,0.041151,0.025433
