panel,family,cost,L,pick,control,oracle,is_sh_pick,is_sh_ctl,oos_sh_pick,oos_sh_ctl,oos_cagr_pick,oos_cagr_ctl,oos_dd_pick,oos_dd_ctl,d_sharpe,d_cagr,regret,pick_is_control,p4b_pick,p4b_ctl,p4a_pick,p4a_ctl
u56,PHASE,10.0,6,TUE,W,TUE,1.2016575565157561,1.1794130106463176,1.2780399311397759,1.169741359303009,0.16848334641600604,0.15140237984815053,-0.18656191549908763,-0.1954636590522867,0.10829857183676683,0.017080966567855516,0.0,False,True,True,False,False
u56,PHASE,25.0,6,TUE,W,TUE,1.0802801176854129,1.0511135535895986,1.1672865237625822,1.055189096103777,0.15201506040103463,0.13475552162333626,-0.1875305870254439,-0.19761157314806,0.11209742765880515,0.01725953877769837,0.0,False,True,True,False,False
u56,JIT,10.0,32,15,0,17,1.1990340319592379,1.1742780124714074,1.1496862180310774,1.1969628737016336,0.1484127306742773,0.15517490658311361,-0.1980757534778066,-0.19731543284302622,-0.04727665567055617,-0.006762175908836321,0.04770455303057752,False,True,True,False,False
u56,JIT,25.0,32,15,0,0,1.0692864247157479,1.0441514360343112,1.034229634352514,1.0830093502024702,0.1316764581713208,0.13858360198901987,-0.2002060422989187,-0.19954631794487765,-0.04877971584995633,-0.00690714381769908,0.04877971584995633,False,True,True,False,False
u56,PERM,10.0,32,27,0,9,1.4176674448418871,0.9300345003214773,1.0757926194146443,1.0925427637290055,0.11788839932346384,0.12237743771191889,-0.18899236727908508,-0.18578613433191182,-0.01675014431436117,-0.004489038388455047,0.12946242573047795,False,True,False,False,False
u56,PERM,25.0,32,27,0,9,1.2720039620834662,0.7992459889065096,0.9400483254321672,0.9576317610380721,0.10151138419368433,0.10572178573088453,-0.1909131440088082,-0.18788106351213751,-0.017583435605904918,-0.0042104015372002035,0.13731495001290162,False,True,False,False,False
broad136,PHASE,10.0,6,WED,W,TUE,1.2072613814463466,1.1045837369244498,0.8794775201135373,0.9019692967871392,0.12671165930702077,0.12855598987131645,-0.216984281045706,-0.20695397413814975,-0.022491776673601915,-0.0018443305642956709,0.04422154391097466,False,False,False,False,False
broad136,PHASE,25.0,6,WED,W,TUE,1.0601681650844372,0.9530791070000015,0.7351554282081485,0.7522440464215919,0.10298988779604068,0.10421403540119578,-0.21895163855819033,-0.20955790457031098,-0.01708861821344343,-0.0012241476051551015,0.04406101151190378,False,False,False,False,False
broad136,JIT,10.0,32,17,0,23,1.1206546999564524,1.110356071623508,0.9264216541550445,0.8736801336839175,0.13239061632611926,0.12389484338186052,-0.21575790918076598,-0.21614137066876726,0.05274152047112701,0.00849577294425874,0.014461992467500684,False,False,False,False,False
broad136,JIT,25.0,32,17,0,23,0.9670940891321083,0.9565084725934417,0.7737754591684329,0.7212391502650577,0.10754731712970034,0.09922074740612974,-0.21867982866175628,-0.2189611244779336,0.05253630890337524,0.008326569723570598,0.016509337533690882,False,False,False,False,False
broad136,PERM,10.0,32,5,0,16,1.3496236058629538,1.1080491409758002,0.9607010244816511,0.8553383510025521,0.11101706880115247,0.09751908367471196,-0.21186781607253458,-0.20374581083689225,0.105362673479099,0.013497985126440515,0.17433666746463705,False,False,False,False,False
broad136,PERM,25.0,32,5,0,16,1.1764953547703605,0.9350141186530049,0.7785822014937788,0.6742311820921748,0.08780826242428352,0.07466681728310753,-0.21477590617958742,-0.2062985906534428,0.10435101940160396,0.01314144514117599,0.17310898795260632,False,False,False,False,False
small439,PHASE,10.0,6,TUE,W,TUE,0.63127776556683,0.4910049240006431,0.6262071574319311,0.4380497011974084,0.10212687409935528,0.06499491047793038,-0.28313223612845406,-0.3197297435901887,0.18815745623452274,0.0371319636214249,0.0,False,False,False,False,False
small439,PHASE,25.0,6,TUE,W,TUE,0.454916999307171,0.31781373596989876,0.4448341816289894,0.2552410815785108,0.0664476130747953,0.030240747006179403,-0.300607744741889,-0.35194952211007813,0.18959310005047864,0.036206866068615895,0.0,False,False,False,False,False
small439,JIT,10.0,32,10,0,9,0.5795476616001282,0.43370582980013667,0.4492953557945386,0.4361379248455516,0.06718188999740105,0.06443137563012913,-0.31474375530568244,-0.32751501707553554,0.013157430948987026,0.0027505143672719168,0.09426947494421767,False,False,False,False,False
small439,JIT,25.0,32,10,0,9,0.3940761684098823,0.24818949949028662,0.25655868567477,0.24442318416343303,0.030486154870244198,0.028174295572050312,-0.3498160826209231,-0.36071690334033124,0.012135501511336994,0.0023118592981938857,0.09896991991028986,False,False,False,False,False
small439,PERM,10.0,32,13,0,31,0.8103345987548328,0.4282310502882179,0.33401629174968617,0.15670239661345436,0.04163561739009869,0.012244346632045655,-0.32339472391225865,-0.36694847105663075,0.1773138951362318,0.029391270758053034,0.1570383844491262,False,False,False,False,False
small439,PERM,25.0,32,13,0,31,0.6353447288104693,0.25133252905962683,0.15292890659470762,-0.022717958888351663,0.01170815012034132,-0.01803440238407783,-0.32719957762708884,-0.4153736896434814,0.17564686548305927,0.02974255250441915,0.15633503909063381,False,False,False,False,False
