split,days,trail126,fwd126
DV-only (427),83624,0.11007904183776783,0.0030147384958378147
VOLSH-only (427),83592,0.025326487852529393,0.2892071332281418
IP > F/s*,758606,0.10139878060507793,0.012185941406280173
IP < F/s*,601668,0.04547672490430899,0.14939015682537682
px > F/s*,762614,0.10876499877867017,0.011693982447596805
px <= F/s*,606070,0.035960180227695746,0.1490050059195261
EJECTED <=126d,198856,0.11161031099795368,0.10074381350006154
RE-ADMITTED <=126d,230037,0.24661789808539664,0.08465842379725594
