rung,cadence,fallback,floor,n_emptied,mean_dSharpe,med_dSharpe,win_Sharpe,mean_dMaxDD,win_MaxDD,mean_dCAGR,ctrl_4b_in_emptied
10bps,D,FB_CASH,0.1,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_CASH,0.25,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_CASH,0.4,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_CASH,0.5,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_CASH,0.75,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_CASH,0.9,9,-0.8939,-0.8711,0.0,0.177,1.0,-0.1009,2
10bps,D,FB_SPY,0.1,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_SPY,0.25,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_SPY,0.4,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_SPY,0.5,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_SPY,0.75,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_SPY,0.9,9,-0.0188,0.0003,0.5556,-0.1602,0.0,0.052,2
10bps,D,FB_LIVE,0.1,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,D,FB_LIVE,0.25,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,D,FB_LIVE,0.4,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,D,FB_LIVE,0.5,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,D,FB_LIVE,0.75,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,D,FB_LIVE,0.9,9,0.0871,0.0079,0.5556,0.0497,0.8889,-0.0306,2
10bps,W,FB_CASH,0.1,3,-0.516,-0.5599,0.0,0.2371,1.0,-0.0565,0
10bps,W,FB_CASH,0.25,6,-0.8502,-0.7807,0.0,0.2182,1.0,-0.1114,2
10bps,W,FB_CASH,0.4,6,-0.8502,-0.7807,0.0,0.2182,1.0,-0.1114,2
10bps,W,FB_CASH,0.5,6,-0.8502,-0.7807,0.0,0.2182,1.0,-0.1114,2
10bps,W,FB_CASH,0.75,6,-0.8502,-0.7807,0.0,0.2182,1.0,-0.1114,2
10bps,W,FB_CASH,0.9,9,-0.9008,-1.0012,0.0,0.2148,1.0,-0.1201,2
10bps,W,FB_SPY,0.1,3,0.3608,0.317,1.0,-0.1001,0.3333,0.0968,0
10bps,W,FB_SPY,0.25,6,0.0239,0.0934,0.5,-0.1189,0.1667,0.0413,2
10bps,W,FB_SPY,0.4,6,0.0239,0.0934,0.5,-0.1189,0.1667,0.0413,2
10bps,W,FB_SPY,0.5,6,0.0239,0.0934,0.5,-0.1189,0.1667,0.0413,2
10bps,W,FB_SPY,0.75,6,0.0239,0.0934,0.5,-0.1189,0.1667,0.0413,2
10bps,W,FB_SPY,0.9,9,-0.0258,-0.1299,0.4444,-0.1223,0.1111,0.0329,2
10bps,W,FB_LIVE,0.1,3,0.0441,0.0003,1.0,0.0982,0.6667,-0.019,0
10bps,W,FB_LIVE,0.25,6,0.0682,0.0007,1.0,0.0885,0.8333,-0.0453,2
10bps,W,FB_LIVE,0.4,6,0.0682,0.0007,1.0,0.0885,0.8333,-0.0453,2
10bps,W,FB_LIVE,0.5,6,0.0682,0.0007,1.0,0.0885,0.8333,-0.0453,2
10bps,W,FB_LIVE,0.75,6,0.0682,0.0007,1.0,0.0885,0.8333,-0.0453,2
