panel,selector,arm,CAGR,Sharpe,MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4a,f4b,mOOS
U56,PARKED_FIXED,M12_1_VS/W/n10/g0.75/NORM,0.14932698124111998,1.0578568024016375,-0.19375551807752223,0.16936944678238675,1.106248563346631,-0.19375551807752223,False,-,0.2242377961643468
U56,CADENCE_PICK,M12_1_VS/M/n10/g0.75/NORM,0.169575849646743,1.156141593405545,-0.24049487102213307,0.18344579327775445,1.1490890470446655,-0.24049487102213274,False,DD,0.2670782798623813
U56,ARM_PICK,M12_1_VS/M/n10/g1.00/LIT,0.22183697503459698,1.1382000353007113,-0.3102722627478298,0.23554715332802023,1.11475505842469,-0.31027226274782993,False,DD,0.2327442912424057
U56,ANY_PICK,M12_1_VS/M/n10/g1.00/LIT,0.22183697503459698,1.1382000353007113,-0.3102722627478298,0.23554715332802023,1.11475505842469,-0.31027226274782993,False,DD,0.2327442912424057
U56,RULES v1,-,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.07730300522922962,0.747063834691694,-0.13827796154480798,,-,
U56,SPY,-,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.15450717694493266,0.8820107671822842,-0.33717235283398284,,-,
B136,PARKED_FIXED,M12_1_VS/W/n10/g0.75/NORM,0.16911919218607485,1.0489467145530977,-0.2089011764262979,0.1616608163111204,0.9570421096644212,-0.2089011764262979,True,DD,0.07501818606718957
B136,CADENCE_PICK,M12_1_VS/M/n10/g0.75/NORM,0.17730337124976803,1.0500425135895022,-0.2940511967401749,0.1718094877723324,0.9498744673102286,-0.2940511967401749,False,DD,0.06785054371299704
B136,ARM_PICK,M12_1_VS/M/n5/g1.00/LIT,0.32705483567108096,1.1992789291802322,-0.3975021541592014,0.3258954217025498,1.1188902444363868,-0.39750215415920154,False,DD,0.23686632083915526
B136,ANY_PICK,M12_1/D/n5/g1.00/LIT,0.3082459439966674,1.1163638030102012,-0.3220393280739301,0.26812193361974135,0.958692217945666,-0.32203932807393,False,DD,0.07666829434843436
B136,RULES v1,-,0.06385177680442844,0.6349911081998837,-0.21191263611532518,0.05941502665859644,0.5762505378038233,-0.2119126361153264,,-,
B136,SPY,-,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.1545044425578177,0.8820239235972316,-0.3371595330739301,,-,
SMALL439,PARKED_FIXED,M12_1_VS/W/n10/g0.75/NORM,0.09916236086006736,0.5681229170529081,-0.3510370217849553,0.0976955232230845,0.5432872598368972,-0.35103702178495555,False,"H1,H2,OOS,DD",-0.33872350734538703
SMALL439,CADENCE_PICK,M12_1_VS/M/n10/g0.75/NORM,0.11801540943613786,0.6485821914957964,-0.45898701592208746,0.1122789848382546,0.6061159910429997,-0.45898701592208657,False,"H1,H2,OOS,DD",-0.2758947761392845
SMALL439,ARM_PICK,M12_1_VS/M/n10/g1.00/LIT,0.15078164410984973,0.6494172711808203,-0.583719798789595,0.14069488195181679,0.6031032151517778,-0.5837197987895946,False,"H1,H2,OOS,DD",-0.27890755203050643
SMALL439,ANY_PICK,M12_1_VS/M/n10/g1.00/LIT,0.15078164410984973,0.6494172711808203,-0.583719798789595,0.14069488195181679,0.6031032151517778,-0.5837197987895946,False,"H1,H2,OOS,DD",-0.27890755203050643
SMALL439,RULES v1,-,0.07414436528284951,0.5646749773759185,-0.3612439163986041,0.06352093691071903,0.49230650885687877,-0.3612439163986053,,-,
SMALL439,SPY,-,0.1412985547640384,0.8615352658239138,-0.3371723528339826,0.15450717694493266,0.8820107671822842,-0.33717235283398284,,-,
