leg,panel,form,cadence,cash_bps,IS_lo,IS_hi,IS_width,IS_pts,gstar,OOS_lo,OOS_hi,OOS_width,OOS_pts,gstar_in_OOS,IS_band_empty,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a_vs_v2,fail4b_full,fail4b_oos,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
WF-A,B136,EWall,M,0.0,0.6,0.6,0.0,1.0,0.6000000000000001,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,M,150.0,0.55,0.6,0.04999999999999993,2.0,0.55,0.55,0.55,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,M,300.0,0.5,0.6,0.09999999999999998,3.0,0.55,0.55,0.6,0.04999999999999993,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,0.0,0.55,0.6,0.04999999999999993,2.0,0.55,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,150.0,0.55,0.6,0.04999999999999993,2.0,0.55,0.55,0.55,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,EWall,W,300.0,0.5,0.6,0.09999999999999998,3.0,0.55,0.5,0.55,0.050000000000000044,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,0.0,0.95,1.0,0.050000000000000044,2.0,1.0,1.0,1.0,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,150.0,0.9,1.0,0.09999999999999998,3.0,0.9500000000000001,0.95,1.0,0.050000000000000044,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,M,300.0,0.8,1.0,0.19999999999999996,5.0,0.9,0.9,1.0,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,150.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-DG,W,300.0,0.95,1.0,0.050000000000000044,2.0,1.0,0.95,1.0,0.050000000000000044,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,0.0,0.7,0.9,0.20000000000000007,5.0,0.8,0.65,0.65,0.0,1.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,150.0,0.65,0.9,0.25,6.0,0.8,0.6,0.65,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,M,300.0,0.6,0.9,0.30000000000000004,7.0,0.75,0.55,0.65,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,0.0,0.7,0.85,0.15000000000000002,4.0,0.75,0.7,0.75,0.050000000000000044,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,150.0,0.7,0.85,0.15000000000000002,4.0,0.75,0.65,0.75,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA-RS,W,300.0,0.65,0.85,0.19999999999999996,5.0,0.75,0.6,0.75,0.15000000000000002,4.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,0.0,0.45,0.8,0.35000000000000003,8.0,0.6000000000000001,0.5,0.55,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,150.0,0.4,0.8,0.4,9.0,0.6000000000000001,0.5,0.55,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,M,300.0,0.35,0.8,0.45000000000000007,10.0,0.55,0.45,0.55,0.10000000000000003,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,W,0.0,0.55,0.75,0.19999999999999996,5.0,0.65,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
