panel,book,CAGR,Sharpe,MaxDD,alpha_ann,t_alpha,beta,R2,alpha_h1,t_h1,alpha_h2,t_h2,beta_h1,beta_h2,alpha_IS,t_IS,beta_IS,alpha_OOS,t_OOS,beta_OOS,n
U56,BAND03_g050,0.0572599018279345,1.2012908100792088,-0.08117568893512117,0.024097643744318036,3.9275917059143706,0.2088059525058789,0.6115376185013102,0.02217969513038771,2.493843668152467,0.026065883879735224,3.0813155613979415,0.20754151083359484,0.20976352361591466,0.0189835864260372,1.9763577883513046,0.20399278732368267,0.028359377241890433,3.596534610428808,0.2123416631203739,4444
U56,BAND03_g075,0.0862272835611193,1.201257610460695,-0.12054947951644912,0.036149023646900674,3.9297428543978286,0.3134316837111964,0.6118359811771509,0.03331447832176313,2.4983816731623705,0.039065544700117874,3.0801447968907385,0.3113708834941807,0.3149922783104444,0.028517909825872267,1.9802538799358185,0.3060531522276976,0.042510340416999755,3.595877633242241,0.31885198433456874,4444
U56,BAND03_g100,0.11537075945472508,1.2010825722250866,-0.15910995440549058,0.04819064343895838,3.9307813722894323,0.41821816587037713,0.612128182536765,0.04446810010094825,2.502227343450781,0.05203154272139808,3.0781110003878496,0.41524311935083563,0.4204710151214666,0.03806937900782364,1.983513367516004,0.4081599733412188,0.056630562595984445,3.594266937825758,0.4256070829435651,4444
U56,EWELIG_g075,0.10356166800306177,1.0449824470869484,-0.158746990312857,0.033188776381720346,2.989979574423653,0.44870375656678296,0.6440045771217547,0.02869878378028137,1.856163661298279,0.03747305497882113,2.392303770081612,0.4538651499450744,0.4447977338062567,0.024335418690133306,1.4562149074184612,0.44902268042794613,0.040477329013874144,2.747599387582752,0.44846535810487165,4444
U56,EWELIG_g100,0.13806075214525215,1.0451247776470174,-0.2088027842873278,0.044283065897490634,2.9958342791552917,0.5990366871759213,0.6444152988620011,0.038321522539979454,1.8604933505057606,0.049988220138493446,2.3964490133585166,0.6054692086818989,0.5941687854637024,0.032505610957390574,1.4600656442087705,0.5990239012889947,0.053983400251969904,2.7521259421801707,0.5990408073644682,4444
U56,V1_n5,0.06365716878931948,0.6562559682138558,-0.1382777636309106,0.019512582926261672,1.000158560413068,0.30271688291445426,0.27630402103699503,0.014762231203646656,0.6086691295745207,0.02469994565661087,0.8139187800207216,0.2917397995168577,0.31102726424409105,0.009530597054466319,0.372887266420485,0.2818976596521982,0.02794883791062462,0.9747448856475299,0.3180159492399863,4444
U56,SPYBH,0.15130245537273979,0.8845060132920908,-0.33717267708462395,2.9303354158658925e-16,,0.9999999999999989,1.0,2.8249542043051516e-16,,2.7231274492961066e-16,,0.9999999999999986,0.9999999999999994,1.2559251749066783e-16,,0.9999999999999987,-2.9070251038332656e-16,,1.0000000000000018,4444
B136,BAND03_g050,0.053080901431818095,1.0992062993916163,-0.08242086768618762,0.01816011746826854,3.1407097948676608,0.22126190337669366,0.6634733093479501,0.021687253312235484,2.484913107478258,0.014059156501187754,1.8654511346081866,0.23580640794948743,0.21024972874828574,0.01778439818990207,1.9012594684517667,0.23244742132577456,0.01835817481214032,2.564594480131172,0.21303788788804331,4443
B136,BAND03_g075,0.07977883927766838,1.0992531359665725,-0.12240985403190008,0.027253168082593947,3.143025124895821,0.332152416020581,0.6636688115571743,0.03261775126462023,2.4929417857383442,0.021035007821432805,1.8599276332735797,0.3537891062548404,0.31577046649192625,0.026766511918583778,1.908733358416489,0.3487575809067002,0.02748859797473442,2.5592002307111397,0.31994370679651657,4443
B136,BAND03_g100,0.10652976854836904,1.0991593874420875,-0.16157983013208954,0.036343177822542184,3.1441409656876154,0.4432281913549404,0.6638536316847382,0.04359425406989794,2.500214499686175,0.027963851555019768,1.8534879904969648,0.47182930533212336,0.4215731847508417,0.03579646761049073,1.9155046175218895,0.4651299126294694,0.03657528154150896,2.552788462942532,0.42712531255508707,4443
B136,EWELIG_g075,0.10656429035062365,1.021147356526676,-0.17688085212974547,0.026132466273616012,2.9359807445487873,0.5137550482177062,0.7574973545955612,0.030309467222620665,2.4131656501576235,0.020657213114987957,1.6147674748084844,0.5466151659026419,0.4888761839792356,0.024953474171173492,1.844850818988484,0.5430806621151352,0.02681153255713934,2.256720247015435,0.49219365186658737,4443
B136,EWELIG_g100,0.1419613396208741,1.021138121609721,-0.230920497501097,0.03488482683794334,2.9429474345121465,0.6861152773408924,0.7576414536942093,0.0405973981947487,2.4294590294432847,0.027468624753848564,1.6112267250999484,0.7292387542665207,0.6534658329054871,0.03347177839956502,1.8599314658448267,0.7245425596538742,0.03566600118162926,2.2522651901612774,0.6578620262014814,4443
B136,V1_n5,0.06411794932166859,0.6375122821596922,-0.2119236647684153,0.020456302320133644,1.0182161084818544,0.30185419475412406,0.25249579590121374,0.02754275026690436,1.0869348800945942,0.012512950385609789,0.4045975185306277,0.3235958516450171,0.28539244509929146,0.0246740835069308,0.9157314008019963,0.31640662277165427,0.016835878461174333,0.5799628498276594,0.2911570492866841,4443
B136,SPYBH,0.15163389387763448,0.8860757549112315,-0.3371595330739303,1.4875702031413548e-16,,0.9999999999999992,1.0,-3.082567919182279e-16,,-1.053750706536764e-16,,1.0000000000000002,0.9999999999999997,-2.6201350746374686e-16,,1.0000000000000004,-2.714158623325054e-16,,1.0000000000000002,4443
SMALL716,BAND03_g050,0.03122378641820167,0.7127973415637197,-0.08226093459127248,0.0073398693178023805,0.8477039415078164,0.16699561074307998,0.4077973651295682,0.0046160516155683735,0.5231832210192426,0.008375745672628523,0.5762644016146962,0.206281424889637,0.14583066273301348,0.007741326062911917,0.7681780791966868,0.20388887774102527,0.00672520632731197,0.5458466342750027,0.15146280887821176,3938
SMALL716,BAND03_g075,0.04643145394501946,0.712909494532991,-0.1217604452962513,0.011001518113253709,0.8479533377881562,0.25062740320007637,0.40816859103807857,0.006958143769796376,0.5264314930523559,0.01251408904559362,0.5744704500972974,0.3095298111400508,0.21889429283037565,0.011649712176837208,0.7718266317730686,0.3059307787628399,0.010051499845289816,0.5443376898170307,0.2273436964740344,3938
SMALL716,BAND03_g100,0.06134005344535365,0.7129658026887622,-0.16017674518014158,0.014653504366637676,0.8479495080767186,0.3343530800126287,0.40853176912862366,0.00931926097631395,0.5294684279449787,0.016614890626491727,0.5725065390815226,0.41285292302186904,0.2920622204177342,0.015579713978460192,0.7752917866181525,0.4080405836532287,0.01334909086921566,0.5426341129989415,0.30332948721527203,3938
SMALL716,EWELIG_g075,0.05789888366755602,0.5173570411566502,-0.3180877376071761,-0.015739477236868585,-0.7076907137630802,0.54548908288142,0.5644458274785289,-0.008174532405268775,-0.4064267588924294,-0.02458069884477954,-0.6133466342399385,0.5750723953739058,0.5295834509242259,-0.003316737735478927,-0.15080048777017385,0.5796917478090341,-0.02374439577611854,-0.7076830071972123,0.5311198093526251,3938
SMALL716,EWELIG_g100,0.07423791371913846,0.5167560171245192,-0.4064343598809286,-0.021235145365358407,-0.7162910217708025,0.729327669130344,0.5656619080471279,-0.01072557377428863,-0.4006835629774845,-0.03339256379025104,-0.6252609792195041,0.7675143966439473,0.7087988538795751,-0.004207976729939282,-0.1438179749201559,0.7737099923802848,-0.032182207807522234,-0.7195172580672541,0.7106840159015866,3938
SMALL716,V1_n5,0.22003223897347612,0.6130653788760582,-0.27593447197099996,0.22078843964945927,1.82248220308957,0.23858834670400195,0.009491180678512845,0.21679752305214312,1.443553564603883,0.2263577572594967,1.1877999512996043,0.20193438887504803,0.2583135522544746,0.04065270928140531,0.8455412340430591,0.21751441049578546,0.3321401064616494,1.7214072809855192,0.24700209995066436,3938
SMALL716,SPYBH,0.14058393631844446,0.85807570655756,-0.33717267708462384,-5.087767972349425e-16,,1.0000000000000022,1.0,-3.9406709688819374e-16,,3.580164227759778e-16,,1.0000000000000024,0.9999999999999981,-3.056055894562246e-16,,1.0000000000000022,-2.936885015652471e-16,,1.0000000000000018,3938
