cost,bucket,n,rate4a,med_absdSharpe
0.0,<0.02,510,0.047058823529411764,0.00023596770540945666
0.0,0.02-0.05,195,0.1076923076923077,0.0008616641537235736
0.0,0.05-0.10,184,0.1358695652173913,0.0014727025987095743
0.0,0.10-0.25,190,0.1631578947368421,0.0025277791213962897
0.0,0.25-0.50,161,0.14906832298136646,0.003189540523150569
0.0,>0.50,360,0.1527777777777778,0.01190348792612167
10.0,<0.02,510,0.054901960784313725,0.00023971375764147984
10.0,0.02-0.05,195,0.06153846153846154,0.0009012347613723826
10.0,0.05-0.10,184,0.059782608695652176,0.0017712403929395215
10.0,0.10-0.25,190,0.05789473684210526,0.0031073462778143934
10.0,0.25-0.50,161,0.037267080745341616,0.005284901469928327
10.0,>0.50,360,0.011111111111111112,0.02153266106607754
25.0,<0.02,510,0.0392156862745098,0.0003048784190250453
25.0,0.02-0.05,195,0.020512820512820513,0.0013790066711250049
25.0,0.05-0.10,184,0.043478260869565216,0.002763067363364888
25.0,0.10-0.25,190,0.005263157894736842,0.005663522863495418
25.0,0.25-0.50,161,0.0,0.011278363024270766
25.0,>0.50,360,0.0,0.0514996641996707
