noise_mult,output_set,n_outputs,n_bar,band_lo,band_hi,band_rungs,covers_BAND_REC,covers_BAND_NEAR,n_units,resolved_REC,resolved_NEAR,frac_REC,frac_NEAR,n_outputs_wider_than_point
1.0,OS_CORE,7,6,42,100,5,False,False,141,0,110,0.0,0.7801418439716312,7
1.0,OS_WIDE,14,13,42,100,5,False,False,700,17,666,0.024285714285714285,0.9514285714285714,14
1.0,OS_ALL,18,13,42,100,5,False,False,700,17,666,0.024285714285714285,0.9514285714285714,18
1.5,OS_CORE,7,6,26,126,8,False,True,141,10,141,0.07092198581560284,1.0,7
1.5,OS_WIDE,14,13,32,126,7,False,True,700,21,700,0.03,1.0,14
1.5,OS_ALL,18,13,32,126,7,False,True,700,21,700,0.03,1.0,18
2.0,OS_CORE,7,6,16,200,12,False,True,141,110,141,0.7801418439716312,1.0,7
2.0,OS_WIDE,14,13,26,126,8,False,True,700,115,700,0.16428571428571428,1.0,14
2.0,OS_ALL,18,13,26,126,8,False,True,700,115,700,0.16428571428571428,1.0,18
3.0,OS_CORE,7,6,1,252,17,True,True,141,141,141,1.0,1.0,7
3.0,OS_WIDE,14,13,16,200,12,False,True,700,147,700,0.21,1.0,14
3.0,OS_ALL,18,13,16,200,12,False,True,700,147,700,0.21,1.0,18
