dial,adm,CAGR_dg,CAGR_rw,MaxDD_dg,MaxDD_rw,Sharpe_dg,Sharpe_rw,panel,book,gate,cost,dSharpe,dCAGR_pp,dMaxDD_pp,binds_dg,binds_rw,swap,p4b_dg,p4b_rw
63.0,0.6397636211501947,0.06797376935375854,0.10950832405787203,-0.1289196102211616,-0.25224632293961613,1.0199502292699278,1.0361079003520406,u56,EWall,abs12,10.0,0.016157671082112746,4.153455470411349,-12.332671271845452,CAGR,DD,True,False,False
126.0,0.676383033501754,0.08261630774249551,0.11918445490930862,-0.12581771218611215,-0.19256976749392463,1.1579247956938281,1.1021695396781332,u56,EWall,abs12,10.0,-0.055755256015694865,3.6568147166813114,-6.6752055307812475,CAGR,-,True,False,True
252.0,0.7101543140346925,0.08680915467375638,0.11818190863039835,-0.14824441053505055,-0.19885932203290257,1.0901036422767063,1.07063683199559,u56,EWall,abs12,10.0,-0.01946681028111641,3.1372753956641963,-5.061491149785202,CAGR,-,True,False,True
378.0,0.728727512631545,0.08566979702145727,0.11616622987196523,-0.13631106171104646,-0.19127170700911222,1.0415187610934822,1.0648083192274371,u56,EWall,abs12,10.0,0.023289558133954946,3.049643285050796,-5.496064529806577,CAGR,-,True,False,True
504.0,0.7385229942393718,0.09236598244072614,0.12070788956854273,-0.14383319195011668,-0.18969534285676282,1.081035703842149,1.1115603957299547,u56,EWall,abs12,10.0,0.03052469188780571,2.834190712781659,-4.586215090664614,CAGR,-,True,False,True
63.0,0.6397636211501947,0.060155046149344304,0.0895752391417386,-0.13687216171854444,-0.26722121159049506,0.9094803742369819,0.8634110355182743,u56,EWall,abs12,25.0,-0.046069338718707664,2.942019299239429,-13.034904987195063,"H1,CAGR","H2,OOS,DD,CAGR",True,False,False
126.0,0.676383033501754,0.07717549495085918,0.10576123871892729,-0.12637156508273273,-0.19453525759304524,1.0866051796475726,0.9889767703519599,u56,EWall,abs12,25.0,-0.09762840929561278,2.8585743768068106,-6.816369251031251,CAGR,CAGR,False,False,False
252.0,0.7101543140346925,0.08299326988038236,0.10931551263450956,-0.14876270941568925,-0.20460893094821675,1.0457035034033249,0.9978781500985059,u56,EWall,abs12,25.0,-0.04782535330481896,2.63222427541272,-5.58462215325275,CAGR,DD,True,False,False
378.0,0.728727512631545,0.0824905393255595,0.10916226863574363,-0.1367860707701164,-0.19221532957210086,1.0058076876523734,1.0069099812030202,u56,EWall,abs12,25.0,0.0011022935506468379,2.6671729310184134,-5.542925880198446,CAGR,-,True,False,True
504.0,0.7385229942393718,0.0898776463601445,0.11600094610142153,-0.14573725286077854,-0.19062172281298861,1.0542027944421473,1.0725307720367514,u56,EWall,abs12,25.0,0.01832797759460414,2.612329974127703,-4.4884469952210075,CAGR,-,True,False,True
