score,family,arm,n,mean_d,median_d,t,wins,losses,ties,sign_p,n_changed,verdict
OOS_Sharpe,ALL,CONST-6W,115,0.09992513755376652,0.1391684980653296,8.48802816861743,92,23,0,5.787079262982775e-11,115,(constant) FITTING WINS
OOS_Sharpe,ALL,SEL-SHARPE,115,-0.012437100799460156,-0.026306373588231347,-0.6789899786867658,53,62,0,0.45581402955519157,115,fitting behind (n.s.)
OOS_Sharpe,ALL,SEL-4B,115,-0.019809367521706134,-0.03721753833632567,-1.0703120835498974,48,67,0,0.09281592098218937,115,fitting behind (n.s.)
OOS_Sharpe,ALL,RANDOM,115,0.008155395948628732,0.0,0.5586422296764141,50,53,12,0.8438976552528619,103,(control) fitting ahead (n.s.)
OOS_Sharpe,ALL,ORACLE,115,0.22176068183821718,0.19703088273811875,18.50577204791069,115,0,0,4.81482486096809e-35,115,(upper bound)
OOS_Sharpe,SMALL,CONST-6W,49,0.01631496689265622,0.00976561607835369,0.8050688306272323,28,21,0,0.3916029105474905,49,(constant) fitting ahead (n.s.)
OOS_Sharpe,SMALL,SEL-SHARPE,49,0.10136024166401371,0.06858906175787777,3.3985965434016916,32,17,0,0.04438416098714981,49,FITTING WINS
OOS_Sharpe,SMALL,SEL-4B,49,0.09693001045296226,0.04607457412091265,3.21547951734468,29,20,0,0.2528697301676033,49,fitting ahead (n.s.)
OOS_Sharpe,SMALL,RANDOM,49,0.0833382700595921,0.022286258116194946,3.483667790368986,27,15,7,0.08842954698775429,42,(control) fitting ahead (n.s.)
OOS_Sharpe,SMALL,ORACLE,49,0.2971781746706539,0.2739292261507624,13.272215416181753,49,0,0,3.552713678800501e-15,49,(upper bound)
OOS_Sharpe,U56,CONST-6W,33,0.16399889114265231,0.16621425536632795,15.686748759644683,32,1,0,7.916241884231567e-09,33,(constant) FITTING WINS
OOS_Sharpe,U56,SEL-SHARPE,33,-0.13774143215470583,-0.16589489150834513,-6.573078832334589,8,25,0,0.004551384132355452,33,FITTING LOSES
OOS_Sharpe,U56,SEL-4B,33,-0.1345553095456819,-0.15407060748934298,-6.207219246315447,9,24,0,0.013530986849218607,33,FITTING LOSES
OOS_Sharpe,U56,RANDOM,33,-0.024305647871523124,-0.014670951805672017,-1.197065368258443,15,17,1,0.860050065908581,32,(control) fitting behind (n.s.)
OOS_Sharpe,U56,ORACLE,33,0.16841130361122306,0.16776548327013852,17.941307952692206,33,0,0,2.3283064365386963e-10,33,(upper bound)
