selector,criterion,declared,twin,beta_logk,R2,within_draw_beta,rho_k,lo,hi,span,measured
EBAR-MAX,C_Ebar,extensive,BREADTH-MAX,0.9976437041012955,0.986049463567474,0.997643704101296,0.985346785313216,8.910769230769231,126.43076923076923,14.188535911602209,EXTENSIVE
BREADTH-MAX,I_breadth,intensive,EBAR-MAX,-0.002356295898679174,0.00039413527999254683,-0.002356295898679181,-0.03874464571383512,0.22276923076923077,0.3604615384615385,1.6180939226519337,INTENSIVE
EMED-MAX,C_Emed,extensive,BMED-MAX,1.0009421237372762,0.982665608106493,1.0009421237372762,0.9837863578166182,9.0,133.0,14.777777777777779,EXTENSIVE
BMED-MAX,I_bmed,intensive,EMED-MAX,0.0009421237372866663,5.0219605240098275e-05,0.0009421237372866705,0.0017677048081865755,0.225,0.3875,1.7222222222222223,INTENSIVE
EMAX-MAX,C_Emax,extensive,BMAX-MAX,0.9470368315223794,0.985004838412282,0.9470368315223798,0.9852419326365179,15.0,188.0,12.533333333333333,EXTENSIVE
BMAX-MAX,I_bmax,intensive,EMAX-MAX,-0.05296316847750262,0.17043272994470482,-0.0529631684775026,-0.4888679787980751,0.375,0.625,1.6666666666666667,INTENSIVE
ESD-MAX,C_Esd,extensive,BSD-MAX,0.9485149016663355,0.9799863401169673,0.9485149016663358,0.9818245447937765,3.0135559507309857,41.51162607890831,13.77496444651675,EXTENSIVE
BSD-MAX,I_bsd,intensive,ESD-MAX,-0.051485098333156246,0.126078417391715,-0.05148509833315624,-0.3953714983070902,0.07533889876827464,0.1326740735093954,1.7610301673969344,INTENSIVE
COVER-MAX,C_cover,extensive,COVERSHARE-MAX,1.0018641835406932,0.9909479673145927,1.0018641835406938,0.9845872300457773,21.0,275.0,13.095238095238095,EXTENSIVE
COVERSHARE-MAX,I_cover,intensive,COVER-MAX,0.0018641835407010078,0.000378878357711554,0.0018641835407010093,0.016760690177274593,0.525,0.8375,1.5952380952380951,INTENSIVE
SELECTIVITY-MAX,X_select,inverse,,-0.9976437040989695,0.9860494635674266,-0.9976437040989696,-0.985346785313216,0.15818934047213434,2.2444751381215466,14.188535911602207,INVERSE-EXTENSIVE
EBAR-MIN,C_Ebar,extensive,BREADTH-MIN,0.9976437041012955,0.986049463567474,0.997643704101296,0.985346785313216,8.910769230769231,126.43076923076923,14.188535911602209,EXTENSIVE
BREADTH-MIN,I_breadth,intensive,EBAR-MIN,-0.002356295898679174,0.00039413527999254683,-0.002356295898679181,-0.03874464571383512,0.22276923076923077,0.3604615384615385,1.6180939226519337,INTENSIVE
K-MAX,k,control+,,0.9999999999999902,1.0,0.9999999999999909,1.0,40.0,400.0,10.0,EXTENSIVE
RANDOM,R_rand,control-,,-0.000551678158139883,2.863552936993585e-07,-0.0005516781581399038,0.0008805601298598892,0.02901938024111661,0.99420670975677,34.260094512566845,INTENSIVE
IS-SHARPE-MAX,IS_Sharpe,intensive,,-0.05103025587333555,0.002103658167827205,,-0.0578231388668239,-0.24320758368286483,0.7478062604820108,,INTENSIVE
EWSHARPE-MAX,EW_IS_S,intensive,,0.3049490998246231,0.079353989809818,,0.34341845064535675,-0.15158099635456423,0.6345198408711215,,MIXED
