family,cost,episode,bookset,n,med_CAGR_spread,med_DD_spread,ratio_of_medians,med_of_ratios,med_CAGR_level,med_DD_level
MONTHLY,10.0,NONE,ALL71,71,1.413391362039551,8.20060844911439,5.802079076867113,5.196785089565971,11.974455794965078,-20.546776084371466
MONTHLY,10.0,NONE,CAGRCENTRED,28,1.1159478210436609,7.147362504839954,6.404746144990517,5.513274717122573,10.369518977328074,-17.49665026063978
MONTHLY,10.0,NONE,FAR,29,2.2172324319682524,9.671323413516575,4.361889747811092,4.361889747811092,16.757239129509816,-28.023157980098745
MONTHLY,10.0,CRASH,ALL71,71,1.2950595963684872,3.767910970208888,2.9094498668436515,3.006659483291747,13.51725257101386,-13.041379007093056
MONTHLY,10.0,CRASH,CAGRCENTRED,28,1.051882630193357,3.1727692955766216,3.0162769157937355,3.1826551420351485,11.67457111110972,-10.937427487503875
MONTHLY,10.0,CRASH,FAR,29,1.9753664393183925,4.588117861075514,2.3226667061624577,2.6715307877173045,19.008615062586955,-17.610228988431643
MONTHLY,10.0,HALF1,ALL71,71,1.1371576342503076,3.767910970208888,3.31344648861541,3.1482520576948763,12.673999967757865,-13.041379007093212
MONTHLY,10.0,HALF1,CAGRCENTRED,28,0.9374622808900668,3.172769295576588,3.384423416549864,3.221722775304605,11.021036116820081,-10.937427487503875
MONTHLY,10.0,HALF1,FAR,29,1.6769240615253977,4.588117861075514,2.7360319804237148,2.8077845894120137,18.291921448775362,-17.610228988431643
MONTHLY,10.0,YEAR,ALL71,71,1.138912738262988,3.767910970208888,3.308340352708246,3.176754610384738,11.884332121786523,-13.041379007093079
MONTHLY,10.0,YEAR,CAGRCENTRED,28,0.9500243002405924,3.1727692955765043,3.3396717271053014,3.2619750607716034,10.32112170879026,-10.937427487503875
MONTHLY,10.0,YEAR,FAR,29,1.6730570656921167,4.588117861075524,2.742355867686733,2.9284019278166706,17.09615613669002,-17.610228988431643
MONTHLY,10.0,PLA2018_YEAR,ALL71,71,1.453873266143546,8.200608449114467,5.640524961894989,5.109093573083098,12.63240985369869,-20.546776084371476
