LADDER_SET,BAR_FORM,pairs,W,N,TIE,reversal_rate,tie_rate,reversed_vs_RAW,reversed_vs_POINT
ALL4,B_RAW,252,252,0,0,0.0,0.0,0,27
ALL4,B_POINT,252,225,27,0,0.10714285714285714,0.0,27,0
ALL4,B_MED,252,197,55,0,0.21825396825396826,0.0,55,28
ALL4,B_IID90,252,127,5,120,0.01984126984126984,0.47619047619047616,125,121
ALL4,B_IID95,252,126,5,121,0.01984126984126984,0.4801587301587302,126,122
ALL4,B_BOOT95,252,108,0,144,0.0,0.5714285714285714,144,144
NG,B_RAW,126,126,0,0,0.0,0.0,0,27
NG,B_POINT,126,99,27,0,0.21428571428571427,0.0,27,0
NG,B_MED,126,71,55,0,0.4365079365079365,0.0,55,28
NG,B_IID90,126,1,5,120,0.03968253968253968,0.9523809523809523,125,121
NG,B_IID95,126,0,5,121,0.03968253968253968,0.9603174603174603,126,122
NG,B_BOOT95,126,3,0,123,0.0,0.9761904761904762,123,123
