panel,instrument,depth_pp,level,CAGR,Sharpe,gross,OOS_Sharpe,OOS_CAGR,dCAGR,price,sprice
U56,VOL20,1.0,0.9581282381481567,0.14887342294443212,1.1593375062530613,0.7470116215413551,1.152810360573518,0.1581435210662793,0.5156082260356742,0.5156082260356742,0.01736569342022798
U56,VOL20,2.0,0.7565433800611687,0.1418738137498389,1.130089571812885,0.7463360705141243,1.1381529712251222,0.1514874541001266,1.2155691454949964,0.6077845727474982,0.023306813930202175
U56,VOL20,3.0,0.5225749344231321,0.1327849419602629,1.125340772385157,0.7444189626679244,1.1805227286580622,0.14571011665115438,2.1244563244525976,0.7081521081508658,0.017120809096044114
U56,VOL20,3.12,0.549546166590573,0.1333654973847491,1.1196899725938936,0.7446393448930001,1.1523274633256126,0.143765350900963,2.066400782003977,0.6623079429499926,0.018273470217755036
U56,VOL20,4.0,0.39505381883416474,0.12452250740345845,1.132321326225096,0.7415069355516524,1.2107825365169103,0.13819519204359984,2.950699780133041,0.7376749450332603,0.011095468362048333
U56,VOL20,5.0,0.362815631699033,0.11837034572863651,1.1159913737807612,0.7390809395956717,1.1943232012144263,0.1314108930529256,3.565915947615235,0.713183189523047,0.01214236517850562
U56,VOL20,6.0,,,,,,,,,
U56,VOL20,8.0,,,,,,,,,
U56,BAND,1.0,0.09855680949288315,0.15122445912468124,1.1876274175160866,0.7216263204648167,1.213576373414457,0.16625635927165158,0.28050460801076205,0.28050460801076205,-0.01092421784279729
U56,BAND,2.0,0.03622560299658488,0.14614379774880473,1.1689358095827103,0.72122843153898,1.1986699083239905,0.1616886663629439,0.7885707455984131,0.39428537279920656,0.0038836950452895147
U56,BAND,3.0,,,,,,,,,
U56,BAND,3.12,,,,,,,,,
U56,BAND,4.0,,,,,,,,,
U56,BAND,5.0,,,,,,,,,
U56,BAND,6.0,,,,,,,,,
U56,BAND,8.0,,,,,,,,,
U56,DEGROSS,1.0,0.9491636865316826,0.14609376074646294,1.1766223744409143,0.7091135072329953,1.1698430338665198,0.15654245381336893,0.7935744458325927,0.7935744458325927,8.08252323749592e-05
U56,DEGROSS,2.0,0.89875144062721,0.13823115941304284,1.1765352798056579,0.6714989768547668,1.169706052899806,0.14811353770719224,1.579834579174602,0.789917289587301,8.395993381571376e-05
U56,DEGROSS,3.0,0.8487546771916861,0.13044100195086816,1.176442663832571,0.6341895283469607,1.1695641015951779,0.13976222605620506,2.35885032539207,0.7862834417973567,8.684528023946332e-05
U56,DEGROSS,3.12,0.8428031509251953,0.12951463142100617,1.1764308331909146,0.6297476982193675,1.1695463946141678,0.1387691274875911,2.45148737837827,0.7857331340955993,8.72969494790768e-05
U56,DEGROSS,4.0,0.7991655164566642,0.12272247070890527,1.176343982115052,0.5971793361871572,1.1694164649796868,0.1314877186890427,3.1307034495883594,0.7826758623970899,8.980438955930037e-05
U56,DEGROSS,5.0,0.7499758908968337,0.1150748535068191,1.1762399066765579,0.5604624348790463,1.1692642808039986,0.12328939329880655,3.8954651697969758,0.7790930339593951,9.265859934628473e-05
U56,DEGROSS,6.0,0.7011871496812982,0.10749904520671041,1.1761306607065245,0.5240397664522005,1.169107608620682,0.11516827663541641,4.653045999807845,0.7755076666346409,9.542316112746511e-05
U56,DEGROSS,8.0,0.6047822983456305,0.09256005841592282,1.1758997518258532,0.4520549350596602,1.1687834024007262,0.09915493230034288,6.146944678886604,0.7683680848608255,0.00010043098092951674
