panel,chooser,rule,pick_all,pick_est,same_pick,dOOS_Sharpe,dOOS_CAGR,dOOS_MaxDD
U56,C_ISSHARPE,R_1164,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISSHARPE,R_STRICT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISSHARPE,R_LOOSE,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISSHARPE,R_TSTAT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISCAGR,R_1164,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISCAGR,R_STRICT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISCAGR,R_LOOSE,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISCAGR,R_TSTAT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
U56,C_ISDD,R_1164,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
U56,C_ISDD,R_STRICT,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
U56,C_ISDD,R_LOOSE,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
U56,C_ISDD,R_TSTAT,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
B136,C_ISSHARPE,R_1164,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISSHARPE,R_STRICT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISSHARPE,R_LOOSE,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISSHARPE,R_TSTAT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISCAGR,R_1164,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISCAGR,R_STRICT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISCAGR,R_LOOSE,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISCAGR,R_TSTAT,N5/H63/W,N5/H63/W,True,0.0,0.0,0.0
B136,C_ISDD,R_1164,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
B136,C_ISDD,R_STRICT,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
B136,C_ISDD,R_LOOSE,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
B136,C_ISDD,R_TSTAT,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
SMALL,C_ISSHARPE,R_1164,N10/H252/W,N10/H252/W,True,0.0,0.0,0.0
SMALL,C_ISSHARPE,R_STRICT,N10/H252/W,N10/H252/W,True,0.0,0.0,0.0
SMALL,C_ISSHARPE,R_LOOSE,N10/H252/W,N10/H252/W,True,0.0,0.0,0.0
SMALL,C_ISSHARPE,R_TSTAT,N10/H252/W,N10/H252/W,True,0.0,0.0,0.0
SMALL,C_ISCAGR,R_1164,N5/H252/W,N5/H252/W,True,0.0,0.0,0.0
SMALL,C_ISCAGR,R_STRICT,N5/H252/W,N5/H252/W,True,0.0,0.0,0.0
SMALL,C_ISCAGR,R_LOOSE,N5/H252/W,N5/H252/W,True,0.0,0.0,0.0
SMALL,C_ISCAGR,R_TSTAT,N5/H252/W,N5/H252/W,True,0.0,0.0,0.0
SMALL,C_ISDD,R_1164,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
SMALL,C_ISDD,R_STRICT,anchor/g0.30,anchor/g0.65,False,0.0016076215586003362,0.031193200430651657,-0.15999309266890416
SMALL,C_ISDD,R_LOOSE,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
SMALL,C_ISDD,R_TSTAT,anchor/g0.30,anchor/g0.30,True,0.0,0.0,0.0
