sched,EWELIG,CAND20,CAND20_NG,EWALL,H_CONC
shift0,0,0,30,30,False
shift1,0,0,30,30,False
shift2,30,0,30,30,True
shift3,30,0,30,30,True
shift4,30,0,30,30,True
phase0,30,0,30,30,True
phase1,30,0,30,30,True
phase2,0,0,30,30,False
phase3,30,0,30,30,True
phase4,30,0,30,30,True
