memo,book,panel,cost,lag,phase0_pass,pass_of_21,pass_0_7,n_pass,n_tot,MaxDD_band_pp,bars_that_fail,verdict
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C,B1,u56,10.0,1,True,9/21,5/8,9,21,8.01865898624018,DD,ANCHOR-ARTEFACT
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,B1,u56,0.0,1,True,9/21,5/8,9,21,8.05662691881941,DD,ANCHOR-ARTEFACT
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,B1,u56,10.0,1,True,9/21,5/8,9,21,8.01865898624018,DD,ANCHOR-ARTEFACT
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,B1,u56,25.0,1,True,9/21,5/8,9,21,7.978445961899827,DD,ANCHOR-ARTEFACT
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud,B2,u56,10.0,1,True,12/21,7/8,12,21,8.854137910652959,DD,FRAGILE
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud,B2,u56,25.0,1,True,12/21,7/8,12,21,8.89376247352388,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,5.0,1,True,12/21,7/8,12,21,8.840897291502314,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,5.0,5,True,4/21,2/8,4,21,7.512644404387581,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,5.0,7,True,3/21,1/8,3,21,5.402069648891206,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,10.0,1,True,12/21,7/8,12,21,8.854137910652959,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,10.0,5,True,4/21,2/8,4,21,7.496313169685875,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,10.0,7,True,3/21,1/8,3,21,5.38619967762366,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,25.0,1,True,12/21,7/8,12,21,8.89376247352388,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,25.0,5,True,4/21,2/8,4,21,7.44731946558087,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,B2,u56,25.0,7,True,3/21,1/8,3,21,5.338589763821,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,5.0,1,True,12/21,7/8,12,21,8.840897291502314,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,5.0,5,True,4/21,2/8,4,21,7.512644404387581,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,5.0,7,True,3/21,1/8,3,21,5.402069648891206,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,10.0,1,True,12/21,7/8,12,21,8.854137910652959,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,10.0,5,True,4/21,2/8,4,21,7.496313169685875,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,10.0,7,True,3/21,1/8,3,21,5.38619967762366,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,25.0,1,True,12/21,7/8,12,21,8.89376247352388,DD,FRAGILE
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,25.0,5,True,4/21,2/8,4,21,7.44731946558087,DD,ANCHOR-ARTEFACT
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,B2,u56,25.0,7,True,3/21,1/8,3,21,5.338589763821,DD,ANCHOR-ARTEFACT
2026-09-06_the-trade-date-anchor-as-a-published-column_cloud,B3,u56,10.0,1,True,1/1,1/1,1,1,0.0,-,ROBUST (by construction)
2026-09-06_the-trade-date-anchor-as-a-published-column_cloud,B3,u56,25.0,1,True,1/1,1/1,1,1,0.0,-,ROBUST (by construction)
