panel,k,n,bps,draws,rho_IS1_IS2,R2_IS1_IS2,rho_IS_OOS,R2_IS_OOS
B136,20,5,10,500,0.06871045084180337,-2.1775542812429567,0.25089777159108634,-1.5100864132776062
B136,20,5,25,500,0.0739502478009912,-1.9465681286055125,0.2530812043248173,-1.4257507310166484
B136,20,20,10,500,0.033943047772191086,-4.134313458605404,0.14431718526874104,-0.7819286344873915
B136,20,20,25,500,0.02250306601226405,-3.842526232255535,0.14027960111840446,-0.7205569938561993
B136,40,5,10,500,0.026908811635246537,-1.580084458527279,0.3659668078672314,-1.7071150199265142
B136,40,5,25,500,0.03750264601058404,-1.3923017160491704,0.3739211116844467,-1.4587029847645314
B136,40,20,10,500,0.1379743438973756,-8.1014322226104,0.24778236712946852,-1.096087049007049
B136,40,20,25,500,0.1391000444001776,-7.220036117868689,0.2592803331213325,-1.0574627043512068
B136,80,5,10,500,0.026747530990123957,-2.0714005776004667,0.3831064284257137,-2.847539671767622
B136,80,5,25,500,0.026828555314221257,-1.7776176160789627,0.38722052488209957,-2.2725012003345166
B136,80,20,10,500,0.24158957435829742,-10.080225055161938,0.2610257161028644,-3.0368159469097655
B136,80,20,25,500,0.248940515762063,-8.688555353977025,0.26447395389581557,-2.5713243287228718
SMALL439,20,5,10,500,-0.0830193080772323,-2.2706714627468876,-0.12874448297793192,-1.6962796765975137
SMALL439,20,5,25,500,-0.07928306913227652,-2.287157573767356,-0.13722755691022762,-1.7723165424792668
SMALL439,20,20,10,500,-0.09877700310801243,-4.0656327372757195,-0.050131208524834096,-2.170459511756439
SMALL439,20,20,25,500,-0.09405503222012888,-4.135237563089247,-0.05490559562238249,-2.281738416526042
SMALL439,40,5,10,500,-0.08928390913563654,-1.7696179948681756,-0.07250448201792807,-1.4096582295143918
SMALL439,40,5,25,500,-0.08754015816063264,-1.7986223847877887,-0.07129238116952467,-1.4273032010870832
SMALL439,40,20,10,500,-0.15793983175932702,-5.482703908647757,-0.09086839547358189,-3.1801872501617217
SMALL439,40,20,25,500,-0.15910518042072166,-5.653617367511809,-0.09778906315625262,-3.413926270242272
SMALL439,80,5,10,500,-0.07061605846423386,-2.3059765370458782,-0.06269065076260304,-1.7114533390469338
SMALL439,80,5,25,500,-0.06847275389101556,-2.33386890811684,-0.06147701390805563,-1.738580671886345
SMALL439,80,20,10,500,-0.0919185436741747,-5.818647637278301,-0.11372215088860355,-1.8404610560347128
SMALL439,80,20,25,500,-0.09177108708434834,-6.004059667138812,-0.12224736898947595,-1.9921636312284066
