book,panel,family,mode,theta,gross,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.05,0.005038099957781705,1.10231086842878,-0.00534644442556742,0.006208826255501787,1.2783801815039324,-0.008262813117463796
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.1,0.010082160728692724,1.1024770674025508,-0.010680363427108763,0.012433257460899183,1.2783318386143085,-0.016493402552414493
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.15,0.015131966625628213,1.102639419629596,-0.016001933258458334,0.018673021835641013,1.2782774683918883,-0.024691747448488233
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.2,0.020187297487470834,1.1027977647802547,-0.0213110102532289,0.024927846727931247,1.2782173041257794,-0.03285783341277926
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.25,0.025247938203808662,1.1029524277293772,-0.026607538151037335,0.031197456020707337,1.2781513089646166,-0.04099162088253128
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.3,0.03031365513537132,1.1031029757897712,-0.03189146171247981,0.037481566630156005,1.2780794247513163,-0.04909308734167983
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.35,0.03538423008361824,1.1032497278449975,-0.03716272805691645,0.04377990303918744,1.2780020502882983,-0.057162253228293824
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.4,0.040459439617238635,1.1033926964392913,-0.04242131679946626,0.050092177561892104,1.2779191256549396,-0.06519910854150202
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.45,0.045539046507696135,1.1035317640607787,-0.047667133154452035,0.05641810553936888,1.2778307162507871,-0.07320358866080201
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.5,0.0506227938757946,1.1036664597413963,-0.052900131251130356,0.06275738806571152,1.2777367500529102,-0.08117568893512095
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.55,0.05571045032829214,1.1037969774024023,-0.05812026290859795,0.06910972656250469,1.2776373145737974,-0.08911539844166971
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.6,0.060801750302700075,1.103922903217471,-0.06332754097878102,0.07547483457576432,1.2775326465505423,-0.09702265898790863
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.65,0.06589643801413114,1.104044256776146,-0.06852188557594563,0.08185238223816804,1.2774223894825547,-0.10489744054434458
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.7,0.07099423582873077,1.104160593786041,-0.07370334959912672,0.08824203860935986,1.2773063050427254,-0.11273973057468878
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.75,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.8,0.0811980315863512,1.1043773855110965,-0.08402727694417422,0.10105639537593358,1.2770567538310271,-0.128326762016579
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.85,0.086303468338508,1.1044776374921632,-0.08916976348195205,0.10748041980584744,1.2769230999242487,-0.1360714553894592
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.9,0.0914108567948162,1.1045720326939832,-0.09429936502883862,0.11391514782025225,1.276782823978136,-0.14378353730876248
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.95,0.09651992373611984,1.1046607414393794,-0.09941589981228915,0.1203602562626982,1.2766362313874522,-0.15146297642396467
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.0,0.10163036180711726,1.104743577494981,-0.10451924613333441,0.12681530813545194,1.2764827179455565,-0.15910995440549058
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.05,0.10674186174373523,1.1048204781329867,-0.10960937789219782,0.13327995657121416,1.2763225042436515,-0.16672444156368005
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.1,0.11185409704489868,1.1048911119635816,-0.11468631451531874,0.13975385829836728,1.2761558394503008,-0.17430627918541597
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.15,0.11696674959798914,1.1049554021819048,-0.11974991189097528,0.14623649910973002,1.2759816761038973,-0.1818557574219185
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.2,0.1220794952355857,1.1050132990548902,-0.12480020570357797,0.15272746934283932,1.2757999617790552,-0.1893728413080752
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.25,0.1271919812977611,1.1050644892468906,-0.1298371713683939,0.1592263643609637,1.2756107625727806,-0.196857642541721
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.3,0.13230396634470676,1.1051096391688184,-0.13486075087555083,0.16573267491326127,1.2754133465919018,-0.20430999060422028
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.35,0.1374150063286812,1.1051478215169825,-0.13987092970997272,0.17224605617623245,1.2752083658449005,-0.21173001903503086
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,1.4,0.1425247948982873,1.1051791460211253,-0.14486783971041695,0.17876604213791913,1.2749955809716649,-0.21911773368099752
