panel,bps,arm,conv,b,g,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,regret
U56,0,IS-pick,DEGROSS,0.4,0.5,1.2745815048201026,1.202408629681168,0.040448118624108576,-0.048781089573795455,0.10800475800082343
U56,0,IS-pick 4b-aware,RESPREAD,0.08,0.85,1.1996100259963993,1.2084468500545247,0.1645050741156473,-0.22005749922963314,0.10196653762746677
U56,0,OOS-best,DEGROSS,0.03,0.5,1.12963110111985,1.3104133876819914,0.0644946820853265,-0.08099974008672894,0.0
U56,0,parent b=0,RESPREAD,0.0,0.75,1.144214428618802,1.1813737277586662,0.1329561482548618,-0.18479622870281565,0.12903965992332522
U56,0,headline b=0.12,RESPREAD,0.12,0.75,1.1929766628844638,1.2844513289446058,0.1539521085303761,-0.19348000641665786,0.025962058737385663
U56,0,RULES v2 cell,DEGROSS,0.03,0.75,1.129947080577894,1.3095985770043688,0.097307362439361,-0.12029812615148383,0.0008148106776226793
U56,0,RULES v2 (live),,,,1.129947080577894,1.3095985770043688,0.097307362439361,-0.12029812615148383,
U56,0,SPY,,,,0.8986374811215905,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
U56,10,IS-pick,DEGROSS,0.4,0.5,1.2650275094739243,1.1930203183360413,0.04012042117873138,-0.048848023683380815,0.09261147328848196
U56,10,IS-pick 4b-aware,RESPREAD,0.12,0.85,1.1765818961385461,1.2660555325753526,0.17228527133579608,-0.21804712574986762,0.019576259049170597
U56,10,OOS-best,DEGROSS,0.03,0.5,1.1036545278933163,1.2856317916245232,0.06321394178506701,-0.08117565533609472,0.0
U56,10,parent b=0,RESPREAD,0.0,0.75,1.066931213567825,1.1117793930546764,0.124295319280882,-0.18647417592895044,0.1738523985698468
U56,10,headline b=0.12,RESPREAD,0.12,0.75,1.1762438003749653,1.2662268036768585,0.15155854069853292,-0.19419391049794632,0.019404987947664765
U56,10,RULES v2 cell,DEGROSS,0.03,0.75,1.1042593710951487,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.0005594284180412412
U56,10,RULES v2 (live),,,,1.1042593710951487,1.285072363206482,0.09534722887472857,-0.12054942313126815,
U56,10,SPY,,,,0.8986374811215905,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
U56,25,IS-pick,DEGROSS,0.4,1.0,1.2509343194809495,1.1811292925596832,0.07978445448307014,-0.09611064925731494,0.06728981655736477
U56,25,IS-pick 4b-aware,RESPREAD,0.12,0.85,1.1516512321419445,1.238902395044268,0.1681811909427886,-0.2192290556164601,0.009516714072780097
U56,25,OOS-best,DEGROSS,0.03,0.5,1.0646519425056522,1.248419109117048,0.06129562662591859,-0.08143950119273069,0.0
U56,25,parent b=0,RESPREAD,0.0,0.75,0.9507261387853186,1.0071789681137022,0.11142335315888863,-0.18898692082638602,0.2412401410033458
U56,25,headline b=0.12,RESPREAD,0.12,0.75,1.1511011486914573,1.2388703903668383,0.14797684899257857,-0.1952645103468894,0.009548718750209684
U56,25,RULES v2 cell,DEGROSS,0.03,0.75,1.0656908015460567,1.2482435320727505,0.0924133776660172,-0.12092631068492765,0.00017557704429749244
U56,25,RULES v2 (live),,,,1.0656908015460567,1.2482435320727505,0.0924133776660172,-0.12092631068492765,
U56,25,SPY,,,,0.8986374811215905,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
B136,0,IS-pick,RESPREAD,0.12,1.0,1.2141231833066928,1.1796157028745988,0.18735018032911155,-0.28125066529270537,0.054078936641396735
B136,0,IS-pick 4b-aware,RESPREAD,0.12,0.75,1.2125259987842256,1.1813732862034432,0.13995179566764704,-0.2165422701634424,0.05232135331255239
B136,0,OOS-best,RESPREAD,0.7,1.0,1.0788561665203515,1.2336946395159956,0.3246610243260948,-0.33329792506601663,0.0
B136,0,parent b=0,RESPREAD,0.0,0.75,1.1188099372578704,1.1360335521553713,0.1285111001388335,-0.19921281752360764,0.09766108736062429
B136,0,headline b=0.12,RESPREAD,0.12,0.75,1.2125259987842256,1.1813732862034432,0.13995179566764704,-0.2165422701634424,0.05232135331255239
B136,0,RULES v2 cell,DEGROSS,0.03,0.75,1.1169385288295242,1.1481353293632495,0.08210528304142972,-0.12211398589281575,0.0855593101527461
