claimset,window,n,stamped_numeric,share_numeric,stamped_word,share_word
STRICT,80,751,23,0.03062583222370173,65,0.08655126498002663
STRICT,200,751,57,0.0758988015978695,143,0.1904127829560586
STRICT,unit,751,126,0.1677762982689747,262,0.3488681757656458
WIDE,80,2309,214,0.09268081420528368,520,0.22520571676050238
WIDE,200,2309,248,0.10740580337808575,598,0.2589865742745777
WIDE,unit,2309,317,0.13728886964053702,717,0.310524036379385
