claim_class,tree_cue,n_units,n_pinned,frac_pinned
K_OF_M,T_NONE,12368,0,0.0
K_OF_M,T_DATE,12368,122,0.009864165588615782
K_OF_M,T_FILECOUNT,12368,177,0.014311125485122898
K_OF_M,T_COMMIT,12368,10,0.0008085381630012937
K_OF_M,T_ASOF,12368,3,0.0002425614489003881
K_OF_M,T_ANY,12368,309,0.024983829236739974
FRAC,T_NONE,5059,0,0.0
FRAC,T_DATE,5059,65,0.012848389009685709
FRAC,T_FILECOUNT,5059,152,0.030045463530341966
FRAC,T_COMMIT,5059,2,0.000395335046451868
FRAC,T_ASOF,5059,3,0.0005930025696778019
FRAC,T_ANY,5059,222,0.043882190156157345
C_ALL,T_NONE,17427,0,0.0
C_ALL,T_DATE,17427,187,0.010730475698628564
C_ALL,T_FILECOUNT,17427,329,0.018878751362827795
C_ALL,T_COMMIT,17427,12,0.0006885866758478223
C_ALL,T_ASOF,17427,6,0.00034429333792391115
C_ALL,T_ANY,17427,531,0.03046996040626614
