panel,arm,conv,f,cad,be_H1,be_H2,be_OOS,be_DD,be_CAGR,binding,be_joint
u56,S3,g1.00,0.0,W,21.5,30.0,30.0,,30.0,DD (never),
u56,S3,g1.00,0.0,M,30.0,30.0,30.0,,30.0,DD (never),
u56,S3,g1.00,0.0,D,8.5,16.5,17.5,,20.0,DD (never),
u56,S3,g1.00,0.25,W,25.5,30.0,30.0,30.0,30.0,H1,25.5
u56,S3,g1.00,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.25,D,10.5,16.5,17.0,28.5,14.0,H1,10.5
u56,S3,g1.00,0.5,W,25.0,30.0,30.0,30.0,16.0,CAGR,16.0
u56,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.5,D,11.0,15.5,15.5,30.0,6.5,CAGR,6.5
u56,S3,g1.00,0.75,W,12.5,30.0,26.0,30.0,,CAGR (never),
u56,S3,g1.00,0.75,M,30.0,30.0,30.0,30.0,,CAGR (never),
u56,S3,g1.00,0.75,D,6.0,11.0,10.0,28.5,,CAGR (never),
u56,S3,g1.00,1.0,W,,,,,,CAGR|DD|H1|H2|OOS (never),
u56,S3,g1.00,1.0,M,,,,,,CAGR|DD|H1|H2|OOS (never),
u56,S3,g1.00,1.0,D,,,,,,CAGR|DD|H1|H2|OOS (never),
u56,S3,natural,0.0,W,24.5,30.0,30.0,30.0,28.5,H1,24.5
u56,S3,natural,0.0,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.0,D,9.0,19.5,20.0,30.0,10.5,H1,9.0
u56,S3,natural,0.25,W,28.0,30.0,30.0,30.0,5.0,CAGR,5.0
u56,S3,natural,0.25,M,30.0,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.25,D,11.5,21.5,22.0,30.0,1.5,CAGR,1.5
u56,S3,natural,0.5,W,27.5,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,M,30.0,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,D,12.5,23.5,23.5,30.0,,CAGR (never),
u56,S3,natural,0.75,W,10.0,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.75,M,19.5,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.75,D,6.5,23.0,21.0,30.0,,CAGR (never),
u56,S3,natural,1.0,W,,13.5,1.0,30.0,,CAGR|H1 (never),
u56,S3,natural,1.0,M,,15.5,,30.0,,CAGR|H1|OOS (never),
u56,S3,natural,1.0,D,,6.5,2.0,30.0,,CAGR|H1 (never),
u56,S4,g1.00,0.0,W,21.5,30.0,30.0,,30.0,DD (never),
