file,line,pattern,name,expr,lo,hi,text,elig,half,centre,rel_half,arity,kind,says,pool
2026-09-04_defensive-sleeve_cloud.py,329,ABSTOL,,c,0.125,0.129,ok = abs(c - 0.127) < 0.002 and abs(s_ - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.0020000000000000018,0.127,0.015748031496063006,REPRO,SCALAR,False,NOT_AGG
2026-09-04_defensive-sleeve_cloud.py,329,ABSTOL,,s_,1.083,1.103,ok = abs(c - 0.127) < 0.002 and abs(s_ - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.010000000000000009,1.093,0.009149130832570913,REPRO,SCALAR,False,NOT_AGG
2026-09-04_lookback-blend_C.py,346,ABSTOL,,c,0.125,0.129,ok = abs(c - 0.127) < 0.002 and abs(sh - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.0020000000000000018,0.127,0.015748031496063006,REPRO,SCALAR,False,NOT_AGG
2026-09-04_lookback-blend_C.py,346,ABSTOL,,sh,1.083,1.103,ok = abs(c - 0.127) < 0.002 and abs(sh - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.010000000000000009,1.093,0.009149130832570913,REPRO,SCALAR,False,NOT_AGG
2026-09-04_momentum-plus-quality-proxy_cloud.py,175,CHAIN,,rows_per_yr,240.0,260.0,"f""  -> {'OK trading-day index' if 240 < rows_per_yr < 260 else 'BAD — results unsafe'}"")",True,10.0,250.0,0.04,GRID,SCALAR,False,NOT_AGG
2026-09-04_sharpe-bound-book-change_cloud.py,321,CHAIN,,rows_per_yr,240.0,260.0,"f""{'OK trading-day index' if 240 < rows_per_yr < 260 else 'BAD — results unsafe'}"")",True,10.0,250.0,0.04,GRID,CELL,False,NOT_AGG
2026-09-04_trend-gate-as-drawdown-insurance_B.py,449,ABSTOL,,c,0.125,0.129,ok = abs(c - 0.127) < 0.002 and abs(s_ - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.0020000000000000018,0.127,0.015748031496063006,REPRO,SCALAR,False,NOT_AGG
2026-09-04_trend-gate-as-drawdown-insurance_B.py,449,ABSTOL,,s_,1.083,1.103,ok = abs(c - 0.127) < 0.002 and abs(s_ - 1.093) < 0.01 and abs(dd + 0.183) < 0.005,True,0.010000000000000009,1.093,0.009149130832570913,REPRO,SCALAR,False,NOT_AGG
2026-09-04_trend-gate-as-drawdown-insurance_B.py,458,ABSTOL,,c,0.135,0.139,"f""{'PASS' if abs(c - 0.137) < 0.002 and abs(s_ - 1.123) < 0.01 else '*** MISMATCH ***'}"")",True,0.0020000000000000018,0.137,0.014598540145985413,REPRO,SCALAR,False,NOT_AGG
2026-09-04_trend-gate-as-drawdown-insurance_B.py,458,ABSTOL,,s_,1.113,1.133,"f""{'PASS' if abs(c - 0.137) < 0.002 and abs(s_ - 1.123) < 0.01 else '*** MISMATCH ***'}"")",True,0.010000000000000009,1.123,0.008904719501335716,REPRO,SCALAR,False,NOT_AGG
