claimset,D,barform,n_sites,n_scorable,n_pass,share
COMMITTED,3,SPAN_POOLED,922,693,574,0.8282828282828283
COMMITTED,3,SPAN_RSS,922,693,542,0.7821067821067821
COMMITTED,3,GAP_POOLED,922,693,0,0.0
COMMITTED,3,GAP_RSS,922,693,0,0.0
COMMITTED,6,SPAN_POOLED,922,693,574,0.8282828282828283
COMMITTED,6,SPAN_RSS,922,693,555,0.8008658008658008
COMMITTED,6,GAP_POOLED,922,693,0,0.0
COMMITTED,6,GAP_RSS,922,693,0,0.0
COMMITTED,12,SPAN_POOLED,922,693,574,0.8282828282828283
COMMITTED,12,SPAN_RSS,922,693,555,0.8008658008658008
COMMITTED,12,GAP_POOLED,922,693,0,0.0
COMMITTED,12,GAP_RSS,922,693,0,0.0
COMMITTED,24,SPAN_POOLED,922,693,597,0.8614718614718615
COMMITTED,24,SPAN_RSS,922,693,574,0.8282828282828283
COMMITTED,24,GAP_POOLED,922,693,0,0.0
COMMITTED,24,GAP_RSS,922,693,0,0.0
ALL,3,SPAN_POOLED,1421,897,774,0.862876254180602
ALL,3,SPAN_RSS,1421,897,741,0.8260869565217391
ALL,3,GAP_POOLED,1421,897,0,0.0
ALL,3,GAP_RSS,1421,897,0,0.0
ALL,6,SPAN_POOLED,1421,897,774,0.862876254180602
ALL,6,SPAN_RSS,1421,897,754,0.8405797101449275
ALL,6,GAP_POOLED,1421,897,0,0.0
ALL,6,GAP_RSS,1421,897,0,0.0
ALL,12,SPAN_POOLED,1421,897,774,0.862876254180602
ALL,12,SPAN_RSS,1421,897,754,0.8405797101449275
ALL,12,GAP_POOLED,1421,897,0,0.0
ALL,12,GAP_RSS,1421,897,0,0.0
ALL,24,SPAN_POOLED,1421,897,799,0.8907469342251951
ALL,24,SPAN_RSS,1421,897,774,0.862876254180602
ALL,24,GAP_POOLED,1421,897,0,0.0
ALL,24,GAP_RSS,1421,897,0,0.0
