panel,T_trade,cost,family,chooser,ladder,target,rung,cell,turn_py,refresh_py,CAGR,Sharpe,MaxDD,H1,H2,oos_CAGR,oos_Sharpe,oos_MaxDD,bind,keep4b_full,keep4b_oos,keep4b,keep4a
B136,M,0,CAL,C_ISSHARPE,full,0.2,M,R=M,0.9337441661472567,12.74730215827338,0.17493015619275898,1.1698387488852628,-0.29657590879004514,1.3713552881868452,0.9939598404698716,0.1638526848332753,1.0891891323404919,-0.29657590879004503,L4_DD,False,False,False,False
B136,M,0,CAL,C_ISSHARPE,short,0.2,M,R=M,0.9337441661472567,12.74730215827338,0.17493015619275898,1.1698387488852628,-0.29657590879004514,1.3713552881868452,0.9939598404698716,0.1638526848332753,1.0891891323404919,-0.29657590879004503,L4_DD,False,False,False,False
B136,M,0,CAL,C_ISCALMAR,full,0.08,M,R=M,2.29170473939595,12.74730215827338,0.11346070765929128,1.2097490318816035,-0.1612274255383982,1.3907072764457422,1.0412509006857202,0.11386864015680742,1.2047519437347791,-0.16122742553839842,none,True,True,True,False
B136,M,0,CAL,C_ISCALMAR,short,0.08,M,R=M,2.29170473939595,12.74730215827338,0.11346070765929128,1.2097490318816035,-0.1612274255383982,1.3907072764457422,1.0412509006857202,0.11386864015680742,1.2047519437347791,-0.16122742553839842,none,True,True,True,False
B136,M,0,CAL,C_ISDD,full,0.08,W,R=W,3.689160794265325,55.35161870503597,0.10611620799024912,1.208503754254332,-0.10814585012423228,1.3032348065745312,1.117308341042261,0.11361364594863232,1.2886804425414544,-0.10814585012423228,none,True,True,True,True
B136,M,0,CAL,C_ISDD,short,0.08,W,R=W,3.689160794265325,55.35161870503597,0.10611620799024912,1.208503754254332,-0.10814585012423228,1.3032348065745312,1.117308341042261,0.11361364594863232,1.2886804425414544,-0.10814585012423228,none,True,True,True,True
B136,M,0,CAL,C_ISLEGS,full,0.1,M,R=M,1.9991079023564786,12.74730215827338,0.13389588254522433,1.219839401941362,-0.1983646543081269,1.371019983683392,1.075468399989351,0.13250888734004218,1.216698932796685,-0.19836465430812722,none,True,True,True,False
B136,M,0,CAL,C_ISLEGS,short,0.1,M,R=M,1.9991079023564786,12.74730215827338,0.13389588254522433,1.219839401941362,-0.1983646543081269,1.371019983683392,1.075468399989351,0.13250888734004218,1.216698932796685,-0.19836465430812722,none,True,True,True,False
B136,M,0,FIXH,C_ISSHARPE,full,0.2,0.16,h=0.16,0.9738355926245921,2.662769784172662,0.17424196627057076,1.2269535997923526,-0.19369783083623027,1.3573623406605877,1.1016394360509565,0.16751455459196785,1.2035409541922621,-0.19369783083622982,none,True,True,True,False
B136,M,0,FIXH,C_ISSHARPE,short,0.16,0.05,h=0.05,1.7191272376789501,16.316546762589926,0.1629063800400008,1.2476605841327253,-0.17534553511663142,1.3485265153471977,1.1494345397978458,0.16155391319576995,1.2614271255086518,-0.1753455351166311,none,True,True,True,False
B136,M,0,FIXH,C_ISCALMAR,full,0.16,0.25,h=0.25,0.731522322125001,1.3030575539568345,0.1449933373786949,1.2229945002447886,-0.1781363448004295,1.357821758953621,1.09759455881226,0.141498129178673,1.2012576320727517,-0.17813634480042928,none,True,True,True,False
B136,M,0,FIXH,C_ISCALMAR,short,0.1,0.03,h=0.03,3.6708394678059753,52.40557553956834,0.1269465346662617,1.2487276713306221,-0.11820595170514459,1.3290375094003426,1.1700449784284312,0.1326687495959007,1.3177985334162559,-0.11820595170514403,none,True,True,True,True
B136,M,0,FIXH,C_ISDD,full,0.08,0.12,h=0.12,3.0968707422441404,17.56294964028777,0.1067901239672917,1.2190459384608583,-0.10610498413758851,1.3045037587068955,1.1376747062406762,0.11573258738906156,1.309366936396339,-0.10610498413758795,none,True,True,True,True
