arm,panel,q,draw,namevol_is,namevol_full,q_realised,vol_target,vol_gap,tol,tertile
CAP,CAP q0.00 d0,0.0,0,0.2596646965637803,0.28791608337328345,0.0,,0.0,,n/a
CAP,CAP q0.00 d1,0.0,1,0.2594285111128646,0.28816816520032523,0.0,,0.0,,n/a
CAP,CAP q0.00 d2,0.0,2,0.2612531852930582,0.29017963172133804,0.0,,0.0,,n/a
CAP,CAP q0.00 d3,0.0,3,0.26401706030869154,0.2930637231737022,0.0,,0.0,,n/a
CAP,CAP q0.00 d4,0.0,4,0.26411444039140203,0.29354589860065083,0.0,,0.0,,n/a
CAP,CAP q0.00 d5,0.0,5,0.26205223969869135,0.2910701366921555,0.0,,0.0,,n/a
CAP,CAP q0.00 d6,0.0,6,0.2585013055475657,0.28772717155360017,0.0,,0.0,,n/a
CAP,CAP q0.00 d7,0.0,7,0.2599881825785735,0.29020923109065966,0.0,,0.0,,n/a
CAP,CAP q0.25 d0,0.25,0,0.31646831890610067,0.3439635469771592,0.25,,0.0,,n/a
CAP,CAP q0.25 d1,0.25,1,0.2848433420024953,0.32083875710060805,0.25,,0.0,,n/a
CAP,CAP q0.25 d2,0.25,2,0.2903018321307033,0.32949180246756565,0.25,,0.0,,n/a
CAP,CAP q0.25 d3,0.25,3,0.28997497651070814,0.33025638198023227,0.25,,0.0,,n/a
CAP,CAP q0.25 d4,0.25,4,0.29519872610950676,0.33024284653434627,0.25,,0.0,,n/a
CAP,CAP q0.25 d5,0.25,5,0.289718631096567,0.33253405738888175,0.25,,0.0,,n/a
CAP,CAP q0.25 d6,0.25,6,0.28409330094512925,0.32853213151784244,0.25,,0.0,,n/a
CAP,CAP q0.25 d7,0.25,7,0.2952391835716474,0.33330304866470173,0.25,,0.0,,n/a
CAP,CAP q0.50 d0,0.5,0,0.35577235608575253,0.3977351275718823,0.5,,0.0,,n/a
CAP,CAP q0.50 d1,0.5,1,0.34615828015052125,0.3878923845204473,0.5,,0.0,,n/a
CAP,CAP q0.50 d2,0.5,2,0.34665043646008414,0.3840557290828618,0.5,,0.0,,n/a
CAP,CAP q0.50 d3,0.5,3,0.34315509649614,0.3912675227098321,0.5,,0.0,,n/a
CAP,CAP q0.50 d4,0.5,4,0.36390803065379934,0.40205620913015294,0.5,,0.0,,n/a
CAP,CAP q0.50 d5,0.5,5,0.3284126588140307,0.3687537777375052,0.5,,0.0,,n/a
CAP,CAP q0.50 d6,0.5,6,0.33012387333752247,0.37439493156514086,0.5,,0.0,,n/a
CAP,CAP q0.50 d7,0.5,7,0.32265070126871004,0.3634047361644942,0.5,,0.0,,n/a
CAP,CAP q0.75 d0,0.75,0,0.34705728814400466,0.3935317879345987,0.75,,0.0,,n/a
CAP,CAP q0.75 d1,0.75,1,0.38463624350091014,0.42363753332838505,0.75,,0.0,,n/a
CAP,CAP q0.75 d2,0.75,2,0.37134394700047035,0.40768397645129123,0.75,,0.0,,n/a
CAP,CAP q0.75 d3,0.75,3,0.38370089007108077,0.43740906476769315,0.75,,0.0,,n/a
CAP,CAP q0.75 d4,0.75,4,0.35893878551489816,0.40989609526096016,0.75,,0.0,,n/a
CAP,CAP q0.75 d5,0.75,5,0.3789860698156136,0.42901435735316085,0.75,,0.0,,n/a
CAP,CAP q0.75 d6,0.75,6,0.37721923894364556,0.42111564968343157,0.75,,0.0,,n/a
CAP,CAP q0.75 d7,0.75,7,0.3498190393680715,0.4092533489637257,0.75,,0.0,,n/a
CAP,CAP q1.00 d0,1.0,0,0.4302528267353372,0.4773842899570842,1.0,,0.0,,n/a
CAP,CAP q1.00 d1,1.0,1,0.39723032753154314,0.4577943460827143,1.0,,0.0,,n/a
CAP,CAP q1.00 d2,1.0,2,0.39900862264678655,0.45573713479330025,1.0,,0.0,,n/a
CAP,CAP q1.00 d3,1.0,3,0.3814449065514427,0.43571910059936075,1.0,,0.0,,n/a
CAP,CAP q1.00 d4,1.0,4,0.40564784032272155,0.4784679212027684,1.0,,0.0,,n/a
CAP,CAP q1.00 d5,1.0,5,0.40757053167258006,0.46498525497178095,1.0,,0.0,,n/a
CAP,CAP q1.00 d6,1.0,6,0.41589380853863617,0.4830134228422351,1.0,,0.0,,n/a
CAP,CAP q1.00 d7,1.0,7,0.41224849129479046,0.45979127023042643,1.0,,0.0,,n/a
VOLTWIN,TWIN tol0.02 q0.00 d0,0.0,0,0.278031792414355,0.35001156870873734,0.6666666666666666,0.2596646965637803,0.018367095850574666,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d1,0.0,1,0.27779446976094263,0.35003499384742964,0.7111111111111111,0.2594285111128646,0.018365958648077996,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d2,0.0,2,0.27985095476872335,0.34954637919951953,0.7,0.2612531852930582,0.01859776947566516,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d3,0.0,3,0.282521950197796,0.3561894041351683,0.6888888888888889,0.26401706030869154,0.018504889889104426,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d4,0.0,4,0.281371556329549,0.3695965769193911,0.7111111111111111,0.26411444039140203,0.017257115938147105,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d5,0.0,5,0.2791188883192116,0.35268660447379624,0.6777777777777778,0.26205223969869135,0.01706664862052021,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d6,0.0,6,0.27568553854182,0.348896319468805,0.6444444444444445,0.2585013055475657,0.017184232994254367,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.00 d7,0.0,7,0.27647605374959355,0.34099973149656826,0.6777777777777778,0.2599881825785735,0.01648787117102013,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d0,0.25,0,0.3336130157345705,0.3953853911059864,0.7444444444444445,0.31646831890610067,0.017144696828469863,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d1,0.25,1,0.30247836196022687,0.3720466769529869,0.7444444444444445,0.2848433420024953,0.017635019957731535,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d2,0.25,2,0.3058477454377243,0.38461232493656244,0.7,0.2903018321307033,0.015545913307020987,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d3,0.25,3,0.30856798075882613,0.37575321633704173,0.7333333333333333,0.28997497651070814,0.01859300424811794,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d4,0.25,4,0.3109091350085264,0.3829512014913302,0.8333333333333334,0.29519872610950676,0.015710408899019646,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d5,0.25,5,0.3056036868465078,0.38804957014397107,0.7444444444444445,0.289718631096567,0.015885055749940757,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d6,0.25,6,0.3007703732483407,0.376603521695261,0.7333333333333333,0.28409330094512925,0.016677072303211637,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.25 d7,0.25,7,0.31178963300653034,0.38508333200804196,0.7111111111111111,0.2952391835716474,0.01655044943488293,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d0,0.5,0,0.37094732207147163,0.4116584129557662,0.7888888888888889,0.35577235608575253,0.015174965985719102,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d1,0.5,1,0.3620009468940023,0.44779814715720634,0.8555555555555555,0.34615828015052125,0.01584266674348106,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d2,0.5,2,0.3581636670554203,0.4061864454620787,0.8,0.34665043646008414,0.011513230595336155,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d3,0.5,3,0.3583526149916184,0.42684648224351673,0.8111111111111111,0.34315509649614,0.015197518495478513,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d4,0.5,4,0.3740290210906451,0.42028874784881065,0.7777777777777778,0.36390803065379934,0.010120990436845778,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d5,0.5,5,0.3472831023315794,0.41891471737463926,0.7777777777777778,0.3284126588140307,0.01887044351754874,0.02,n/a
VOLTWIN,TWIN tol0.02 q0.50 d6,0.5,6,0.34830836648970714,0.40495755868074207,0.8444444444444444,0.33012387333752247,0.018184493152184733,0.02,n/a
