outcome,group,n,rate,auc_SD,auc_dial,spearman_SD_dial
pass4a,ALL,324,0.018518518518518517,0.5366876310272537,0.41509433962264153,0.07254935662919405
pass4a,market-DG,108,0.009259259259259259,0.34579439252336447,0.37383177570093457,0.9685157366541272
pass4a,name-DG,108,0.046296296296296294,0.458252427184466,0.42135922330097086,-0.21942690306940316
pass4a,name-RS,108,0.0,,,-0.0958996513414704
pass4a,BAND,72,0.027777777777777776,0.6428571428571429,0.7571428571428571,0.014345766488498172
pass4a,BREADTH,36,0.027777777777777776,0.37142857142857144,0.37142857142857144,0.9716254134469436
pass4a,DD,36,0.0,,,0.9688066508685268
pass4a,MA,72,0.0,,,-0.11715709298940175
pass4a,SPYTR,36,0.0,,,0.9716254134469436
pass4a,VOL,72,0.041666666666666664,0.9371980676328503,0.1956521739130435,-0.29647917409562896
pass4b,ALL,324,0.15432098765432098,0.49251824817518247,0.39357664233576645,0.07254935662919405
pass4b,market-DG,108,0.16666666666666666,0.23425925925925925,0.26666666666666666,0.9685157366541272
pass4b,name-DG,108,0.14814814814814814,0.5869565217391305,0.5,-0.21942690306940316
pass4b,name-RS,108,0.14814814814814814,0.4891304347826087,0.4266304347826087,-0.0958996513414704
pass4b,BAND,72,0.18055555555555555,0.559322033898305,0.48826597131681876,0.014345766488498172
pass4b,BREADTH,36,0.16666666666666666,0.3,0.35,0.9716254134469436
pass4b,DD,36,0.1388888888888889,0.14516129032258066,0.18064516129032257,0.9688066508685268
pass4b,MA,72,0.125,0.42328042328042326,0.5476190476190477,-0.11715709298940175
pass4b,SPYTR,36,0.19444444444444445,0.19704433497536947,0.2561576354679803,0.9716254134469436
pass4b,VOL,72,0.1388888888888889,0.5838709677419355,0.3548387096774194,-0.29647917409562896
sign_holds,ALL,324,0.5833333333333334,0.46084656084656084,0.6126984126984127,0.07254935662919405
sign_holds,market-DG,108,0.49074074074074076,0.9048027444253859,0.8473413379073756,0.9685157366541272
sign_holds,name-DG,108,0.5925925925925926,0.39311079545454547,0.42329545454545453,-0.21942690306940316
sign_holds,name-RS,108,0.6666666666666666,0.5671296296296297,0.5625,-0.0958996513414704
sign_holds,BAND,72,0.5555555555555556,0.30234375,0.471875,0.014345766488498172
sign_holds,BREADTH,36,0.5,0.9444444444444444,0.9166666666666666,0.9716254134469436
sign_holds,DD,36,0.3888888888888889,0.7516233766233766,0.6753246753246753,0.9688066508685268
sign_holds,MA,72,0.75,0.3765432098765432,0.3888888888888889,-0.11715709298940175
sign_holds,SPYTR,36,0.5833333333333334,1.0,0.9714285714285714,0.9716254134469436
sign_holds,VOL,72,0.5833333333333334,0.6428571428571429,0.5857142857142857,-0.29647917409562896
