proxy,n_cells,n_invariant,all_invariant,worst_spread,worst_cell
FULL,34,16,False,0.11666666666666659,B136/NONE/FULL
DOWN,34,16,False,0.09999999999999998,B136/NONE/FULL
ROLL,34,15,False,0.10302197802197799,B136/CAL20/IS
MAXROLL,34,13,False,0.2666666666666667,B136/NONE/FULL
EWMA,34,17,False,0.10146103896103886,B136/CAL20/IS
SEMI,34,18,False,0.09999999999999998,B136/NONE/FULL
TAIL10,34,16,False,0.15000000000000002,B136/NONE/FULL
HIVOL,34,16,False,0.1499999999999999,B136/NONE/FULL
SPYDD,34,16,False,0.10227272727272729,B136/CAL20/IS
SPYDD10,34,16,False,0.1499999999999999,B136/NONE/FULL
DDWIN,34,19,False,0.09259259259259256,B136/CAL20/IS
