panel,arm,gross,slope_H1,slope_H2,turn_H1,turn_H2,margin_H1,margin_H2,be_H1,be_H2
B136,BAND03,0.05,-0.026880237238692213,-0.031146869375864163,0.12786250492682036,0.15047995860858757,0.27173118939708796,0.14217856497707337,111.0895800450563,55.647786704126396
B136,BAND03,0.1,-0.026771367545557357,-0.03104684610510852,0.25468233842580873,0.3000466369946063,0.2720118385111554,0.14204346888693842,111.60550746922718,55.75133603138074
B136,BAND03,0.15,-0.02666599907692418,-0.030950589557587456,0.3805101302126351,0.4487551625255729,0.27228891360024954,0.14190384953532365,112.11089890717007,55.84851260144617
B136,BAND03,0.2,-0.02656442985552633,-0.03085794943627105,0.5054020718172335,0.5966579719356853,0.2725621178916571,0.14175985187810047,112.60416631338114,55.93949191953536
B136,BAND03,0.25,-0.0264665254396683,-0.0307691485945583,0.6294098662319862,0.7438135603950626,0.2728315865600903,0.14161124478719278,113.08553239526015,56.023777470474926
B136,BAND03,0.3,-0.026372438777858123,-0.030684202519762994,0.7525917204568835,0.8902789216764061,0.2730971779186582,0.14145800871535463,113.55400963067025,56.10124986114427
B136,BAND03,0.35,-0.0262823624261632,-0.03060284816480987,0.8750104252970488,1.0361020361543911,0.27335870617519387,0.14130040133506772,114.00842273717167,56.1723041509413
B136,BAND03,0.4,-0.02619668071251944,-0.03052518055370343,0.9967388370154832,1.1813385444511466,0.2736157853019632,0.141138309166428,114.44673823550544,56.23668283243113
B136,BAND03,0.45,-0.026115334169863683,-0.030451015165088687,1.1178373382155604,1.3260333172548766,0.27386847045904816,0.1409718953019442,114.86883632340582,56.29464552747157
B136,BAND03,0.5,-0.0260384739228701,-0.03038053510883576,1.2383741519193956,1.4702474753162638,0.27411659998669213,0.14080098135354535,115.27368109155206,56.345787145992475
B136,BAND03,0.55,-0.025966145968189493,-0.030314015061749522,1.358420399973759,1.6140505918485615,0.2743601501252997,0.1406252926436422,115.66071316914406,56.389530505011976
B136,BAND03,0.6,-0.025898598378697603,-0.030251501291852362,1.4780555542039475,1.7575033572945828,0.27459886664451005,0.1404447721899289,116.02846633985263,56.4257197799816
B136,BAND03,0.65,-0.025836227936548335,-0.030193284005148445,1.597371141088871,1.9006851483014968,0.27483234638895704,0.14025913985208371,116.37479552507543,56.45375436079337
B136,BAND03,0.7,-0.025778734892043586,-0.030139266859151203,1.7164250359451076,2.0436523635177037,0.27506089843011616,0.1400684763365042,116.70069713739585,56.47375033741909
B136,BAND03,0.75,-0.02572630109740646,-0.03008957797264642,1.8353009690768634,2.1864782094051685,0.2752843403357168,0.1398726536110505,117.00502155106508,56.48541556089778
B136,BAND03,0.8,-0.02567936524358482,-0.030044525919222707,1.9541047462553505,2.3292466997299686,0.27550223116815364,0.13967133019673328,117.28545217330836,56.488112534127396
B136,BAND03,0.85,-0.02563837120980805,-0.030004518551621277,2.0729558107882258,2.4720619292088424,0.2757141454899448,0.13946410943380227,117.5396495485912,56.48103557931157
B136,BAND03,0.9,-0.02560297062091049,-0.02996939063206023,2.191910289551181,2.614986311325218,0.27592042232439784,0.13925115339895844,117.76890947921792,56.46445939077331
B136,BAND03,0.95,-0.02557353687436979,-0.029939229800944787,2.3110867283025844,2.7581019015937303,0.2761206978309141,0.13903237600482876,117.97125919162426,56.43819394460219
B136,BAND03,1.0,-0.025550209244031837,-0.029913709095577157,2.430578421135947,2.901451102605889,0.2763148192814373,0.13880809095015978,118.14581463593316,56.40283507025313
B136,BAND03,1.05,-0.025533025324226535,-0.02989315436557213,2.550478323649747,3.045138111798063,0.27650275056394436,0.13857797581877762,118.29220080770838,56.35776275867947
B136,BAND03,1.1,-0.025521941844164762,-0.029878083200595193,2.6708787854889193,3.189296339954972,0.2766845554112063,0.13834152224905327,118.4104638669829,56.30200716701178
B136,BAND03,1.15,-0.025517563038166588,-0.029868816796733963,2.791932378204863,3.3340422885699463,0.2768596233265479,0.13809839266219615,118.49767390108894,56.23497261441459
B136,BAND03,1.2,-0.025519484669190816,-0.029865276404369406,2.913682685956592,3.4794500299142204,0.2770283403642806,0.1378486456350677,118.55561699438688,56.15682901059637
B136,BAND03,1.25,-0.025527556492251805,-0.029867670361624403,3.0362086122233833,3.6256358528968735,0.2771908677399353,0.13759208289557745,118.5849590908041,56.06722962644022
B136,BAND03,1.3,-0.025541914131448715,-0.02987550715977443,3.159621257135104,3.7726202275684235,0.2773470809375176,0.13732915297968773,118.58508078532432,55.96713697452914
B136,BAND03,1.35,-0.025562239531118275,-0.029888737664824746,3.2839710317896706,3.920479387617344,0.2774973024109175,0.13705989495917492,118.55750806696935,55.85670244631209
B136,BAND03,1.4,-0.025588699539991055,-0.029907261483283674,3.409362615032952,4.06928652380681,0.27764136000614403,0.13678442415041836,118.50155146502655,55.736191602454966
B136,BAND03,1.45,-0.02562168730237973,-0.02993097007931579,3.5359411935360128,4.219103240997988,0.2777788695261474,0.1365028303743634,118.41552558497872,55.60588247311622
B136,BAND03,1.5,-0.025660766359473248,-0.029959416781860607,3.663738561606611,4.369941198401132,0.2779102595681633,0.13621553985585733,118.30162111100259,55.46668609995477
B136,CAND05,0.05,-0.11610121937896145,-0.10843073818320405,1.3884686151408459,1.559448651841794,0.05103910500496833,-0.09734699471976349,14.396086903994831,1.022195702911615
B136,CAND05,0.1,-0.11596047213219607,-0.10831505108640317,2.773550628544655,3.1152208745999777,0.05150852367924186,-0.09588648939469324,14.441903584224946,1.1474454904513358
B136,CAND05,0.15,-0.11582355594178834,-0.10820218450263597,4.155400861535652,4.6674894211041025,0.051972658594169774,-0.09443166548959447,14.487226986908489,1.2726655267025606
B136,CAND05,0.2,-0.11568978790760646,-0.10809231805229783,5.534141087659867,6.216438669715522,0.05243214917600025,-0.09298261906020966,14.532132880896473,1.3978513241595678
B136,CAND05,0.25,-0.11556057897241273,-0.10798682780108691,6.90998659317543,7.762348971008935,0.05288562849557854,-0.09154051042007683,14.576441980980702,1.522992916442032
B136,CAND05,0.3,-0.1154372575039877,-0.10788634439963607,8.283214754037505,9.305517496184,0.05333181631390915,-0.09010586970853729,14.61998296451792,1.6480746279840357
B136,CAND05,0.35,-0.11532183214210204,-0.10778919687615178,9.654224945255311,10.846043360231077,0.05376868687211944,-0.08867683149922967,14.662489822904003,1.7731243882336312
B136,CAND05,0.4,-0.11521327518547497,-0.10769564075593704,11.023220163648062,12.38415277077659,0.05419727991303125,-0.08725348691876234,14.704082912822527,1.8981412519287861
B136,CAND05,0.45,-0.11511239425326385,-0.10760820172123896,12.390552977312483,13.920381259400227,0.05461687169469731,-0.08583813780722249,14.74465604238344,2.0230859326515116
B136,CAND05,0.5,-0.11501942435513085,-0.10752547039967625,13.756546129436789,15.454846236910681,0.05502718733260359,-0.08442931838425882,14.784164730533092,2.1479703301523028
B136,CAND05,0.55,-0.11493557056911534,-0.10744962326639311,15.121663496551301,16.98815314333646,0.05542694683185401,-0.08302905564725449,14.822436305610331,2.2727457646449114
B136,CAND05,0.6,-0.11485863596739035,-0.10737990758056534,16.485931888198227,18.52052888671863,0.05581857036082738,-0.08163653776746882,14.859762602149907,2.397410315685149
B136,CAND05,0.65,-0.11479090627734272,-0.10731652978012748,17.849978316207707,20.052328873628657,0.056199634633689044,-0.0802516745161792,14.895826373032275,2.521965192072402
B136,CAND05,0.7,-0.11473400800373505,-0.10726001118003912,19.21442777866119,21.584001404463056,0.0565687275790816,-0.07887505840869624,14.930423730794802,2.6463686194939786
B136,CAND05,0.75,-0.1146857279394292,-0.10721308805564123,20.579287782893775,23.116489150639293,0.05692807396452282,-0.07750907924859318,14.96383246523832,2.7705580863068056
B136,CAND05,0.8,-0.11464707615570334,-0.10717548024373356,21.945082549838542,24.650197239188063,0.05727684374226838,-0.07615319714116187,14.995927123730581,2.8945317559596884
B136,CAND05,0.85,-0.11461928231294213,-0.10714692545671409,23.312430371027567,26.18553470706424,0.05761393125088676,-0.07480715649636382,15.02654789737602,3.018263830016764
B136,CAND05,0.9,-0.11460127167629237,-0.10712683753669522,24.681509207042808,27.72281481119089,0.05794019948227325,-0.07347038705892395,15.055807726630958,3.1417384524435903
B136,CAND05,0.95,-0.11459356365584691,-0.10711305694473851,26.05280948313932,29.261857018375984,0.05825518344631675,-0.07214023880756382,15.083634855904439,3.2650378146912367
B136,CAND05,1.0,-0.1145971817216431,-0.10710744024273759,27.426970621893425,30.80354687925013,0.05855779864229027,-0.07081854716566138,15.10988121719497,3.3880833110038564
B136,CAND05,1.05,-0.11461521058848749,-0.10710932436171731,28.80520508803231,32.34811349234226,0.05884514118832285,-0.0695046136122025,15.13414763068398,3.510871810050869
B136,CAND05,1.1,-0.11464181083043666,-0.1071198002683674,30.18649812338924,33.89629751958033,0.05912288587990733,-0.06819931221923203,15.157183531177317,3.6333607747239824
B136,CAND05,1.15,-0.11467767528966552,-0.10713595194509365,31.57137149600514,35.447563860959114,0.059390242302311824,-0.06689942557419393,15.178884395092368,3.755651174082127
B136,CAND05,1.2,-0.11472080065905796,-0.10715963501034509,32.95959783248921,37.002881309697294,0.05964917374177836,-0.06560668447341467,15.199508144913619,3.877668166088746
B136,CAND05,1.25,-0.11476886390984696,-0.10718979159732483,34.35075401513771,38.56225112854525,0.059902125339343915,-0.0643196072585327,15.21937076822492,3.9994652195836586
B136,CAND05,1.3,-0.11482494833214263,-0.10722514036676459,35.74600916802864,40.12557448645784,0.060145938095638174,-0.06303705032275086,15.238054879995246,4.121056861559515
B136,CAND05,1.35,-0.11488853128750501,-0.10726754219938367,37.14550172668034,41.6938868841628,0.06038123855724287,-0.06176069656733141,15.255636735936738,4.242368632579122
B136,CAND05,1.4,-0.11495921634621012,-0.10731742252224576,38.549388489731086,43.26776056439554,0.0606084165030627,-0.060490876203553534,15.272166810926663,4.363368520986011
B136,CAND05,1.45,-0.11503650394417006,-0.1073730695370251,39.957768939851526,44.84689412280392,0.060828108662264846,-0.05922572976339213,15.28772229481054,4.484116918817385
B136,CAND05,1.5,-0.1151226735049013,-0.1074326522732684,41.37173085268969,46.43083218259386,0.061038253968715095,-0.05796321220497691,15.30201845652207,4.604693174888745
B136,CAND10,0.05,-0.11437369161736388,-0.10813992380568865,1.1413680502200627,1.2730663107945595,0.16433519254663342,-0.14634271222207196,24.368268630902925,-3.532718266477424
B136,CAND10,0.1,-0.11422143151068526,-0.10800682807308687,2.2797956873594156,2.5432057066898013,0.16483445022961885,-0.14536207097443798,24.43113153543333,-3.4586001244359554
