panel,rung,start,end,half,n,win_F,win_W,n_flip,flip,WL,LW,med_abs_d,max_abs_d,d_win,nf_share_of_flips,nf_share_of_arms
U56,0.0,2009-01-13,2012-01-11,IS,216,0.2222222222222222,0.2222222222222222,0,0.0,0,0,0.00014576707082286644,0.0008837645504445879,0.0,,0.5
U56,10.0,2009-01-13,2012-01-11,IS,216,0.19444444444444445,0.19444444444444445,0,0.0,0,0,8.799170226070352e-05,0.0005273077200630416,0.0,,0.5
U56,25.0,2009-01-13,2012-01-11,IS,216,0.42592592592592593,0.17592592592592593,54,0.25,54,0,8.200152040671593e-06,7.281136486725348e-05,-0.25,1.0,0.5
B136,0.0,2009-01-13,2012-01-11,IS,216,0.25,0.25,0,0.0,0,0,6.250457621487238e-05,0.0003902427558643007,0.0,,0.5
B136,10.0,2009-01-13,2012-01-11,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,1.6364637441923513e-05,0.00011889637116624385,-0.4444444444444444,1.0,0.5
B136,25.0,2009-01-13,2012-01-11,IS,216,0.6851851851851852,0.24074074074074073,96,0.4444444444444444,96,0,0.00013304353424736792,0.0008872903621568451,-0.44444444444444453,1.0,0.5
U56,0.0,2009-04-15,2012-04-12,IS,216,0.21296296296296297,0.21296296296296297,0,0.0,0,0,4.2726709088447556e-05,0.0002969333229778659,0.0,,0.5
U56,10.0,2009-04-15,2012-04-12,IS,216,0.4444444444444444,0.18518518518518517,56,0.25925925925925924,56,0,1.993942800648796e-06,3.057263658301501e-05,-0.25925925925925924,1.0,0.5
U56,25.0,2009-04-15,2012-04-12,IS,216,0.6666666666666666,0.16666666666666666,108,0.5,108,0,7.287449362014531e-05,0.00045365221659987576,-0.5,1.0,0.5
B136,0.0,2009-04-15,2012-04-12,IS,216,0.7037037037037037,0.25925925925925924,96,0.4444444444444444,96,0,4.9431100784147475e-05,0.0003216004753157087,-0.4444444444444445,1.0,0.5
B136,10.0,2009-04-15,2012-04-12,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,0.00011162662028796344,0.0007069332334170841,-0.4444444444444444,1.0,0.5
B136,25.0,2009-04-15,2012-04-12,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,0.00020674329809045044,0.001289666646956844,-0.4444444444444444,1.0,0.5
U56,0.0,2009-07-15,2012-07-12,IS,216,0.22685185185185186,0.23148148148148148,1,0.004629629629629629,0,1,0.00010919413541021772,0.0008313476938297537,0.0046296296296296224,0.0,0.5
U56,10.0,2009-07-15,2012-07-12,IS,216,0.17592592592592593,0.17592592592592593,0,0.0,0,0,6.33170239345282e-05,0.0004958292010187604,0.0,,0.5
U56,25.0,2009-07-15,2012-07-12,IS,216,0.4444444444444444,0.16666666666666666,60,0.2777777777777778,60,0,3.2420345062456057e-06,7.981573655435614e-05,-0.2777777777777778,1.0,0.5
B136,0.0,2009-07-15,2012-07-12,IS,216,0.25,0.25,0,0.0,0,0,3.85622208072256e-05,0.00026309450264894174,0.0,,0.5
B136,10.0,2009-07-15,2012-07-12,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,2.3767600545232526e-05,0.00015279430492887158,-0.4444444444444444,1.0,0.5
B136,25.0,2009-07-15,2012-07-12,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,0.0001183925090905702,0.0007796518037180844,-0.4444444444444444,1.0,0.5
U56,0.0,2009-10-13,2012-10-10,IS,216,0.17592592592592593,0.17592592592592593,0,0.0,0,0,3.234254306666573e-05,0.00024596292694134547,0.0,,0.5
U56,10.0,2009-10-13,2012-10-10,IS,216,0.6481481481481481,0.14814814814814814,108,0.5,108,0,1.3545101329281994e-05,0.000100550775188335,-0.5,1.0,0.5
U56,25.0,2009-10-13,2012-10-10,IS,216,0.6481481481481481,0.14814814814814814,108,0.5,108,0,7.905241489608583e-05,0.0006062093059993057,-0.5,1.0,0.5
B136,0.0,2009-10-13,2012-10-10,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,6.166272543778328e-05,0.00043025341028202213,-0.4444444444444444,1.0,0.5
B136,10.0,2009-10-13,2012-10-10,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,0.00012253158789460317,0.0008414725780168109,-0.4444444444444444,1.0,0.5
B136,25.0,2009-10-13,2012-10-10,IS,216,0.6944444444444444,0.25,96,0.4444444444444444,96,0,0.00021425646861367165,0.00145969968833215,-0.4444444444444444,1.0,0.5
U56,0.0,2010-01-13,2013-01-14,IS,216,0.14814814814814814,0.14814814814814814,0,0.0,0,0,2.345672274772781e-05,0.00018206546918098088,0.0,,0.5
U56,10.0,2010-01-13,2013-01-14,IS,216,0.6296296296296297,0.12962962962962962,108,0.5,108,0,2.6710386262174257e-05,0.00020950976416456157,-0.5,1.0,0.5
U56,25.0,2010-01-13,2013-01-14,IS,216,0.6203703703703703,0.12037037037037036,108,0.5,108,0,0.000102320492479685,0.0007981509954132493,-0.5,1.0,0.5
B136,0.0,2010-01-13,2013-01-14,IS,216,0.6851851851851852,0.24074074074074073,96,0.4444444444444444,96,0,5.831333146794071e-05,0.0004081071504593581,-0.44444444444444453,1.0,0.5
B136,10.0,2010-01-13,2013-01-14,IS,216,0.6759259259259259,0.23148148148148148,96,0.4444444444444444,96,0,0.00012190079822299582,0.0008439680152982909,-0.4444444444444444,1.0,0.5
B136,25.0,2010-01-13,2013-01-14,IS,216,0.6666666666666666,0.2222222222222222,96,0.4444444444444444,96,0,0.00021798105876180696,0.0014987921160792839,-0.4444444444444444,1.0,0.5
U56,0.0,2010-04-15,2013-04-16,IS,216,0.14814814814814814,0.14814814814814814,0,0.0,0,0,1.569213631230637e-05,0.00012152275893806408,0.0,,0.5
U56,10.0,2010-04-15,2013-04-16,IS,216,0.6296296296296297,0.12962962962962962,108,0.5,108,0,3.3612246450875904e-05,0.0002630964087808607,-0.5,1.0,0.5
U56,25.0,2010-04-15,2013-04-16,IS,216,0.6111111111111112,0.10185185185185185,110,0.5092592592592593,110,0,0.00010820491236665508,0.0008406435758213093,-0.5092592592592593,0.9818181818181818,0.5
B136,0.0,2010-04-15,2013-04-16,IS,216,0.6851851851851852,0.24074074074074073,96,0.4444444444444444,96,0,6.836532648157867e-05,0.0004802378020749565,-0.44444444444444453,1.0,0.5
B136,10.0,2010-04-15,2013-04-16,IS,216,0.6851851851851852,0.24074074074074073,96,0.4444444444444444,96,0,0.00013150154501723188,0.0009133369745324416,-0.44444444444444453,1.0,0.5
B136,25.0,2010-04-15,2013-04-16,IS,216,0.6666666666666666,0.2222222222222222,96,0.4444444444444444,96,0,0.0002271758049742778,0.0015638314792192354,-0.4444444444444444,1.0,0.5
U56,0.0,2010-07-15,2013-07-16,IS,216,0.19444444444444445,0.19444444444444445,0,0.0,0,0,4.027727997124586e-06,2.204401481997742e-05,0.0,,0.5
U56,10.0,2010-07-15,2013-07-16,IS,216,0.6759259259259259,0.17592592592592593,108,0.5,108,0,5.948940710409634e-05,0.00036778450298502463,-0.5,1.0,0.5
U56,25.0,2010-07-15,2013-07-16,IS,216,0.6388888888888888,0.1388888888888889,108,0.5,108,0,0.00015547383139152826,0.0009536332337889419,-0.49999999999999994,1.0,0.5
B136,0.0,2010-07-15,2013-07-16,IS,216,0.7407407407407407,0.2962962962962963,96,0.4444444444444444,96,0,8.345947629195827e-05,0.0004801473111011312,-0.4444444444444444,1.0,0.5
B136,10.0,2010-07-15,2013-07-16,IS,216,0.7222222222222222,0.2777777777777778,96,0.4444444444444444,96,0,0.0001587009661915273,0.0009166250928398512,-0.4444444444444444,1.0,0.5
B136,25.0,2010-07-15,2013-07-16,IS,216,0.7037037037037037,0.25925925925925924,96,0.4444444444444444,96,0,0.00027156893579494135,0.0015726816519674447,-0.4444444444444445,1.0,0.5
SMALL,0.0,2010-07-15,2013-07-16,IS,216,0.7407407407407407,0.12962962962962962,132,0.6111111111111112,132,0,0.0003227807785074477,0.0018832403949922139,-0.611111111111111,1.0,0.6388888888888888
SMALL,10.0,2010-07-15,2013-07-16,IS,216,0.7407407407407407,0.12962962962962962,132,0.6111111111111112,132,0,0.0004633139078707993,0.002785029945529871,-0.611111111111111,1.0,0.6388888888888888
SMALL,25.0,2010-07-15,2013-07-16,IS,216,0.7407407407407407,0.12962962962962962,132,0.6111111111111112,132,0,0.0006689847162775764,0.0041313082799288026,-0.611111111111111,1.0,0.6388888888888888
U56,0.0,2010-10-13,2013-10-14,IS,216,0.7407407407407407,0.24074074074074073,108,0.5,108,0,4.021023669953383e-05,0.0002136165831458925,-0.5,1.0,0.5
U56,10.0,2010-10-13,2013-10-14,IS,216,0.7129629629629629,0.21296296296296297,108,0.5,108,0,0.00011651731892448058,0.0005926663604571836,-0.49999999999999994,1.0,0.5
U56,25.0,2010-10-13,2013-10-14,IS,216,0.6481481481481481,0.14814814814814814,108,0.5,108,0,0.00023186652153361909,0.0011613016259194309,-0.5,1.0,0.5
B136,0.0,2010-10-13,2013-10-14,IS,216,0.8055555555555556,0.3611111111111111,96,0.4444444444444444,96,0,8.872384993907634e-05,0.0004524237451830615,-0.4444444444444445,1.0,0.5
B136,10.0,2010-10-13,2013-10-14,IS,216,0.7962962962962963,0.35185185185185186,96,0.4444444444444444,96,0,0.00017381884709666284,0.0008911764785968224,-0.4444444444444444,1.0,0.5
B136,25.0,2010-10-13,2013-10-14,IS,216,0.75,0.3055555555555556,96,0.4444444444444444,96,0,0.00030127339896146577,0.0015618553596941087,-0.4444444444444444,1.0,0.5
SMALL,0.0,2010-10-13,2013-10-14,IS,216,0.75,0.1388888888888889,132,0.6111111111111112,132,0,0.00031653695247940705,0.0016450167128705395,-0.6111111111111112,1.0,0.6388888888888888
SMALL,10.0,2010-10-13,2013-10-14,IS,216,0.7407407407407407,0.12962962962962962,132,0.6111111111111112,132,0,0.0004466108204311814,0.0024068140713049413,-0.611111111111111,1.0,0.6388888888888888
SMALL,25.0,2010-10-13,2013-10-14,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.0006381390963348665,0.0035450550275362147,-0.6111111111111112,1.0,0.6388888888888888
U56,0.0,2011-01-12,2014-01-14,IS,216,0.7407407407407407,0.24074074074074073,108,0.5,108,0,3.721846463700107e-05,0.00019849913100244976,-0.5,1.0,0.5
U56,10.0,2011-01-12,2014-01-14,IS,216,0.7129629629629629,0.21296296296296297,108,0.5,108,0,0.00011342728389523993,0.0005782098745688025,-0.49999999999999994,1.0,0.5
U56,25.0,2011-01-12,2014-01-14,IS,216,0.6388888888888888,0.1388888888888889,108,0.5,108,0,0.00022801550879703036,0.0011478430083087243,-0.49999999999999994,1.0,0.5
B136,0.0,2011-01-12,2014-01-14,IS,216,0.8055555555555556,0.3611111111111111,96,0.4444444444444444,96,0,9.793206046171399e-05,0.0004985554597389807,-0.4444444444444445,1.0,0.5
B136,10.0,2011-01-12,2014-01-14,IS,216,0.7962962962962963,0.3425925925925926,98,0.4537037037037037,98,0,0.0001811087069960582,0.0009290002928119545,-0.45370370370370366,0.9795918367346939,0.5
B136,25.0,2011-01-12,2014-01-14,IS,216,0.75,0.3055555555555556,96,0.4444444444444444,96,0,0.0003059657504246305,0.0015874120097252309,-0.4444444444444444,1.0,0.5
SMALL,0.0,2011-01-12,2014-01-14,IS,216,0.7314814814814815,0.12037037037037036,132,0.6111111111111112,132,0,0.0002578159612225406,0.0013055174242406764,-0.6111111111111112,1.0,0.6388888888888888
SMALL,10.0,2011-01-12,2014-01-14,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.0003754238658567055,0.001991578587017706,-0.6111111111111112,1.0,0.6388888888888888
SMALL,25.0,2011-01-12,2014-01-14,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.0005503817416875889,0.0030175630545921095,-0.6111111111111112,1.0,0.6388888888888888
U56,0.0,2011-04-13,2014-04-15,IS,216,0.7129629629629629,0.21296296296296297,108,0.5,108,0,0.00011219952514435194,0.0005792151747081586,-0.49999999999999994,1.0,0.5
U56,10.0,2011-04-13,2014-04-15,IS,216,0.6851851851851852,0.18518518518518517,108,0.5,108,0,0.00019182185234206672,0.0009812443886269007,-0.5,1.0,0.5
U56,25.0,2011-04-13,2014-04-15,IS,216,0.6203703703703703,0.12037037037037036,108,0.5,108,0,0.00031110304725734395,0.0015838197944655352,-0.5,1.0,0.5
B136,0.0,2011-04-13,2014-04-15,IS,216,0.7592592592592593,0.3148148148148148,96,0.4444444444444444,96,0,0.00014699075807256268,0.0007591642777542429,-0.4444444444444445,1.0,0.5
B136,10.0,2011-04-13,2014-04-15,IS,216,0.7314814814814815,0.28703703703703703,96,0.4444444444444444,96,0,0.00023037625044419752,0.00118854624914988,-0.4444444444444445,1.0,0.5
B136,25.0,2011-04-13,2014-04-15,IS,216,0.7129629629629629,0.26851851851851855,96,0.4444444444444444,96,0,0.00035441381561518437,0.0018326581552380317,-0.44444444444444436,1.0,0.5
SMALL,0.0,2011-04-13,2014-04-15,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.0002716272798314878,0.0014747149481234567,-0.6111111111111112,1.0,0.6388888888888888
SMALL,10.0,2011-04-13,2014-04-15,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.000385812204017455,0.0020664924876229174,-0.6111111111111112,1.0,0.6388888888888888
SMALL,25.0,2011-04-13,2014-04-15,IS,216,0.7222222222222222,0.1111111111111111,132,0.6111111111111112,132,0,0.0005555961736207204,0.0030004417415007145,-0.6111111111111112,1.0,0.6388888888888888
U56,0.0,2011-07-14,2014-07-16,IS,216,0.7592592592592593,0.25925925925925924,108,0.5,108,0,9.609048385406105e-05,0.0004957129058904552,-0.5,1.0,0.5
U56,10.0,2011-07-14,2014-07-16,IS,216,0.7361111111111112,0.23148148148148148,109,0.5046296296296297,109,0,0.00017656004400701253,0.0009015168655830408,-0.5046296296296297,0.9908256880733946,0.5
U56,25.0,2011-07-14,2014-07-16,IS,216,0.6666666666666666,0.16666666666666666,108,0.5,108,0,0.0002972005219157303,0.0015102626439585931,-0.5,1.0,0.5
B136,0.0,2011-07-14,2014-07-16,IS,216,0.7777777777777778,0.3333333333333333,96,0.4444444444444444,96,0,0.0001364024668244479,0.0007053484825589873,-0.4444444444444445,1.0,0.5
B136,10.0,2011-07-14,2014-07-16,IS,216,0.7777777777777778,0.3333333333333333,96,0.4444444444444444,96,0,0.0002211648284708989,0.0011499292306378361,-0.4444444444444445,1.0,0.5
B136,25.0,2011-07-14,2014-07-16,IS,216,0.7314814814814815,0.28703703703703703,96,0.4444444444444444,96,0,0.0003499682647115643,0.0018173445156624002,-0.4444444444444445,1.0,0.5
SMALL,0.0,2011-07-14,2014-07-16,IS,216,0.5833333333333334,0.1111111111111111,102,0.4722222222222222,102,0,0.00020932554310293394,0.0013523558457699814,-0.47222222222222227,1.0,0.5
SMALL,10.0,2011-07-14,2014-07-16,IS,216,0.5833333333333334,0.1111111111111111,102,0.4722222222222222,102,0,0.0003006639418325352,0.0019963522430223035,-0.47222222222222227,1.0,0.5
