universe,sleeve,book,conv,f,n_assets,corr,Sharpe,dSharpe,dCAGR_pp,conv_per_pp,raw_per_pp,dSharpe_raw,sleeve_Sharpe
u56,SCASH,v1,natural,0.25,0,0.0,0.6648204188325302,,-1.5441424233703982,,0.0004144806178017512,0.000640017105612456,
u56,SCASH,v1,natural,0.5,0,0.0,0.6653138799283927,,-3.137079797383091,,0.0003613163434416161,0.0011334782014750244,
u56,SCASH,v1,natural,0.75,0,0.0,0.6657015520375758,,-4.774617554123184,,0.00031859102711680366,0.001521150310658026,
u56,SCASH,v1,matched,0.25,0,0.0,0.6641804017269177,,4.440892098500626e-14,,,0.0,
u56,SCASH,v1,matched,0.5,0,0.0,0.6641804017269177,,-0.0,,,0.0,
u56,SCASH,v1,matched,0.75,0,0.0,0.6641804017269177,,-0.0,,,0.0,
u56,SCASH,top20,natural,0.25,0,0.0,1.0918569373241325,,-3.1778723294592526,,-8.778455465456193e-05,-0.0002789681071906358,
u56,SCASH,top20,natural,0.5,0,0.0,1.091444254450471,,-6.3510820564611326,,-0.00010890285697828042,-0.0006916509808521099,
u56,SCASH,top20,natural,0.75,0,0.0,1.0909202333149055,,-9.513532617053233,,-0.00012778346018790934,-0.0012156721164175988,
u56,SCASH,top20,matched,0.25,0,0.0,1.092135905431323,,-0.0,,,0.0,
u56,SCASH,top20,matched,0.5,0,0.0,1.092135905431323,,-0.0,,,0.0,
u56,SCASH,top20,matched,0.75,0,0.0,1.092135905431323,,-0.0,,,0.0,
u56,SCASH,ewall,natural,0.25,0,0.0,1.0490207078866158,,-2.602436705429967,,-4.86676163491808e-05,-0.00012665439115289168,
u56,SCASH,ewall,natural,0.5,0,0.0,1.048856113216286,,-5.204595886569563,,-5.5959976111570774e-05,-0.00029124906148281227,
u56,SCASH,ewall,natural,0.75,0,0.0,1.048653133004741,,-7.803161413627024,,-6.333705620449849e-05,-0.0004942292730276687,
u56,SCASH,ewall,matched,0.25,0,0.0,1.0491473622777687,,2.220446049250313e-14,,,0.0,
u56,SCASH,ewall,matched,0.5,0,0.0,1.0491473622777687,,-0.0,,,0.0,
u56,SCASH,ewall,matched,0.75,0,0.0,1.0491473622777687,,-0.0,,,0.0,
u56,S4,v1,natural,0.25,4,0.2123206348967732,0.7242624026715834,0.07220278352515042,-0.8590072222479872,0.08405375607459813,0.06994353410374535,0.06008200094466565,0.6156972714049787
u56,S4,v1,natural,0.5,4,0.2123206348967732,0.7959598322255304,0.15602099565958216,-1.782247478755572,0.0875417120906921,0.07394002913143446,0.13177943049861263,0.6156972714049787
u56,S4,v1,natural,0.75,4,0.2123206348967732,0.8161695972807183,0.18835154329525483,-2.7689599098470907,0.06802248838108173,0.054890356127327886,0.15198919555380053,0.6156972714049787
u56,S4,v1,matched,0.25,4,0.2123206348967732,0.7206079950257651,0.10042533286166577,-0.4958792062334405,0.2025197499698938,0.11379302174708146,0.05642759329884739,0.48818944347564425
u56,S4,v1,matched,0.5,4,0.2123206348967732,0.7778823280931956,0.20169740549191462,-1.1687144299428187,0.17258057257133635,0.09728803157828804,0.11370192636627785,0.48818944347564425
u56,S4,v1,matched,0.75,4,0.2123206348967732,0.7797558388109878,0.24756865577252518,-2.1078953768500774,0.11744826545541275,0.054829778723069066,0.11557543708407003,0.48818944347564425
u56,S4,top20,natural,0.25,4,0.11982166171076832,1.1435586596473484,0.17053241272261133,-2.457894893335788,0.0693814911227426,0.020921461839336714,0.05142275421602527,0.6156972714049787
u56,S4,top20,natural,0.5,4,0.11982166171076832,1.1923482704636108,0.3384316820454599,-4.953020467321045,0.06832834313493327,0.020232576403321396,0.1002123650322877,0.6156972714049787
u56,S4,top20,natural,0.75,4,0.11982166171076832,1.1179851464708388,0.3831782165592741,-7.477360389472643,0.051245118143395864,0.0034570008255732565,0.02584924103951569,0.6156972714049787
u56,S4,top20,matched,0.25,4,0.11982166171076832,1.141893659065849,0.19658879545004382,-1.8312647725421183,0.10735137725449931,0.027171250373288956,0.04975775363452595,0.5048117381692514
