panel,window,bar_CAGR,d_star_pp,L,h_required,L_label
U56,full,0.1768935586885565,1.1835978401254896,-0.3,0.02481891018575192,"Shumway-1997-style NYSE/AMEX anchor (UNVERIFIED, not fetched)"
U56,full,0.1768935586885565,1.1835978401254896,-0.55,0.016282959533455044,"Shumway-Warther-1999-style Nasdaq anchor (UNVERIFIED, not fetched)"
U56,full,0.1768935586885565,1.1835978401254896,-1.0,0.010056965911551117,"total loss (arithmetic worst case, no citation needed)"
U56,oos,0.1768935586885565,0.20501768573520454,-0.3,0.0042990240065099074,"Shumway-1997-style NYSE/AMEX anchor (UNVERIFIED, not fetched)"
U56,oos,0.1768935586885565,0.20501768573520454,-0.55,0.0028204636467695824,"Shumway-Warther-1999-style Nasdaq anchor (UNVERIFIED, not fetched)"
U56,oos,0.1768935586885565,0.20501768573520454,-1.0,0.0017420240277605152,"total loss (arithmetic worst case, no citation needed)"
B136,full,0.18952378323674113,3.6235473686392594,-0.3,0.07402188601910802,"Shumway-1997-style NYSE/AMEX anchor (UNVERIFIED, not fetched)"
B136,full,0.18952378323674113,3.6235473686392594,-0.55,0.04899838856810999,"Shumway-Warther-1999-style Nasdaq anchor (UNVERIFIED, not fetched)"
B136,full,0.18952378323674113,3.6235473686392594,-1.0,0.030462168303852184,"total loss (arithmetic worst case, no citation needed)"
B136,oos,0.18952378323674113,3.388792552056593,-0.3,0.06922631071466698,"Shumway-1997-style NYSE/AMEX anchor (UNVERIFIED, not fetched)"
B136,oos,0.18952378323674113,3.388792552056593,-0.55,0.04582398333728437,"Shumway-Warther-1999-style Nasdaq anchor (UNVERIFIED, not fetched)"
B136,oos,0.18952378323674113,3.388792552056593,-1.0,0.028488648985525576,"total loss (arithmetic worst case, no citation needed)"
