axis,L,n,steps,mean,se,t,mrand,trand
N,252,190,66,0.11271749941949612,0.07160463724612275,1.5741647993000558,0.040172204020407984,0.8431218422897756
N,504,178,62,0.0774464687524698,0.08127300837490715,0.9529174605573135,-0.07779807744607267,-1.4447557672673779
N,756,166,58,0.09030348633628056,0.08221002909755866,1.0984485387922365,0.10673792518096496,1.9743441727520736
N,1008,154,54,0.10896448780483062,0.06644414948480772,1.63994104296188,0.018416936982676633,0.3714117181314418
H,252,190,66,-0.040914484392902316,0.06518389357794993,-0.6276778226506963,0.005679744519538013,0.09394756230973353
H,504,178,62,-0.02552849847694644,0.062296023674053555,-0.4097933860195819,0.017969925578468958,0.2979656549639219
H,756,166,58,-0.03271206231923857,0.06418316424820479,-0.5096673357009432,-0.055545274291250224,-0.8263312163012133
H,1008,154,54,-0.04937813228340536,0.06501584720794855,-0.7594784103246848,0.01903634186660872,0.3390504578456461
GROSS,252,190,66,0.001438320158331897,0.000610626518873953,2.355482629520056,0.0019863016556256686,2.8231435332808417
GROSS,504,178,62,0.0012944724846887237,0.0005613518648571745,2.305991243153843,0.002757183849832088,4.090771591496931
GROSS,756,166,58,0.0010967965704491189,0.0005046782372330939,2.1732590976427333,0.0026857441053733107,3.9935604082888716
GROSS,1008,154,54,0.0007172775267835858,0.00036337779281616283,1.9739167911850495,0.0034103728863898314,4.5269886149769984
CADENCE,252,190,66,0.03017243407205017,0.0421730254281993,0.7154439067555052,-0.030846697678805164,-0.7678910597483966
CADENCE,504,178,62,0.048376155826289666,0.04894353362273467,0.988407502392074,0.046934299708487774,1.1949821034152412
CADENCE,756,166,58,0.07300353664483566,0.03898438142203069,1.872635501241536,0.04513089759311303,1.0228538702607892
CADENCE,1008,154,54,0.010660869966972488,0.0456171555723926,0.23370308457865407,0.016114740417840123,0.3766096594026888
