chooser,pick_r,pick_g,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_Sharpe,base_OOS_MaxDD,base_OOS_CAGR,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,P4b_OOS,P4a_OOS,panel,d,kind,scheme,seed,mean_admitted
C_SHARPE,0.35,1.0,0.15962919711087165,1.1301717074323725,-0.16865431915750473,1.276620821629499,-0.12054956914840886,0.09455179369762767,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,U56,0.0,NONE,NONE,0,55.0
C_CALMAR,0.35,1.0,0.15962919711087165,1.1301717074323725,-0.16865431915750473,1.276620821629499,-0.12054956914840886,0.09455179369762767,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,U56,0.0,NONE,NONE,0,55.0
C_4bIS,0.35,1.0,0.15962919711087165,1.1301717074323725,-0.16865431915750473,1.276620821629499,-0.12054956914840886,0.09455179369762767,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,U56,0.0,NONE,NONE,0,55.0
C_FROZEN,0.35,0.75,0.11945196203566533,1.1291498076568274,-0.12919082996116027,1.276620821629499,-0.12054956914840886,0.09455179369762767,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,U56,0.0,NONE,NONE,0,55.0
C_LIVE(RULES v2),,,0.09455179369762767,1.276620821629499,-0.12054956914840886,1.276620821629499,-0.12054956914840886,0.09455179369762767,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,False,U56,0.0,NONE,NONE,0,55.0
C_SHARPE,0.5,1.0,0.14351953684196017,0.9898627253215321,-0.25354995133239,1.1016867720596069,-0.12241069123223403,0.0784728360555127,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,B136,0.0,NONE,NONE,0,135.0
C_CALMAR,0.2,1.0,0.133199329160391,0.9454771802187301,-0.21268680059509004,1.1016867720596069,-0.12241069123223403,0.0784728360555127,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,B136,0.0,NONE,NONE,0,135.0
C_4bIS,0.5,0.75,0.10751368211793255,0.9880883376363251,-0.19482590679388567,1.1016867720596069,-0.12241069123223403,0.0784728360555127,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,B136,0.0,NONE,NONE,0,135.0
C_FROZEN,0.35,0.75,0.10432150506995641,0.9780881578185247,-0.1696904946765987,1.1016867720596069,-0.12241069123223403,0.0784728360555127,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,B136,0.0,NONE,NONE,0,135.0
C_LIVE(RULES v2),,,0.0784728360555127,1.1016867720596069,-0.12241069123223403,1.1016867720596069,-0.12241069123223403,0.0784728360555127,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,B136,0.0,NONE,NONE,0,135.0
