panel,family,q,w,depth,cadence,gross,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b_full,keep4b_oos,base4a,base4b,base4b_oos,n_arms,spy_oos_c,spy_oos_s,spy_oos_d,bl_oos_s
U56,CORR-HI,0.07,1008,1.0,W,1.0,0.12727059617854097,1.0344323325965579,-0.22929564912665912,1.1598195007048473,0.9154513559703791,0.12408005202357542,1.0159718610845176,-0.22929564912665923,False,False,False,0,61,131,384,0.15271636385461385,0.8739575612872552,-0.33717267708462373,1.285947374872866
B136,CORR-HI,0.12,252,1.0,W,1.0,0.13908565954532848,1.1660872230401875,-0.1662673424056318,1.2887946611743801,1.0369148734461322,0.12968442670786118,1.153949202349726,-0.16626734240563146,False,True,True,0,44,54,384,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.1079386067354258
SMALL,VOL20-LO,0.17,252,1.0,D,1.0,0.05043496479514409,0.40364999495741,-0.48521618717618986,0.7363971244516717,0.20134692072155844,0.020012795876230616,0.2031224763474298,-0.4852161871761894,False,False,False,0,0,0,384,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.558963563640817
