rung,k,n_books,n_identical_to_MAXDD,share_degenerate,median_gap_pp
K0021,21,74,11,0.14864864864864866,0.8881700359147988
K0063,63,74,73,0.9864864864864865,0.0
K0126,126,74,74,1.0,0.0
K0252,252,74,74,1.0,0.0
K0504,504,74,74,1.0,0.0
