q,claimset,n_claims,n_tie,share,basis,measured_family,transferred_stat,transferred_overall
0.8,CORE,32,24.0,0.75,MEASURED,32,0,0
0.8,WIDE,200,150.5,0.7525,MIXED,134,24,42
0.9,CORE,32,26.0,0.8125,MEASURED,32,0,0
0.9,WIDE,200,168.75,0.84375,MIXED,134,24,42
0.95,CORE,32,26.0,0.8125,MEASURED,32,0,0
0.95,WIDE,200,168.75,0.84375,MIXED,134,24,42
