panel,estimator,n,dd_pass,beta_pass,agree,TP,FP,FN,TN,beta_star,best_agree
U56,FULL,112,85,96,0.9017857142857143,85,11,0,16,0.529,0.9375
U56,DOWN,112,85,96,0.9017857142857143,85,11,0,16,0.519,0.9464285714285714
U56,ROLL,112,85,81,0.9285714285714286,79,2,6,25,0.611,0.9642857142857143
U56,DDWIN,64,45,48,0.953125,45,3,0,16,0.5680000000000001,0.984375
B136,FULL,112,80,90,0.8571428571428571,77,13,3,19,0.433,0.8928571428571429
B136,DOWN,112,80,89,0.8660714285714286,77,12,3,20,0.41000000000000003,0.9107142857142857
B136,ROLL,112,80,80,0.8571428571428571,72,8,8,24,0.6990000000000001,0.8928571428571429
B136,DDWIN,60,37,38,0.9833333333333333,37,1,0,22,0.46900000000000003,1.0
SMALL,FULL,112,61,97,0.6785714285714286,61,36,0,15,0.34800000000000003,0.9107142857142857
SMALL,DOWN,112,61,95,0.6964285714285714,61,34,0,17,0.367,0.9107142857142857
SMALL,ROLL,112,61,91,0.7321428571428571,61,30,0,21,0.388,0.9107142857142857
SMALL,DDWIN,112,61,85,0.7321428571428571,58,27,3,24,0.36,0.8571428571428571
