panel,book,pass4b,pass4a_v2,pass4a_v1,points
broad,EWall,0,0,51,52
broad,TOP20,0,0,26,52
small,EWall,0,8,26,52
small,TOP20,0,0,52,52
u56,EWall,0,0,45,52
u56,TOP20,37,0,0,52
