k,d2,d3,null_sd_R,band_95
2,1.1283791670955126,0.8507457733598706,0.7539538110666469,"[-0.478, 2.478]"
3,1.692568750643269,0.8853371846410543,0.5230731007556282,"[-0.025, 2.025]"
4,2.0587507460079286,0.8816078346864555,0.42822465827685013,"[0.161, 1.839]"
8,2.847200612090556,0.821813312253368,0.28863906138666917,"[0.434, 1.566]"
9,2.9700263244184746,0.8064964639660316,0.27154522414003923,"[0.468, 1.532]"
12,3.258455279743826,0.7781216389221793,0.23880077279543144,"[0.532, 1.468]"
