spec,k,R2,coef
family dummies only,2,0.44533827840677453,+0.1986 +0.0301
"log h* (IR, stride 21)",1,0.05592620627228817,+0.0584
log episode_days,1,0.17263958288007164,-0.1412
log turnover at W,1,0.015278514610554184,+0.0282
log h* + log episode,2,0.20358927640304592,+0.0439 -0.1321
log h* + log episode + family,4,0.4518472304047566,+0.0022 +0.0428 +0.2176 +0.0185
