panel,N,nullgate,seeds,EDGE_pp,EDGE_se_pp
U56,5,OPEN,10,6.43357118994844,0.7519173306786082
U56,5,OPEN,20,5.676144894807411,0.5344344904292702
U56,5,OPEN,40,5.95038816304212,0.38286780008427135
U56,5,ELIG,10,8.282114811408203,0.7864622630871629
U56,5,ELIG,20,7.6662036375051095,0.6318682076670862
U56,5,ELIG,40,7.386262942903343,0.4391615310711406
U56,8,OPEN,10,3.8978723362459555,1.057188010268532
U56,8,OPEN,20,5.020345234000967,0.7058147966819509
U56,8,OPEN,40,5.350912897081484,0.47886105245581856
U56,8,ELIG,10,4.961403078007187,0.6783094703967106
U56,8,ELIG,20,5.199402675973541,0.43271039598622596
U56,8,ELIG,40,5.655846412307408,0.35408652298870524
U56,10,OPEN,10,5.78733793411037,0.9348061145331134
U56,10,OPEN,20,6.107455446857646,0.6086956205151548
U56,10,OPEN,40,6.205435076551991,0.41594394654541067
U56,10,ELIG,10,7.0323907843090065,0.6577530169707648
U56,10,ELIG,20,6.958936616596246,0.3990243523310978
U56,10,ELIG,40,6.526026044187406,0.279190599049041
U56,12,OPEN,10,6.038806408835895,0.803877578203937
U56,12,OPEN,20,6.130269773706809,0.5089831362370293
U56,12,OPEN,40,6.820183166175642,0.33168693897589907
U56,12,ELIG,10,6.947290961205033,0.32753096002362864
U56,12,ELIG,20,6.793186498332382,0.30539296148967227
U56,12,ELIG,40,6.889349147029355,0.2308679741290991
U56,15,OPEN,10,5.087690985986448,0.368198707683685
U56,15,OPEN,20,5.120778724646002,0.28123929579452905
U56,15,OPEN,40,5.215201883046006,0.2544304322153045
U56,15,ELIG,10,6.3758866349649,0.44406599133133984
U56,15,ELIG,20,6.229453531347429,0.3243960307453868
U56,15,ELIG,40,5.838976752770597,0.21795999148152517
U56,20,OPEN,10,4.896681228388012,0.6127777566191561
U56,20,OPEN,20,5.0856651744664365,0.44564587689286717
U56,20,OPEN,40,5.1181233929647245,0.2843383613302251
U56,20,ELIG,10,4.806535043255944,0.44003026413768415
U56,20,ELIG,20,4.806535043255944,0.2651518094639947
U56,20,ELIG,40,5.1454366707920585,0.19117414757586487
U56,25,OPEN,10,3.4504223786609445,0.6348683340720511
U56,25,OPEN,20,3.2382663523773725,0.36314775922092113
U56,25,OPEN,40,2.9526013388686767,0.248750045148184
U56,25,ELIG,10,3.237024160711688,0.38196827805558314
U56,25,ELIG,20,3.6497864821842807,0.22698879348987672
U56,25,ELIG,40,3.4986968542283337,0.1596602424942791
U56,30,OPEN,10,1.6865539076063696,0.31284975844619234
U56,30,OPEN,20,1.5949226047668574,0.21445102339085123
U56,30,OPEN,40,1.5456520589598344,0.18173999715859887
U56,30,ELIG,10,2.039584859542054,0.26358644892113625
U56,30,ELIG,20,1.8247046080875573,0.1574868770581058
U56,30,ELIG,40,1.9061511570775291,0.12237294646254175
U56,40,OPEN,10,0.38370585294800197,0.2136009707685616
U56,40,OPEN,20,0.491736489695882,0.12605889512005541
U56,40,OPEN,40,0.41353549317942884,0.09101007213258702
U56,40,ELIG,10,1.2275218558330026,0.14365169429349373
U56,40,ELIG,20,1.0630087805268418,0.083294662431746
U56,40,ELIG,40,0.9095915495762052,0.05360745056937625
B136,5,OPEN,10,5.035491746418708,0.7427830120661363
B136,5,OPEN,20,5.357428001503406,0.6772547126625477
B136,5,OPEN,40,5.717068769790689,0.4659626612019666
B136,5,ELIG,10,8.573095361406624,0.8341351093165056
B136,5,ELIG,20,8.313985376965437,0.6900836440268444
B136,5,ELIG,40,8.188514851437589,0.3971501824588967
B136,8,OPEN,10,5.409433532713514,0.6277437064784859
B136,8,OPEN,20,5.087825709786486,0.5246893308852428
B136,8,OPEN,40,5.244526724236387,0.4078848808980243
B136,8,ELIG,10,6.871604812558196,0.5851410590944142
B136,8,ELIG,20,6.1959469931805895,0.4929165492044184
B136,8,ELIG,40,6.754289732573704,0.3475385531938409
B136,10,OPEN,10,8.53826592087239,0.47542264669046524
B136,10,OPEN,20,8.53826592087239,0.3980603962152149
B136,10,OPEN,40,8.323841215910088,0.34431510346503535
B136,10,ELIG,10,8.377649869633652,0.5583550341831557
B136,10,ELIG,20,8.19531095933348,0.4933245775330378
B136,10,ELIG,40,8.631087733228727,0.3295729941887005
B136,12,OPEN,10,5.4496962298812175,0.6857433824132758
B136,12,OPEN,20,6.519566190615922,0.43051162789626657
B136,12,OPEN,40,6.519566190615922,0.2738028555089674
B136,12,ELIG,10,6.2086972735514445,0.9028429917553321
B136,12,ELIG,20,7.6404426124934925,0.5846225247704011
B136,12,ELIG,40,6.584989016779619,0.3686298668689392
B136,15,OPEN,10,6.658749670588094,0.43316075750079114
B136,15,OPEN,20,6.864535333528343,0.2612600929075091
B136,15,OPEN,40,6.8337512656864385,0.26360156700383974
B136,15,ELIG,10,6.583872294948345,0.7307387700137525
B136,15,ELIG,20,6.731707956428467,0.4654968434716059
B136,15,ELIG,40,6.7104895890111145,0.30057785837705997
B136,20,OPEN,10,4.891768642923299,0.5704643024380586
B136,20,OPEN,20,4.891768642923299,0.38056348914246807
B136,20,OPEN,40,4.932357200086979,0.24246064781546098
B136,20,ELIG,10,4.919467311037707,0.5261931980436794
B136,20,ELIG,20,5.19505920402159,0.34163415746413156
B136,20,ELIG,40,5.601096557405272,0.22559512927615388
B136,25,OPEN,10,4.186209184183798,0.5319299882067395
B136,25,OPEN,20,4.34111997290898,0.32821881443956163
B136,25,OPEN,40,4.269149812565876,0.21389338279088033
B136,25,ELIG,10,4.894021608809851,0.45485618600937266
B136,25,ELIG,20,4.807805971267887,0.2868067633521686
B136,25,ELIG,40,5.144031846783004,0.2409845492427264
B136,30,OPEN,10,2.5298513956090174,0.5100963220546072
B136,30,OPEN,20,2.5881623278819044,0.3043628274870637
B136,30,OPEN,40,2.810899508839926,0.1931112636261126
B136,30,ELIG,10,3.514127533985567,0.19964091561196756
B136,30,ELIG,20,3.738216467520561,0.2023232061699514
B136,30,ELIG,40,3.7879473215192028,0.127466561881579
B136,40,OPEN,10,1.6934001325907388,0.42931853681840804
B136,40,OPEN,20,1.901674990390212,0.2803362722917661
B136,40,OPEN,40,1.8532321794052287,0.1767412329791501
B136,40,ELIG,10,2.8232667081011353,0.1988705081559803
B136,40,ELIG,20,2.7890300443260685,0.18360986453073566
B136,40,ELIG,40,2.920634985678583,0.12658694710373034
