ticker,name,first_trade,entry,exit,days,exchange,entry_px,adv20,investable,truncated,ret,exc_IWM,exc_SPY,year
XHR,"Xenia Hotels & Resorts, Inc.",2015-02-04,2015-03-19,2016-03-18,252,NYSE,14.55,15026712.0,True,False,-0.29094027966334346,-0.18139169257488985,-0.2917677871207346,2015
NXRT,"NexPoint Residential Trust, Inc.",2015-03-19,2015-05-01,2016-05-02,252,NYSE,8.9,1695181.0,True,False,0.03771877273834856,0.09380526061865135,0.029707191493466345,2015
UNIT,Uniti Group LLC,2015-04-20,2015-06-02,2016-06-01,252,nan,18.43,11856894.0,False,False,0.04527349007531267,0.1019506745278097,0.029199623736799518,2015
CABO,"Cable One, Inc.",2015-06-11,2015-07-24,2016-07-25,252,NYSE,374.42,30315889.0,True,False,0.26115573031330674,0.2567227132858254,0.19698558792250598,2015
ENR,"ENERGIZER HOLDINGS, INC.",2015-06-12,2015-07-27,2016-07-26,252,NYSE,28.78,28973466.0,True,False,0.21746751312462886,0.1997339689368789,0.14657649453677646,2015
BW,"Babcock & Wilcox Enterprises, Inc.",2015-06-16,2015-07-29,2016-07-28,252,NYSE,197.8,12366791.0,True,False,-0.22097461341388291,-0.22752377413742442,-0.27174097434045874,2015
CC,Chemours Co,2015-06-19,2015-08-03,2016-08-02,252,NYSE,7.54,27405115.0,True,False,-0.16035296162932178,-0.1523209880694285,-0.21008610934285454,2015
PYPL,"PayPal Holdings, Inc.",2015-07-06,2015-08-17,2016-08-16,252,Nasdaq,38.4,461190518.0,True,False,-0.01103932965511878,-0.03326533841147672,-0.06847757306368574,2015
LITE,Lumentum Holdings Inc.,2015-07-23,2015-09-03,2016-09-02,252,Nasdaq,19.31,8365074.0,True,False,0.8213284014140714,0.7092497832854132,0.6804193690527234,2015
MSGS,Madison Square Garden Sports Corp.,2015-09-17,2015-10-29,2016-10-28,252,NYSE,123.91,40159577.0,True,False,-0.09974993451985625,-0.13437216361196014,-0.13943128609018718,2015
PJT,PJT Partners Inc.,2015-09-22,2015-11-03,2016-11-02,252,NYSE,19.21,5582111.0,True,False,0.24143333124227828,0.24968875862798512,0.2260012481853353,2015
CSW,"CSW INDUSTRIALS, INC.",2015-09-30,2015-11-11,2016-11-10,252,NYSE,35.47,2456617.0,True,False,-0.160610273548636,-0.24011449682457997,-0.22728314351821688,2015
HPE,Hewlett Packard Enterprise Co,2015-10-19,2015-12-01,2016-11-30,252,NYSE,6.8,191990724.0,True,False,0.5408764895859577,0.4258993432868414,0.4723112165923904,2015
FCPT,"Four Corners Property Trust, Inc.",2015-11-10,2015-12-23,2016-12-22,252,NYSE,8.77,5975230.0,True,False,0.3793331658279544,0.17694695018431972,0.26187007563520104,2015
ACGP,"Associated Capital Group, Inc.",2015-11-10,2015-12-23,2016-12-22,252,nan,27.14,387632.0,False,False,0.07546525631940804,-0.12692095932422665,-0.041997833873345325,2015
IMDX,Insight Molecular Diagnostics Inc.,2015-12-30,2016-02-12,2017-02-13,252,Nasdaq,61.6,66380.0,False,False,0.6525070942619458,0.1985318670908962,0.3784973065410877,2015
AFIIQ,"Armstrong Flooring, Inc.",2016-03-17,2016-04-29,2017-05-01,252,nan,14.56,5893910.0,False,False,0.32153406266001827,0.05903249211095529,0.14085434178676381,2016
NGVT,Ingevity Corp,2016-05-03,2016-06-15,2017-06-15,252,NYSE,33.93,33571637.0,True,False,0.6860084146963266,0.44040221631715326,0.48839196105795635,2016
FTV,Fortive Corp,2016-07-05,2016-08-16,2017-08-16,252,NYSE,32.39,122736842.0,True,False,0.23893982924179347,0.10016273530131481,0.0829524716247989,2016
APVO,Aptevo Therapeutics Inc.,2016-07-20,2016-08-31,2017-08-31,252,Nasdaq,22317926.0,0.0,False,False,-0.5119940317107847,-0.6619476730715208,-0.6736473914850867,2016
MYSZ,"My Size, Inc.",2016-08-09,2016-09-21,2017-09-21,252,Nasdaq,15750.0,0.0,False,False,-0.8656050057142857,-1.0415654104842285,-1.0445336022710319,2016
ASIX,AdvanSix Inc.,2016-09-15,2016-10-27,2017-10-27,252,NYSE,14.19,14024751.0,True,False,1.8103909801787101,1.5273608502098541,1.5769864863261656,2016
DFIN,"Donnelley Financial Solutions, Inc.",2016-09-26,2016-11-07,2017-11-07,252,NYSE,20.39,10585341.0,True,False,-0.09695524190126581,-0.353856634239355,-0.3350703124482979,2016
ADNT,Adient plc,2016-10-17,2016-11-29,2017-11-29,252,NYSE,52.88,98972144.0,True,False,0.47289317811230847,0.2972639192749942,0.2596115637691718,2016
YUMC,"Yum China Holdings, Inc.",2016-10-17,2016-11-29,2017-11-29,252,NYSE,25.8,174334693.0,True,False,0.4350034271867047,0.2593741683493904,0.22172181284356807,2016
LW,"Lamb Weston Holdings, Inc.",2016-11-10,2016-12-23,2017-12-26,252,NYSE,31.38,56979862.0,True,False,0.5208516149119327,0.37894005890438187,0.31406198528763785,2016
INSW,"International Seaways, Inc.",2016-11-16,2016-12-30,2018-01-02,252,NYSE,8.02,1514717.0,True,False,0.35919404210757855,0.20254574091382382,0.13342940125344915,2016
CNDT,CONDUENT Inc,2016-12-13,2017-01-27,2018-01-29,252,Nasdaq,14.91,86648067.0,True,False,0.11579674474456247,-0.06519042342482462,-0.1516812943901784,2016
HGV,Hilton Grand Vacations Inc.,2017-01-04,2017-02-16,2018-02-16,252,NYSE,29.43,25767676.0,True,False,0.5134471749746794,0.39702169165102297,0.32726923868654145,2017
PK,Park Hotels & Resorts Inc.,2017-01-04,2017-02-16,2018-02-16,252,NYSE,14.05,23912240.0,True,False,0.04632147596283698,-0.07010400736081945,-0.13985646032530097,2017
AQB,AQUABOUNTY TECHNOLOGIES INC,2017-01-11,2017-02-24,2018-02-26,252,Nasdaq,278.0,717838.0,False,False,-0.8197816197740401,-0.9526969792575323,-1.0164643341308772,2017
VREX,Varex Imaging Corp,2017-01-23,2017-03-07,2018-03-07,252,Nasdaq,32.89,23506056.0,True,False,0.13604508048879183,-0.025154962630866695,-0.0373017955309527,2017
CARS,Cars.com Inc.,2017-06-01,2017-07-14,2018-07-16,252,NYSE,24.13,38679778.0,True,False,0.29866059108057796,0.10763734916769696,0.13982650267292573,2017
SMHI,SEACOR Marine Holdings Inc.,2017-06-02,2017-07-17,2018-07-17,252,NYSE,18.6,2077164.0,True,False,0.23407784299458356,0.04054871862565679,0.07041356718137926,2017
JBGS,JBG SMITH Properties,2017-07-06,2017-08-17,2018-08-17,252,NYSE,24.16,23836389.0,True,False,0.13912008090617656,-0.12377880955192988,-0.05545961322836179,2017
BHF,"Brighthouse Financial, Inc.",2017-07-17,2017-08-28,2018-08-28,252,Nasdaq,55.34,92900488.0,True,False,-0.2358879498342451,-0.5024202957638063,-0.4434817741360274,2017
CNR,"Core Natural Resources, Inc.",2017-11-14,2017-12-28,2018-12-31,252,NYSE,35.98,21793199.0,True,False,-0.1906113607537362,-0.07205726680409186,-0.14132324632135063,2017
RDVT,"Red Violet, Inc.",2018-03-27,2018-05-09,2019-05-10,252,Nasdaq,4.96,376044.0,False,False,1.0670995398823453,1.0678984883990514,0.9773434665532159,2018
NVT,nVent Electric plc,2018-04-24,2018-06-06,2019-06-07,252,NYSE,23.84,34312240.0,True,False,-0.12595950465316175,-0.04084717512577629,-0.18302724821272387,2018
WH,"WYNDHAM HOTELS & RESORTS, INC.",2018-05-21,2018-07-03,2019-07-05,252,NYSE,49.97,92465279.0,True,False,0.06730230072437204,0.10586473391283147,-0.05622421951399281,2018
KLXE,"KLX Energy Services Holdings, Inc.",2018-08-29,2018-10-11,2019-10-14,252,Nasdaq,171.85,15103568.0,True,False,-0.7447694374605169,-0.7321575587588658,-0.8537492039852634,2018
FTDR,"Frontdoor, Inc.",2018-09-13,2018-10-25,2019-10-28,252,Nasdaq,35.0,48922836.0,True,False,0.38259765126176815,0.3203582254500339,0.23728118460448178,2018
GTX,Garrett Motion Inc.,2018-09-17,2018-10-29,2019-10-30,252,Nasdaq,14.35,32451237.0,True,False,-0.3270434277000015,-0.40688656012590785,-0.502605293680552,2018
AMTB,Amerant Bancorp Inc.,2018-10-18,2018-11-30,2019-12-03,252,NYSE,14.81,19135.0,False,False,0.32919138775137724,0.2692095570665942,0.18389402395567522,2018
REZI,"RESIDEO TECHNOLOGIES, INC.",2018-10-29,2018-12-12,2019-12-12,252,NYSE,14.92,32799733.0,True,False,-0.4595307771940691,-0.6065454727321786,-0.6779140308142009,2018
ACA,"Arcosa, Inc.",2018-11-05,2018-12-19,2019-12-19,252,NYSE,22.5,11615162.0,True,False,0.9877095585733622,0.7342947190519789,0.6851670366540303,2018
SER,"Serina Therapeutics, Inc.",2018-11-29,2019-01-15,2020-01-15,252,NYSE,155.0,426537.0,False,False,-0.6045648636096619,-0.7869965515779294,-0.8890071955939414,2018
FOXA,Fox Corp,2019-03-12,2019-04-24,2020-04-23,252,Nasdaq,34.24,189249872.0,True,False,-0.33291549720819924,-0.10542980401625235,-0.30742940677904096,2019
