arm,instrument,level,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,panel
IS pick,SLEEVE,0.3,0.12714174219237195,1.2398434312636089,-0.15961206567403452,U56
anchor VOL20(0.60),VOL20,0.6,0.14561304336619862,1.1446386840124883,-0.1814921081999462,U56
do-nothing B0,BASE,,0.1650495169231634,1.1699736707025599,-0.21271230008765574,U56
best OOS point,SLEEVE,0.6,0.08862130089007914,1.2937943268236676,-0.10796557101268545,U56
RULES v2 (live),-,,0.09563830138946261,1.293742502269834,-0.11896565752846,U56
SPY,-,,0.15450717694493266,0.8820107671822842,-0.33717235283398284,U56
IS pick,SLEEVE,0.4,0.10500369451496239,1.0400238072001022,-0.15460612644893856,B136
anchor VOL20(0.60),VOL20,0.6,0.12251049783771784,0.8695421882347507,-0.20695397413814887,B136
do-nothing B0,BASE,,0.14777911134361732,0.9354036680444221,-0.24003217139106858,B136
best OOS point,SLEEVE,0.6,0.08271065061635663,1.1075309810921854,-0.11621767924467785,B136
RULES v2 (live),-,,0.07983508528458483,1.1206044691812698,-0.12178128651163989,B136
SPY,-,,0.1545044425578177,0.8820239235972316,-0.3371595330739301,B136
