key,family,truth_scale_leak,truth_term_dated,T1_flag,T1_med,T1_max,T2_flag,T2_med,T2_max,absIC_T,absIC_H
MOM,causal,False,False,False,0.0,4.0,False,0.0,0.0,0.08167336811870501,0.021407850471864664
R6,causal,False,False,False,0.0,2.0,False,0.0,0.0,0.06500399056390561,0.026677033727601974
DDTR,causal,False,False,False,0.0,2.0,False,0.0,0.0,0.07166432951829332,0.0389482692651409
REBASED,causal,False,False,False,0.0,2.0,False,0.0,0.0,0.18395678172983101,0.004441789547168199
VOL20,causal,False,False,False,0.0,2.0,False,0.0,0.0,0.05673776992766094,0.07326493580731754
VOLSH,causal,False,False,False,0.0,0.0,False,0.0,0.0,0.41216782810011704,0.029392509724664458
PRICE,level,True,False,True,247.0,368.0,False,0.0,0.0,0.441952372133949,0.15248617084533733
FROZEN,level,True,False,True,284.5,372.0,False,0.0,0.0,0.2603531026542186,0.12644816278683496
DVOL,level,True,False,True,182.0,354.0,False,0.0,0.0,0.5981405943602034,0.08984042282747458
PXDVOL,level,True,False,True,192.0,368.0,False,0.0,0.0,0.5995705009005099,0.08982686360896705
MCAP,both,True,True,True,248.0,412.0,True,inf,inf,0.7091850194428899,0.18087504251095557
MCAPFRZ,both,True,True,True,231.5,301.0,True,inf,inf,0.4492772002259092,0.1628529862468373
PXTERM,both,True,True,True,294.5,399.0,True,294.0,343.0,0.4978661043290994,0.07937168006434041
FWDRET,termonly,False,True,False,0.0,1.0,True,330.0,411.0,1.0,0.20476659299824154
TERMREB,termonly,False,True,False,0.0,1.0,True,368.0,417.0,0.9999999994010678,0.20476659299824154
MCAPREB,termonly,False,True,False,0.0,0.0,True,inf,inf,0.44049936041408455,0.06864248797817851
SHARES,termonly,False,True,False,0.0,0.0,True,inf,inf,0.3461746499597875,0.07611839151424013
FULLVOL,termonly,False,True,False,0.0,0.0,True,291.0,417.0,0.12744537941493003,0.19619042361449576
FULLSHRP,termonly,False,True,False,0.0,0.0,True,334.0,419.0,0.6103862457613757,0.13717075772545853
MAXMOVE,termonly,False,True,False,1.0,1.0,True,330.0,413.0,0.10985269650352614,0.1252791544155201
UPDAYS,causal,False,False,False,0.0,0.0,False,0.0,0.0,0.20560631333227056,0.00408580513773655
SKEW60,causal,False,False,False,0.0,0.0,False,0.0,0.0,0.038561219580452416,0.002617241210729649
PXRANGE,level,True,False,True,266.0,372.0,False,0.0,0.0,0.4259626857633019,0.18566969920360463
AMIHUD,level,True,False,True,166.0,331.0,False,0.0,0.0,0.5971396708602307,0.07525741663823278
DVOLTERM,both,True,True,True,211.0,340.0,True,215.0,282.0,0.09245139203156988,0.027387902923055214
FWDR21,termonly,False,True,False,0.0,1.0,True,360.0,415.0,0.9833605446962972,0.2053705951986175
