keying,tau,n_movers,med_adv,mean_adv,wins,med_advS,mean_advS
K_SE,0.0,36,-0.01954618783644746,-0.022417437666514373,13,-0.05019206587590541,-0.06568101973058965
K_SE,0.25,34,-0.023363882378858836,-0.024681755537975074,11,-0.05273218340071306,-0.07123698434664656
K_SE,0.5,31,-0.021461695702088335,-0.022219417253280038,10,-0.05273218340071306,-0.07370853895179484
K_SE,0.75,25,-0.011140575191412205,-0.016018049760049932,10,-0.05273218340071306,-0.08130779505889325
K_SE,1.0,13,-0.009977350566984011,-0.013036373879308534,6,-0.13992739693443834,-0.13833751385541188
K_SE,1.5,8,0.05069750073559798,0.035824504863914225,4,-0.07223163981307956,-0.096981289997782
K_SE,2.0,5,0.11137235203817997,0.06483628400321768,4,-0.004535882691720783,-0.030646028963837856
K_SE,3.0,4,0.11602720423763169,0.11602720423763169,4,-0.0033256869711877357,-0.0033256869711877357
K_SE,inf,0,,,0,,
K_FLOOR,0.0,36,-0.01954618783644746,-0.022417437666514373,13,-0.05019206587590541,-0.06568101973058965
K_FLOOR,0.25,18,-0.004526794165854553,-0.009523466810825184,9,-0.0963297901675757,-0.0945336327329247
K_FLOOR,0.5,16,0.0009237622352749053,-0.006196330435193971,9,-0.13992739693443834,-0.11379014559281467
K_FLOOR,0.75,12,-0.004526794165854553,-0.013194357103299895,6,-0.18165766062258476,-0.1458946443141047
K_FLOOR,1.0,10,0.0009237622352749053,0.028844356338186362,6,-0.13992739693443834,-0.13039598831477942
K_FLOOR,1.5,7,0.11137235203817997,0.04346095984030291,4,-0.004535882691720783,-0.09084613186397394
K_FLOOR,2.0,6,0.11137235203817997,0.07402568596942645,4,-0.004535882691720783,-0.08266592101889654
K_FLOOR,3.0,4,0.11602720423763169,0.11602720423763169,4,-0.0033256869711877357,-0.0033256869711877357
K_FLOOR,inf,0,,,0,,
