uni,q,draw,nkeep,book,arm,dCAGR_full,dMaxDD_full,rate_full,dCAGR_IS,dMaxDD_IS,rate_IS,dCAGR_OOS,dMaxDD_OOS,rate_OOS
universe.json(56),0.05,0,53,TOP3,g200-dg,0.08693638483532329,1.1102230246251565e-14,,-0.23572865530825382,1.5185063832374612,-0.15523718432166184,0.36308111264233833,0.0,
universe.json(56),0.05,0,53,TOP3,g200-rw,-0.24205457997918955,-2.220446049250313e-14,,-0.3031148019504881,1.1773958231002135,-0.2574451140418974,-0.18961258276120052,0.0,
universe.json(56),0.05,0,53,TOP3,band3-dg,0.3474892922192607,2.220446049250313e-14,,0.10406085201473125,2.220446049250313e-14,,0.5558606837776203,1.1102230246251565e-14,
universe.json(56),0.05,0,53,TOP3,band3-rw,0.4165919941314433,0.0,,0.019161058188488234,1.1102230246251565e-14,,0.7564605351662923,3.3306690738754696e-14,
universe.json(56),0.05,0,53,TOP3,abs12-dg,0.2067359962428128,0.0,,0.6653449350434659,-1.1102230246251565e-14,,-0.18815250306862819,0.0,
universe.json(56),0.05,0,53,TOP3,abs12-rw,0.0944492358015303,-3.3306690738754696e-14,,0.5163142421984679,3.3306690738754696e-14,,-0.26865477176845065,0.0,
universe.json(56),0.05,0,53,TOP3,vol60-dg,9.289994446229354,10.092221912892807,0.9205103223464985,8.916583360278008,1.1873410500939041,7.509706970522762,9.606911488315294,10.092221912892917,0.9519124303085692
universe.json(56),0.05,0,53,TOP3,vol60-rw,7.378446533073757,10.092221912892875,0.7311022881539839,6.581179031107376,-0.12886310506030618,,8.057131510769967,10.092221912892851,0.7983506090444713
universe.json(56),0.05,0,53,TOP3,v1gate-dg,9.500229994547759,11.33579668571002,0.8380734286213699,8.979612881780064,1.1873410500938042,7.56279156782345,9.942881479097721,11.335796685709965,0.8771224250724108
universe.json(56),0.05,0,53,TOP3,v1gate-rw,7.679771377862243,10.870746455026714,0.7064621927881558,6.744365987060963,1.7036005472364057,3.9588893053607705,8.475612824299317,10.870746455026769,0.7796716499058892
universe.json(56),0.05,0,53,TOP3,stop15,0.626017448198124,0.8366608936575481,0.7482331885519653,0.24188080799691924,1.0316486735469588,0.23446044588541728,0.9544910821746244,0.8366608936575703,1.1408338663971065
universe.json(56),0.05,0,53,TOP3,stop25,0.58266512818681,-1.7233073080902273,,0.19985800839470436,-0.08676483450390515,,0.9100154446591846,-1.7233073080902162,
universe.json(56),0.05,0,53,TOP3,ddctl-8/.5/recover,12.696913991674297,8.96974009439746,1.4155275245494399,12.008363779837605,3.01207167843196,3.986745689295476,13.281987992351652,8.969740094397471,1.480755055617233
universe.json(56),0.05,0,53,TOP3,ddctl-8/.5/high,12.431248325239409,15.954522433939399,0.7791676859468338,11.191114717414186,4.7725994614095875,2.3448677828306357,13.484222726833517,15.954522433939411,0.8451661767167079
universe.json(56),0.05,0,53,TOP3,ebud-0.10,9.326474153317466,1.0639044765568983,8.766270242137363,8.84992794649464,-0.15074683647032794,,9.731542304839703,1.0639044765569206,9.147007573775399
universe.json(56),0.05,0,53,TOP3,ebud-0.20,3.7373417279978227,0.21235546119120485,17.599461332584802,3.7625245378433148,0.773650299188644,4.863340118641736,3.714367405925012,0.21235546119122706,17.491273288141187
universe.json(56),0.05,0,53,TOP5,g200-dg,0.058563260812372064,0.0,,-0.4637119346338592,1.4272786492190659,-0.32489236414177336,0.5092566008277455,0.0,
universe.json(56),0.05,0,53,TOP5,g200-rw,-0.08137788535378387,-3.3306690738754696e-14,,-0.5451301712723122,1.4272786492189882,-0.3819367518533325,0.3190457978288208,-1.1102230246251565e-14,
universe.json(56),0.05,0,53,TOP5,band3-dg,-0.00261193126673831,0.0,,-0.5253089850857151,1.4272786492190104,-0.36804935418403256,0.4484673775082326,1.1102230246251565e-14,
universe.json(56),0.05,0,53,TOP5,band3-rw,0.07991149064883185,-2.220446049250313e-14,,-0.5542828840440661,1.4272786492190326,-0.38834945393974357,0.6267139210478723,0.0,
universe.json(56),0.05,0,53,TOP5,abs12-dg,0.211359040797654,-2.220446049250313e-14,,0.04101457680445453,0.0,,0.35865804101826715,4.440892098500626e-14,
universe.json(56),0.05,0,53,TOP5,abs12-rw,0.011785409409981185,1.1102230246251565e-14,,-0.2872362330628597,4.440892098500626e-14,,0.27027444499190256,0.0,
