,n_elig,n_elig_is,n_elig_oos,n_elig_p10,n_elig_p90,n_cols
U56,41.0,39.0,42.0,18.0,48.0,56.0
B136,99.0,99.5,98.0,48.0,116.0,136.0
BSTK100,72.0,73.0,71.0,38.0,86.0,100.0
SMALL439,148.0,137.5,153.0,69.60000000000001,194.39999999999998,439.0
ETF36,27.0,26.0,27.0,11.0,32.0,36.0
