book,rung,CAGR,Sharpe,MaxDD,H1,H2,N,ym
LIVE-v2-g075-W,2011-01-03,0.11891037379129465,1.3996002256448734,-0.0669525582257191,2.0297316221207105,0.7684442427731434,498,2011-01
LIVE-v2-g075-W,2011-01-04,0.1177873463300323,1.3885768324013599,-0.0669525582257191,2.0297316221207105,0.7479152344639963,499,2011-01
LIVE-v2-g075-W,2011-01-05,0.1193990031645038,1.4069440588386215,-0.0669525582257191,2.0639419842719215,0.7489734471426719,500,2011-01
LIVE-v2-g075-W,2011-01-06,0.11982290887690028,1.4128336695987012,-0.0669525582257191,2.0639419842719215,0.762064769438559,501,2011-01
LIVE-v2-g075-W,2011-01-07,0.11922608575757132,1.407637917000014,-0.0669525582257191,2.0493458719226667,0.7647863128363346,502,2011-01
LIVE-v2-g075-W,2011-01-10,0.12022442670006828,1.419635147185305,-0.0669525582257191,2.0493458719226667,0.7901435885208984,503,2011-01
LIVE-v2-g075-W,2011-01-11,0.12083087003850923,1.4274893148784495,-0.0669525582257191,1.9103101378595484,0.9353779923497029,504,2011-01
LIVE-v2-g075-W,2011-01-12,0.12399332467414803,1.461486317951362,-0.0669525582257191,1.9103101378595484,1.005752132256085,505,2011-01
LIVE-v2-g075-W,2011-01-13,0.12312536408926333,1.4533319056426264,-0.0669525582257191,1.977928338368538,0.9177703005004534,506,2011-01
LIVE-v2-g075-W,2011-01-14,0.1255019069103247,1.4794998972932827,-0.0669525582257191,1.977928338368538,0.9721695595841361,507,2011-01
LIVE-v2-g075-W,2011-01-18,0.1256355958278219,1.4823243811022666,-0.0669525582257191,1.980046645605892,0.9746862854750595,508,2011-01
LIVE-v2-g075-W,2011-01-19,0.12150540317179992,1.4361492596529073,-0.0669525582257191,1.980046645605892,0.8850610577009732,509,2011-01
LIVE-v2-g075-W,2011-01-20,0.11883405694260518,1.4073019860582283,-0.0669525582257191,1.881846161441083,0.9217456587935839,510,2011-01
LIVE-v2-g075-W,2011-01-21,0.11753710558661479,1.3942057218323605,-0.0669525582257191,1.881846161441083,0.8965512430258241,511,2011-01
LIVE-v2-g075-W,2011-01-24,0.1192939584372843,1.4141487594680635,-0.0669525582257191,1.9758592342488779,0.8348231254059816,512,2011-01
LIVE-v2-g075-W,2011-01-25,0.11859320473090729,1.4077317038133985,-0.0669525582257191,1.9758592342488779,0.8230788120125141,513,2011-01
LIVE-v2-g075-W,2011-01-26,0.12074726642777556,1.4317587596259873,-0.0669525582257191,1.8718018702573835,0.9734687259575431,514,2011-01
LIVE-v2-g075-W,2011-01-27,0.12290564818255056,1.4558026844364964,-0.0669525582257191,1.8718018702573835,1.0237568306791294,515,2011-01
LIVE-v2-g075-W,2011-01-28,0.11754729267493902,1.3941376858045988,-0.0669525582257191,1.7322303904568024,1.0385230469182656,516,2011-01
LIVE-v2-g075-W,2011-01-31,0.11884714689652243,1.4093100193166481,-0.0669525582257191,1.7322303904568024,1.070396122604092,517,2011-01
LIVE-v2-g075-W,2011-02-01,0.1238287301379053,1.4606080141562532,-0.0669525582257191,1.5225701830268872,1.393080189340773,518,2011-02
LIVE-v2-g075-W,2011-02-02,0.1231189605889238,1.454164296612393,-0.0669525582257191,1.5225701830268872,1.3799530533191882,519,2011-02
LIVE-v2-g075-W,2011-02-03,0.12387566650422,1.4636008555420608,-0.0669525582257191,1.5349983509902976,1.3859093870806827,520,2011-02
LIVE-v2-g075-W,2011-02-04,0.12482359421602962,1.475063478497091,-0.0669525582257191,1.5349983509902976,1.4099764594636046,521,2011-02
LIVE-v2-g075-W,2011-02-07,0.1254181816131721,1.4827942039953133,-0.0669525582257191,1.5046784156133475,1.458544882877472,522,2011-02
LIVE-v2-g075-W,2011-02-08,0.1269310937723227,1.5001576489770032,-0.0669525582257191,1.5046784156133475,1.4947522801841056,523,2011-02
LIVE-v2-g075-W,2011-02-09,0.12594643911674197,1.4906591417862987,-0.0669525582257191,1.5497299323441274,1.4262687048719673,524,2011-02
LIVE-v2-g075-W,2011-02-10,0.12561845478872868,1.488421274451614,-0.0669525582257191,1.5497299323441274,1.4218642551154541,525,2011-02
LIVE-v2-g075-W,2011-02-11,0.12756755786029572,1.5102857431360925,-0.0669525582257191,1.5105392874067036,1.5095408172381322,526,2011-02
LIVE-v2-g075-W,2011-02-14,0.12920274921218855,1.52892876271844,-0.0669525582257191,1.5105392874067036,1.5483895223698663,527,2011-02
LIVE-v2-g075-W,2011-02-15,0.1273483884341018,1.5095421511975207,-0.0669525582257191,1.4146142744103694,1.613255357751885,528,2011-02
LIVE-v2-g075-W,2011-02-16,0.12961633570465447,1.5346262454242448,-0.0669525582257191,1.4146142744103694,1.6653590275664534,529,2011-02
