graded,agree,under_read,over_read,n,under_share
G_DOWNSHARE,48,36,0,84,1.0
G_DECSTEPS,76,2,6,84,0.25
G_SPEARMAN,36,48,0,84,1.0
G_ENDSE,66,17,1,84,0.9444444444444444
