arm,char,transform,direction,obs_OOS_S,perm_mean,perm_p05,perm_p95,perm_beat_rate,obs_beats_anchor,obs_in_band,p_two_sided
EWall,breadth,none,+,0.9330115873576128,1.059561692759707,0.8638953659371345,1.1775305459008114,1.0,True,True,0.57
EWall,breadth,none,-,0.1153180733493333,0.22439005420587985,-0.0052308834007921,0.4558435786174901,0.0,False,True,0.94
EWall,breadth,dm,+,0.2804904410912066,0.533948462345317,0.2804904410912066,0.7533505536562318,0.27,False,True,0.29
EWall,breadth,dm,-,0.7855254948948452,0.7696846894559499,0.5804108213015154,1.024587309362008,0.555,True,True,0.88
EWall,breadth,residx,+,0.2804904410912066,0.533948462345317,0.2804904410912066,0.7533505536562318,0.27,False,True,0.29
EWall,breadth,residx,-,0.7855254948948452,0.7624387896727174,0.5804108213015154,1.024587309362008,0.55,True,True,0.84
EWall,breadth,ratio,+,0.9330115873576128,1.0304293811660563,0.8705062435027748,1.1775305459008114,1.0,True,True,0.52
EWall,breadth,ratio,-,0.1153180733493333,0.17276676781772213,0.0879049965949239,0.4558435786174901,0.0,False,True,1.44
EWall,disp,none,+,0.6788300100482391,0.3423193263417838,-0.0439173246992801,0.7186664308495364,0.25,True,True,0.5
EWall,disp,none,-,0.971946206670566,0.9880332573060051,0.8255911659741875,1.1462205326520498,1.0,True,True,0.83
EWall,disp,dm,+,0.7682724831365769,0.8434175099037904,0.6258195848755351,1.077109615288904,0.74,True,True,0.74
EWall,disp,dm,-,-0.0439173246992801,0.3485201012686359,-0.0439173246992801,0.7186664308495364,0.27,False,True,0.31
EWall,disp,residx,+,0.6788300100482391,0.8409635026774407,0.6258195848755351,1.077109615288904,0.735,True,True,0.53
EWall,disp,residx,-,-0.0439173246992801,0.3485201012686359,-0.0439173246992801,0.7186664308495364,0.27,False,True,0.31
EWall,disp,ratio,+,0.6788300100482391,0.3818360522790074,0.2108457989492738,0.7802330291939985,0.105,True,True,0.17
EWall,disp,ratio,-,0.971946206670566,0.9867058673725739,0.8179340675254172,1.1685466722078326,1.0,True,True,0.81
EWall,corr,none,+,0.9330115873576128,1.061475120200209,0.8638953659371345,1.1775305459008114,1.0,True,True,0.56
EWall,corr,none,-,0.0821494714150806,0.2646742849375537,0.0821494714150806,0.4070949657052199,0.0,False,True,0.22
EWall,corr,dm,+,0.6258195848755351,0.8247197942940975,0.6258195848755351,1.077109615288904,0.755,False,True,0.22
EWall,corr,dm,-,0.6405120616954454,0.6790172901589865,0.359140326307647,1.060848457946998,0.465,False,True,1.07
EWall,corr,residx,+,0.6258195848755351,0.8116017508960884,0.6258195848755351,1.077109615288904,0.72,False,True,0.29
EWall,corr,residx,-,0.6405120616954454,0.658775813892506,0.359140326307647,1.060848457946998,0.415,False,True,1.09
EWall,corr,ratio,+,0.9330115873576128,1.008567846201165,0.8705062435027748,1.1775305459008114,1.0,True,True,0.38
EWall,corr,ratio,-,0.1153180733493333,0.1733942189536847,0.0879049965949239,0.3217091403426495,0.0,False,True,1.24
EWall,evol,none,+,0.0879049965949239,0.22158511844557535,-0.0052308834007921,0.4558435786174901,0.0,False,True,0.44
EWall,evol,none,-,0.89715569130727,0.885402091140656,0.7137859448437225,1.1222116982856944,1.0,True,True,1.02
