arm,q,rows,p4a,p4b,rate4b
CROSS,0.0,192,0,19,0.09895833333333333
CROSS,1.0,192,0,0,0.0
MATCH,0.0,384,0,36,0.09375
MATCH,0.5,384,0,0,0.0
MATCH,1.0,384,0,0,0.0
REPRO,0.0,100,0,24,0.24
REPRO,0.5,128,0,2,0.015625
REPRO,1.0,128,0,0,0.0
