k,x,stat,n,slope,intercept,R2,t,span,span_over_gap
ALL,etf_share,gate,144,0.20882416415509253,-0.16877993051169096,0.16737705662109215,5.342788080532887,0.16705933132407402,1.7085050400801178
ALL,etf_share,conc,144,7.326628951705332,0.6234706675735378,0.05557489208784816,2.8906780453574554,5.861303161364265,0.5671820677709548
ALL,breadth,gate,144,0.48779411505689646,-0.3809939441721854,0.23445547254881527,6.594610218632788,0.18433011522363432,1.8851322365657368
ALL,breadth,conc,144,3.5803074337396006,0.4528688472593818,0.003406933929635092,0.6967341493129147,1.3529447392375313,0.13092071398708674
ALL,cvol,gate,144,-0.5501549629517544,0.05930262853835905,0.2207580783976537,-6.3425853546428845,-0.18792284462196812,-1.9218748491216915
ALL,cvol,conc,144,-4.308728832925996,3.7721850278980242,0.003652419648006555,-0.7214879335176941,-1.4717827403461106,-0.14242033810529092
ALL,mean_vol,gate,144,-0.45423146671273734,0.06131340204056906,0.22491344384563272,-6.419138968475839,-0.18218506728444375,-1.8631949692112346
ALL,mean_vol,conc,144,-4.8938617558566655,4.3178122534646635,0.007042067542439856,-1.0035264887830806,-1.9628506578901683,-0.18993961994769037
ALL,rho_bar,gate,144,0.6566667409398731,-0.25450583943058297,0.1391623106953026,4.7912005651516365,0.1909323602152532,1.952652971592162
ALL,rho_bar,conc,144,3.075634900975364,1.7417395515240057,0.0008234494821036664,0.3420909113314159,0.8942713163196468,0.08653615763842738
ALL,small_share,gate,144,-0.15154011116335026,-0.051775018907480506,0.27773900037617183,-7.389508004653522,-0.15154011116335026,-1.5497909733317337
ALL,small_share,conc,144,-1.1031723365708577,2.8652428603220463,0.003970125179297734,-0.7523329619979586,-1.1031723365708577,-0.1067509305931103
20,etf_share,gate,48,0.2006001681227901,-0.1922256909901541,0.09589123198233673,2.208808294520454,0.1604801344982321,1.6412200171631717
20,etf_share,conc,48,6.093259705305334,0.3869153715465879,0.04440065864439213,1.4619607102215018,4.874607764244267,0.47170228790091917
20,breadth,gate,48,0.5400080761935679,-0.4355551797871768,0.17972566871332518,3.174712552898845,0.20406099178716647,2.0869186425498456
20,breadth,conc,48,6.334025167887437,-1.578892095488587,0.012409174426885716,0.7602594673398478,2.3935335687473542,0.23161561199392594
