panel,source,kind,k,n_elig,rev,rev_eps0,breadth,disp,corr,evol,days
B136,B136,NAMED,136,99.0,0.8571428571428571,0.8571428571428571,0.672343041451108,0.09502947143516048,0.34446852066282024,0.21676960356545938,921
B136~0.25~s0,B136,SUB,34,26.0,0.7142857142857143,0.8571428571428571,0.6964935811458134,0.0967815750344978,0.3544893752356698,0.23084604411129028,921
B136~0.25~s1,B136,SUB,34,27.0,0.5714285714285714,0.5714285714285714,0.6982499840327009,0.08321690462275946,0.4279544846641468,0.23022066455829154,921
B136~0.40~s0,B136,SUB,54,39.0,1.0,1.0,0.6655205694293642,0.09597939955230857,0.31244089649844003,0.21094948686683404,921
B136~0.40~s1,B136,SUB,54,39.0,1.0,1.0,0.6692202517392528,0.10127289414989703,0.32698026860406887,0.2247264086277055,921
B136~0.55~s0,B136,SUB,74,54.0,0.5714285714285714,0.8571428571428571,0.6712592070898259,0.08609011375259855,0.35253468801647275,0.20882111735841727,921
B136~0.55~s1,B136,SUB,74,54.0,0.8571428571428571,0.8571428571428571,0.675162132816856,0.09141964033681023,0.32157076080241165,0.2139423481791088,921
B136~0.70~s0,B136,SUB,94,67.0,0.8571428571428571,1.0,0.6616651650611037,0.09406726139961114,0.3229495533628524,0.20783456796608052,921
B136~0.70~s1,B136,SUB,94,68.0,0.5714285714285714,0.7142857142857143,0.6712176866033682,0.0926893839086345,0.3474802798941805,0.21779914420300606,921
B136~0.85~s0,B136,SUB,115,83.0,0.8571428571428571,0.8571428571428571,0.666997120332342,0.09574363824874428,0.32856123118712005,0.21802461983349758,921
B136~0.85~s1,B136,SUB,115,84.0,0.8571428571428571,0.8571428571428571,0.6733418307133079,0.09631161522457234,0.34860166128602293,0.22147823119929214,921
BSTK100,BSTK100,NAMED,100,72.0,0.8571428571428571,0.8571428571428571,0.6713897937024972,0.10030245683507795,0.3513272381763732,0.2401637905733874,921
BSTK100~0.25~s0,BSTK100,SUB,25,19.0,0.0,0.0,0.6971552660152008,0.07829157731447649,0.40696660352475617,0.21576295751104357,921
BSTK100~0.25~s1,BSTK100,SUB,25,17.0,0.7142857142857143,0.7142857142857143,0.6439087947882736,0.09658980481317347,0.3653722448045588,0.23888638202757911,921
BSTK100~0.40~s0,BSTK100,SUB,40,28.0,0.5714285714285714,0.5714285714285714,0.6574918566775244,0.10164876973534843,0.33466893619245575,0.2469186189168198,921
BSTK100~0.40~s1,BSTK100,SUB,40,28.0,0.7142857142857143,0.7142857142857143,0.6665309446254072,0.09731223702569598,0.36055611352661204,0.23990635839864444,921
BSTK100~0.55~s0,BSTK100,SUB,55,39.0,0.7142857142857143,0.7142857142857143,0.6484651070970288,0.09862778014273589,0.364623020120567,0.24754467902119942,921
BSTK100~0.55~s1,BSTK100,SUB,55,41.0,0.7142857142857143,0.7142857142857143,0.689231072944428,0.09929674132895894,0.33947285332281923,0.2378724347171558,921
