panel,book,cadence,rung,draws,p_L1_H1,p_L2_H2,p_L3_OOS,p_L4_DD,p_L5_CAGR,base4b
U56,EWELIG,D,0.0,100,1.0,1.0,1.0,0.17,1.0,0.17
U56,EWELIG,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,EWELIG,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,EWELIG,W,0.0,100,1.0,0.99,1.0,0.08,1.0,0.08
U56,EWELIG,W,10.0,100,0.41,0.54,0.63,0.0,0.6,0.0
U56,EWELIG,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,EWELIG,M,0.0,100,1.0,1.0,1.0,0.04,1.0,0.04
U56,EWELIG,M,10.0,100,0.97,0.99,1.0,0.03,1.0,0.03
U56,EWELIG,M,25.0,100,0.8,0.9,0.91,0.03,0.89,0.03
U56,EWELIG,Q,0.0,100,1.0,1.0,1.0,0.0,1.0,0.0
U56,EWELIG,Q,10.0,100,1.0,1.0,1.0,0.0,1.0,0.0
U56,EWELIG,Q,25.0,100,1.0,0.98,0.99,0.0,1.0,0.0
U56,BAND03,D,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,BAND03,D,10.0,100,0.0,0.0,0.0,1.0,0.0,0.0
U56,BAND03,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,BAND03,W,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,BAND03,W,10.0,100,0.86,1.0,1.0,1.0,0.0,0.0
U56,BAND03,W,25.0,100,0.0,0.01,0.01,1.0,0.0,0.0
U56,BAND03,M,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,BAND03,M,10.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,BAND03,M,25.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,BAND03,Q,0.0,100,1.0,1.0,1.0,0.71,0.0,0.0
U56,BAND03,Q,10.0,100,1.0,1.0,1.0,0.71,0.0,0.0
U56,BAND03,Q,25.0,100,1.0,0.98,1.0,0.71,0.0,0.0
U56,TOP20,D,0.0,100,0.98,1.0,1.0,1.0,0.91,0.9
U56,TOP20,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP20,W,0.0,100,0.98,1.0,1.0,1.0,0.98,0.96
U56,TOP20,W,10.0,100,0.01,0.13,0.2,1.0,0.0,0.0
U56,TOP20,W,25.0,100,0.0,0.0,0.0,0.46,0.0,0.0
U56,TOP20,M,0.0,100,1.0,1.0,1.0,1.0,0.99,0.99
U56,TOP20,M,10.0,100,0.9,1.0,1.0,1.0,0.8,0.73
U56,TOP20,M,25.0,100,0.45,0.77,0.86,1.0,0.18,0.13
U56,TOP20,Q,0.0,100,1.0,0.77,0.9,0.18,0.5,0.12
U56,TOP20,Q,10.0,100,0.99,0.66,0.8,0.18,0.35,0.08
U56,TOP20,Q,25.0,100,0.95,0.43,0.63,0.18,0.15,0.05
U56,TOP10,D,0.0,100,0.81,0.9,0.94,1.0,0.78,0.7
U56,TOP10,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,W,0.0,100,0.85,0.91,0.94,1.0,0.73,0.64
U56,TOP10,W,10.0,100,0.0,0.0,0.0,0.85,0.0,0.0
U56,TOP10,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP10,M,0.0,100,0.93,0.95,0.97,0.94,0.83,0.72
U56,TOP10,M,10.0,100,0.56,0.73,0.78,0.93,0.56,0.33
U56,TOP10,M,25.0,100,0.09,0.28,0.28,0.92,0.05,0.0
U56,TOP10,Q,0.0,100,0.94,0.52,0.61,0.25,0.46,0.13
U56,TOP10,Q,10.0,100,0.85,0.35,0.47,0.25,0.32,0.11
U56,TOP10,Q,25.0,100,0.76,0.28,0.33,0.25,0.21,0.07
U56,TOP40,D,0.0,100,1.0,1.0,1.0,1.0,0.88,0.88
U56,TOP40,D,10.0,100,0.0,0.04,0.3,1.0,0.0,0.0
U56,TOP40,D,25.0,100,0.0,0.0,0.0,1.0,0.0,0.0
U56,TOP40,W,0.0,100,1.0,1.0,1.0,1.0,0.99,0.99
U56,TOP40,W,10.0,100,1.0,1.0,1.0,1.0,0.0,0.0
U56,TOP40,W,25.0,100,0.04,1.0,1.0,1.0,0.0,0.0
U56,TOP40,M,0.0,100,1.0,1.0,1.0,1.0,1.0,1.0
U56,TOP40,M,10.0,100,1.0,1.0,1.0,1.0,0.98,0.98
U56,TOP40,M,25.0,100,1.0,1.0,1.0,1.0,0.36,0.36
U56,TOP40,Q,0.0,100,1.0,1.0,1.0,0.01,0.0,0.0
U56,TOP40,Q,10.0,100,1.0,1.0,1.0,0.01,0.0,0.0
U56,TOP40,Q,25.0,100,1.0,0.99,1.0,0.01,0.0,0.0
B136,EWELIG,D,0.0,100,1.0,1.0,1.0,0.02,1.0,0.02
B136,EWELIG,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,EWELIG,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,EWELIG,W,0.0,100,1.0,1.0,1.0,0.01,1.0,0.01
B136,EWELIG,W,10.0,100,0.86,0.31,0.43,0.0,0.63,0.0
B136,EWELIG,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,EWELIG,M,0.0,100,1.0,1.0,1.0,0.0,1.0,0.0
B136,EWELIG,M,10.0,100,1.0,1.0,1.0,0.0,1.0,0.0
B136,EWELIG,M,25.0,100,0.97,0.78,0.95,0.0,0.95,0.0
B136,EWELIG,Q,0.0,100,1.0,1.0,1.0,0.0,1.0,0.0
B136,EWELIG,Q,10.0,100,1.0,1.0,1.0,0.0,1.0,0.0
B136,EWELIG,Q,25.0,100,1.0,0.97,1.0,0.0,1.0,0.0
B136,BAND03,D,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
B136,BAND03,D,10.0,100,0.0,0.0,0.0,1.0,0.0,0.0
B136,BAND03,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,BAND03,W,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
B136,BAND03,W,10.0,100,1.0,0.56,1.0,1.0,0.0,0.0
B136,BAND03,W,25.0,100,0.0,0.0,0.0,1.0,0.0,0.0
B136,BAND03,M,0.0,100,1.0,1.0,1.0,1.0,0.0,0.0
B136,BAND03,M,10.0,100,1.0,1.0,1.0,1.0,0.0,0.0
B136,BAND03,M,25.0,100,1.0,0.91,1.0,1.0,0.0,0.0
B136,BAND03,Q,0.0,100,1.0,0.71,1.0,0.0,0.0,0.0
B136,BAND03,Q,10.0,100,1.0,0.53,1.0,0.0,0.0,0.0
B136,BAND03,Q,25.0,100,1.0,0.24,0.94,0.0,0.0,0.0
B136,TOP20,D,0.0,100,1.0,0.98,0.99,0.98,0.83,0.82
B136,TOP20,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP20,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP20,W,0.0,100,1.0,0.9,0.95,0.96,0.66,0.66
B136,TOP20,W,10.0,100,0.0,0.0,0.0,0.7,0.0,0.0
B136,TOP20,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP20,M,0.0,100,0.99,0.87,0.97,0.2,0.82,0.18
B136,TOP20,M,10.0,100,0.93,0.43,0.58,0.19,0.35,0.07
B136,TOP20,M,25.0,100,0.08,0.04,0.05,0.18,0.0,0.0
B136,TOP20,Q,0.0,100,1.0,0.42,0.68,0.02,0.39,0.02
B136,TOP20,Q,10.0,100,1.0,0.25,0.46,0.02,0.28,0.02
B136,TOP20,Q,25.0,100,0.94,0.14,0.2,0.02,0.13,0.01
B136,TOP10,D,0.0,100,0.95,0.8,0.9,0.81,0.7,0.61
B136,TOP10,D,10.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP10,D,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
B136,TOP10,W,0.0,100,0.84,0.72,0.82,0.8,0.66,0.44
B136,TOP10,W,10.0,100,0.0,0.0,0.0,0.35,0.0,0.0
B136,TOP10,W,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0
